"","p0","p1","nc1","ne1","a1","m1","nc2","ne2","b2","m2","alpha","alpha1","alpha2","power","beta","nogo","En","N1","N2","ci"
"43",0.15,0.4,10,10,-3,2,13,13,1,6,0.09657,0.22045,0.36658,0.90166,0.05045,0.35622,31.7725705919173,20,46,0.9
"44",0.2,0.45,12,12,-3,3,16,16,1,9,0.07574,0.19049,0.35606,0.90492,0.05034,0.36078,37.9686417010592,24,56,0.9
"45",0.25,0.5,13,13,-3,4,17,17,1,11,0.08595,0.1991,0.35898,0.90754,0.04307,0.32394,39.9360943714422,26,60,0.9
"46",0.3,0.55,12,12,-3,4,19,19,1,13,0.08979,0.20078,0.36043,0.9114,0.04827,0.40713,42.8828880330821,24,62,0.9
"47",0.35,0.6,13,13,-2,5,21,21,2,16,0.07786,0.16917,0.28927,0.90109,0.04917,0.38547,45.4599376721757,26,68,0.9
"48",0.4,0.65,13,13,-4,6,19,19,1,17,0.07669,0.1755,0.34344,0.90209,0.05083,0.34719,42.1077663419688,26,64,0.9
"49",0.45,0.7,10,10,-4,5,21,21,1,18,0.08288,0.18063,0.34351,0.90135,0.05077,0.41161,40.7684708338718,20,62,0.9
"50",0.5,0.75,9,9,-4,5,21,21,1,19,0.0823,0.17687,0.33834,0.90183,0.04902,0.41722,38.9798126220703,18,60,0.9
"51",0.55,0.8,10,10,-2,6,18,18,1,19,0.09643,0.19134,0.33835,0.91335,0.03964,0.38018,37.157881449704,20,56,0.9
"52",0.6,0.85,9,9,-2,6,15,15,1,18,0.08115,0.16449,0.31468,0.90121,0.0547,0.38214,31.8987231621965,18,48,0.9
"53",0.65,0.9,8,8,-2,6,12,12,1,16,0.09582,0.17787,0.31764,0.90992,0.04725,0.32375,26.0696988938971,16,40,0.9
"54",0.7,0.95,6,6,-2,5,10,10,1,14,0.08323,0.15386,0.28805,0.91491,0.05231,0.33695,20.4035,12,32,0.9
