
TDR_alpha20_1s_3by2_alphamax30_eta99_gam12_ic35_confidence30.csv
p0,p1,nc,ne,r,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,38,38,-6,1,4,0.10943,0.35296,0.35296,0.58958,0.81475,0.0686,0.29334,0.11664,0.01095,0.28239,0.0273,0.08934,0.59723,0.20499,76,0.99,0.12,0.35,0.3
0.1,0.2,53,53,-8,1,8,0.13949,0.36949,0.36949,0.50714,0.82538,0.05951,0.31183,0.1151,0.01632,0.29551,0.03266,0.08244,0.54868,0.21347,106,0.99,0.12,0.35,0.3
0.15,0.25,74,74,-10,2,15,0.11639,0.31704,0.31704,0.47532,0.81502,0.06581,0.26696,0.11916,0.01892,0.24805,0.04455,0.07461,0.61664,0.19306,148,0.99,0.12,0.35,0.3
0.2,0.3,84,84,-12,2,21,0.13377,0.33239,0.33239,0.4919,0.82272,0.061,0.2747,0.11627,0.02249,0.2522,0.04675,0.06952,0.59153,0.19549,168,0.99,0.12,0.35,0.3
0.25,0.35,93,93,-13,2,28,0.13368,0.33492,0.33492,0.4682,0.82019,0.06039,0.2867,0.11941,0.02072,0.26599,0.04426,0.07515,0.57961,0.20306,186,0.99,0.12,0.35,0.3
0.3,0.4,100,100,-14,2,35,0.14085,0.34152,0.34152,0.45711,0.82478,0.05779,0.28961,0.11741,0.022,0.26761,0.04487,0.07254,0.56953,0.20351,200,0.99,0.12,0.35,0.3
0.7,0.8,85,85,-12,2,64,0.14596,0.32778,0.32778,0.48177,0.83233,0.05135,0.28119,0.11631,0.0263,0.25489,0.05447,0.06184,0.57284,0.19875,170,0.99,0.12,0.35,0.3
0.05,0.2,22,22,-5,2,3,0.0711,0.1923,0.23003,0.57143,0.76713,0.12003,0.09071,0.11285,0.02373,0.06698,0.07838,0.03447,0.8382,0.10178,44,0.99,0.12,0.35,0.3
0.1,0.25,28,28,-6,1,5,0.12744,0.30197,0.36341,0.5655,0.83337,0.05893,0.29721,0.1077,0.01467,0.28254,0.03124,0.07646,0.57535,0.20245,56,0.99,0.12,0.35,0.3
0.15,0.3,39,39,-8,2,9,0.10122,0.24305,0.29493,0.53197,0.82156,0.06631,0.23356,0.11212,0.01884,0.21472,0.04832,0.0638,0.66522,0.17284,78,0.99,0.12,0.35,0.3
0.2,0.35,43,43,-9,2,12,0.11439,0.25474,0.30689,0.50905,0.82348,0.06293,0.24922,0.11359,0.02115,0.22807,0.04955,0.06403,0.63639,0.1814,86,0.99,0.12,0.35,0.3
0.25,0.4,43,43,-9,2,14,0.13654,0.26872,0.31611,0.50926,0.81697,0.06496,0.24673,0.11806,0.02914,0.21759,0.0592,0.05886,0.61673,0.1824,86,0.99,0.12,0.35,0.3
0.3,0.45,47,47,-10,1,18,0.12763,0.28759,0.35843,0.47748,0.82933,0.05071,0.34003,0.11996,0.01248,0.32755,0.02862,0.09134,0.53234,0.22999,94,0.99,0.12,0.35,0.3
0.35,0.5,51,51,-10,2,22,0.1222,0.25983,0.31576,0.50045,0.82156,0.05948,0.27566,0.11895,0.0201,0.25557,0.04721,0.07174,0.60213,0.19731,102,0.99,0.12,0.35,0.3
0.4,0.55,52,52,-11,2,25,0.12642,0.26287,0.31826,0.49721,0.82489,0.05743,0.2768,0.11767,0.02118,0.25562,0.04838,0.06929,0.59676,0.19724,104,0.99,0.12,0.35,0.3
0.45,0.6,53,53,-11,2,28,0.13333,0.26953,0.32345,0.49763,0.83531,0.05255,0.27502,0.11214,0.02346,0.25156,0.0501,0.06204,0.59165,0.19358,106,0.99,0.12,0.35,0.3
0.5,0.65,50,50,-10,2,29,0.13596,0.26661,0.31866,0.4713,0.82689,0.05571,0.27137,0.11739,0.02515,0.24621,0.05436,0.06303,0.59267,0.19438,100,0.99,0.12,0.35,0.3
0.55,0.7,49,49,-10,2,31,0.13042,0.2595,0.31237,0.50443,0.82691,0.05486,0.27354,0.11823,0.02353,0.25001,0.05372,0.06451,0.59603,0.19589,98,0.99,0.12,0.35,0.3
0.6,0.75,45,45,-9,1,31,0.12992,0.27745,0.34844,0.47721,0.83585,0.04589,0.34038,0.11825,0.01311,0.32726,0.03148,0.08677,0.52969,0.22931,90,0.99,0.12,0.35,0.3
0.65,0.8,41,41,-8,2,30,0.14295,0.25914,0.30313,0.50731,0.82823,0.05187,0.25426,0.11989,0.033,0.22125,0.06961,0.05029,0.60279,0.18708,82,0.99,0.12,0.35,0.3
0.7,0.85,38,38,-8,1,30,0.13643,0.2808,0.3493,0.51293,0.85922,0.03764,0.32913,0.10314,0.01538,0.31374,0.03507,0.06807,0.53444,0.21613,76,0.99,0.12,0.35,0.3
