
Litwin_alpha20_1s_alphamax30_1to1.csv_confidence30.csv
p0,p1,nc,ne,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,N,ci
0.05,0.15,36,36,0,4,0.10116,0.40583,0.40583,0.15954,0.80222,0.19777,0.51022,0.15136,0.89884,0.35706,72,0.3
0.1,0.2,51,51,0,8,0.12726,0.40405,0.40405,0.1892,0.81399,0.18601,0.43901,0.12909,0.87273,0.31331,102,0.3
0.15,0.25,63,63,0,13,0.13446,0.39632,0.39632,0.19654,0.81125,0.18874,0.4154,0.1258,0.86554,0.30222,126,0.3
0.2,0.3,74,74,0,19,0.13413,0.38842,0.38842,0.19537,0.80826,0.19173,0.40687,0.12629,0.86586,0.30099,148,0.3
0.25,0.35,82,82,1,25,0.13949,0.35975,0.35975,0.19733,0.80276,0.19723,0.32455,0.10377,0.8605,0.24537,164,0.3
0.3,0.4,90,90,1,32,0.13691,0.35759,0.35759,0.19435,0.80278,0.19721,0.33067,0.10624,0.86308,0.25185,180,0.3
0.35,0.45,96,96,1,39,0.13449,0.35529,0.35529,0.19152,0.8026,0.19738,0.33535,0.10829,0.8655,0.25713,192,0.3
0.4,0.5,103,103,1,47,0.13126,0.35495,0.35495,0.18771,0.80923,0.19075,0.3404,0.10665,0.86873,0.26093,206,0.3
0.45,0.55,101,101,1,51,0.1419,0.36098,0.36098,0.19989,0.8122,0.18779,0.32992,0.10028,0.85809,0.24916,202,0.3
0.5,0.6,100,100,0,56,0.12811,0.36758,0.36758,0.18662,0.80241,0.19757,0.40006,0.1305,0.87188,0.3087,200,0.3
0.55,0.65,99,99,2,60,0.13431,0.32625,0.32625,0.18697,0.80096,0.19902,0.28088,0.08859,0.86568,0.21849,198,0.3
0.6,0.7,91,91,1,60,0.13408,0.347,0.347,0.19039,0.8007,0.19929,0.33577,0.10966,0.86591,0.26199,182,0.3
0.65,0.75,83,83,0,59,0.13867,0.37426,0.37426,0.19924,0.80956,0.19043,0.39374,0.12346,0.86132,0.30121,166,0.3
0.7,0.8,75,75,1,57,0.14148,0.34768,0.34768,0.19827,0.80857,0.19142,0.32301,0.09962,0.85851,0.24958,150,0.3
0.05,0.2,21,21,1,3,0.07901,0.2641,0.33204,0.12669,0.8003,0.1997,0.27023,0.10329,0.92099,0.22726,42,0.3
0.1,0.25,26,26,0,5,0.10861,0.30873,0.40134,0.16786,0.80683,0.19317,0.48492,0.14446,0.89139,0.34719,52,0.3
0.15,0.3,30,30,1,7,0.13644,0.29479,0.35649,0.19351,0.80528,0.19472,0.29113,0.09117,0.86356,0.21723,60,0.3
0.2,0.35,35,35,1,10,0.13152,0.28695,0.35231,0.18787,0.80215,0.19785,0.30884,0.09944,0.86848,0.23521,70,0.3
0.25,0.4,39,39,1,13,0.13895,0.29305,0.35818,0.19626,0.81072,0.18928,0.30895,0.09403,0.86105,0.23186,78,0.3
0.3,0.45,44,44,1,17,0.12696,0.28137,0.35111,0.18243,0.81152,0.18847,0.32672,0.10109,0.87304,0.25081,88,0.3
0.35,0.5,43,43,0,19,0.12892,0.29415,0.3788,0.18902,0.80353,0.19647,0.41607,0.13333,0.87107,0.31663,86,0.3
0.4,0.55,45,45,1,22,0.13058,0.27806,0.34695,0.18636,0.80331,0.19668,0.32661,0.10514,0.86942,0.25399,90,0.3
0.45,0.6,46,46,0,25,0.12401,0.28616,0.37261,0.18253,0.80903,0.19097,0.41768,0.13126,0.87598,0.32133,92,0.3
0.5,0.65,42,42,0,25,0.13292,0.2901,0.37367,0.19335,0.80072,0.19927,0.41048,0.13422,0.86708,0.31698,84,0.3
0.55,0.7,42,42,1,27,0.13204,0.27236,0.34038,0.18743,0.80206,0.19794,0.32434,0.10467,0.86796,0.25533,84,0.3
0.6,0.75,39,39,1,27,0.13972,0.27769,0.34346,0.19591,0.80819,0.19181,0.31431,0.09656,0.86028,0.24428,78,0.3
0.65,0.8,36,36,0,27,0.13208,0.28643,0.3733,0.19222,0.81602,0.18398,0.41707,0.12684,0.86792,0.32298,72,0.3
0.7,0.85,30,30,1,24,0.14204,0.2692,0.33113,0.19731,0.8034,0.1966,0.30191,0.09304,0.85796,0.23832,60,0.3
0.05,0.25,12,12,1,2,0.10632,0.25251,0.34162,0.16076,0.80862,0.19138,0.18441,0.06847,0.89368,0.15198,24,0.3
0.1,0.3,18,18,1,4,0.09067,0.22437,0.33592,0.14021,0.81188,0.18812,0.296,0.09925,0.90933,0.23738,36,0.3
0.15,0.35,18,18,0,5,0.11688,0.2588,0.39973,0.17819,0.80155,0.19845,0.47694,0.14649,0.88312,0.34568,36,0.3
0.2,0.4,22,22,1,7,0.12041,0.24075,0.34584,0.17487,0.81034,0.18966,0.30434,0.09525,0.87959,0.23389,44,0.3
0.25,0.45,24,24,0,9,0.11685,0.24886,0.38896,0.17591,0.81527,0.18472,0.44953,0.13343,0.88315,0.33437,48,0.3
0.3,0.5,24,24,1,10,0.13687,0.25008,0.35072,0.19339,0.81008,0.18992,0.3005,0.09142,0.86312,0.22803,48,0.3
0.35,0.55,27,27,0,13,0.10673,0.22796,0.36796,0.16213,0.80705,0.19294,0.44997,0.1421,0.89327,0.34921,54,0.3
0.4,0.6,27,27,1,14,0.13064,0.24242,0.34798,0.18599,0.82198,0.17802,0.31418,0.09036,0.86936,0.24021,54,0.3
0.45,0.65,24,24,0,14,0.12843,0.24509,0.37616,0.18896,0.80181,0.19818,0.42914,0.13881,0.87156,0.33123,48,0.3
0.5,0.7,27,27,1,17,0.11347,0.21849,0.32861,0.16529,0.81367,0.18633,0.33249,0.1033,0.88652,0.26718,54,0.3
0.55,0.75,25,25,1,17,0.12165,0.22452,0.33046,0.17463,0.81695,0.18305,0.32192,0.09627,0.87834,0.25591,50,0.3
0.6,0.8,22,22,1,16,0.14093,0.24135,0.33873,0.1963,0.82493,0.17507,0.298,0.08067,0.85907,0.22904,44,0.3
0.65,0.85,19,19,1,15,0.13363,0.22683,0.32154,0.18721,0.81088,0.18912,0.29888,0.08796,0.86637,0.23831,38,0.3
0.7,0.9,15,15,0,13,0.12345,0.22269,0.35479,0.18306,0.8049,0.1951,0.45562,0.14798,0.87655,0.37037,30,0.3
0.05,0.3,9,9,0,2,0.07068,0.21566,0.41963,0.12419,0.80159,0.19841,0.67449,0.17,0.92932,0.42762,18,0.3
0.1,0.35,12,12,1,3,0.10086,0.21197,0.33989,0.153,0.82003,0.17997,0.25801,0.08211,0.89914,0.20272,24,0.3
0.15,0.4,13,13,1,4,0.10715,0.2063,0.33347,0.15971,0.80043,0.19957,0.282,0.09599,0.89285,0.22394,26,0.3
0.2,0.45,14,14,0,5,0.12567,0.23896,0.41192,0.18905,0.8224,0.1776,0.46876,0.1296,0.87433,0.3328,28,0.3
0.25,0.5,15,15,1,6,0.13229,0.22482,0.3453,0.18803,0.81122,0.18878,0.28381,0.08567,0.86771,0.21541,30,0.3
0.3,0.55,15,15,0,7,0.12651,0.22682,0.39168,0.18865,0.80613,0.19387,0.45256,0.13977,0.87349,0.3381,30,0.3
0.35,0.6,16,16,1,8,0.14131,0.22919,0.34724,0.19772,0.8168,0.1832,0.28522,0.08165,0.85869,0.21492,32,0.3
0.4,0.65,16,16,1,9,0.12775,0.21098,0.33236,0.1821,0.80266,0.19734,0.30079,0.0958,0.87225,0.23738,32,0.3
0.45,0.7,16,16,0,10,0.11989,0.21154,0.37644,0.1792,0.81274,0.18726,0.45045,0.13741,0.88011,0.34745,32,0.3
0.5,0.75,15,15,1,10,0.13433,0.21333,0.32971,0.18886,0.80881,0.19119,0.29344,0.08809,0.86567,0.23059,30,0.3
0.55,0.8,15,15,0,11,0.11674,0.20397,0.37079,0.1749,0.82474,0.17526,0.45587,0.13144,0.88326,0.35576,30,0.3
0.6,0.85,14,14,1,11,0.11248,0.18468,0.30398,0.16239,0.81421,0.18579,0.3112,0.09318,0.88752,0.25766,28,0.3
0.65,0.9,12,12,1,10,0.13323,0.20415,0.31186,0.18547,0.83673,0.16327,0.28211,0.06541,0.86677,0.22174,24,0.3
0.7,0.95,10,10,1,9,0.13044,0.19505,0.29331,0.18067,0.8499,0.1501,0.27295,0.04988,0.86956,0.21613,20,0.3
