
Litwin_alpha20_1s_alphaonly_1to1.csv_confidence90.csv
p0,p1,nc,ne,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,N,ci
0.05,0.15,28,28,0,3,0.15663,0.44005,0.44005,0.43156,0.80069,0.19931,0.47127,0.13732,0.84337,0.31115,56,0.9
0.1,0.2,45,45,0,7,0.15056,0.41535,0.41535,0.42356,0.807,0.193,0.42006,0.12666,0.84943,0.29514,90,0.9
0.15,0.25,50,50,0,10,0.19339,0.42945,0.42945,0.45778,0.81064,0.18936,0.36261,0.10715,0.80661,0.2501,100,0.9
0.2,0.3,67,67,0,17,0.15976,0.40456,0.40456,0.43051,0.80949,0.1905,0.38333,0.11657,0.84023,0.27592,134,0.9
0.25,0.35,67,67,0,20,0.19782,0.42308,0.42308,0.45891,0.81437,0.18562,0.34195,0.09953,0.80217,0.23839,134,0.9
0.3,0.4,74,74,0,26,0.18388,0.40997,0.40997,0.4495,0.80627,0.19372,0.35185,0.10807,0.81611,0.25214,148,0.9
0.35,0.45,75,75,0,30,0.19579,0.41442,0.41442,0.45795,0.80651,0.19348,0.33831,0.10321,0.8042,0.24095,150,0.9
0.4,0.5,80,80,0,36,0.19318,0.41336,0.41336,0.45657,0.81167,0.18832,0.33896,0.10078,0.80681,0.24125,160,0.9
0.45,0.55,78,78,0,39,0.19948,0.41447,0.41447,0.46174,0.80868,0.1913,0.33257,0.10025,0.80051,0.23712,156,0.9
0.5,0.6,78,78,0,43,0.19536,0.41095,0.41095,0.46047,0.80762,0.19237,0.33652,0.10243,0.80463,0.24188,156,0.9
0.55,0.65,78,78,0,47,0.18936,0.40769,0.40769,0.45819,0.80985,0.19014,0.34268,0.10358,0.81063,0.24773,156,0.9
0.6,0.7,75,75,0,49,0.18852,0.40772,0.40772,0.46,0.81293,0.18706,0.34467,0.10266,0.81147,0.24935,150,0.9
0.65,0.75,67,67,1,47,0.19567,0.37671,0.37671,0.41792,0.80072,0.19927,0.26825,0.07949,0.80432,0.19451,134,0.9
0.7,0.8,58,58,0,44,0.18894,0.40264,0.40264,0.47052,0.80071,0.19928,0.35142,0.11257,0.81105,0.26058,116,0.9
0.05,0.2,15,15,0,2,0.1659,0.39412,0.47115,0.44509,0.82303,0.17697,0.51787,0.12569,0.8341,0.31166,30,0.9
0.1,0.25,22,22,0,4,0.16424,0.36464,0.44308,0.44145,0.82314,0.17686,0.43775,0.11725,0.83576,0.28986,44,0.9
0.15,0.3,26,26,0,6,0.17461,0.35842,0.43377,0.44986,0.81871,0.18129,0.40325,0.11336,0.82539,0.27522,52,0.9
0.2,0.35,32,32,1,9,0.15422,0.30372,0.36232,0.37589,0.80089,0.19911,0.28341,0.08833,0.84578,0.20896,64,0.9
0.25,0.4,31,31,1,10,0.19489,0.32981,0.37893,0.40116,0.80137,0.19863,0.24668,0.07153,0.80511,0.17321,62,0.9
0.3,0.45,34,34,0,13,0.17972,0.34307,0.41576,0.45449,0.8085,0.1915,0.37294,0.11321,0.82027,0.2667,68,0.9
0.35,0.5,35,35,0,15,0.19474,0.35495,0.42465,0.46603,0.81741,0.18259,0.3551,0.10224,0.80526,0.24961,70,0.9
0.4,0.55,37,37,0,18,0.16998,0.32832,0.40296,0.44908,0.80331,0.19668,0.3772,0.11892,0.83002,0.2772,74,0.9
0.45,0.6,36,36,1,19,0.18945,0.32074,0.37346,0.40647,0.80068,0.19931,0.26346,0.07792,0.81055,0.19048,72,0.9
0.5,0.65,36,36,0,21,0.18759,0.34341,0.41559,0.46651,0.81771,0.18229,0.35926,0.10435,0.8124,0.25821,72,0.9
0.55,0.7,35,35,1,22,0.19154,0.32083,0.37323,0.40757,0.80991,0.19009,0.2607,0.07227,0.80846,0.18727,70,0.9
0.6,0.75,32,32,0,22,0.18999,0.34245,0.41567,0.47677,0.81967,0.18033,0.36072,0.10412,0.81001,0.26129,64,0.9
0.65,0.8,30,30,1,22,0.19147,0.31496,0.36594,0.40335,0.81179,0.1882,0.25472,0.06816,0.80853,0.18407,60,0.9
0.7,0.85,28,28,1,22,0.18745,0.31057,0.36176,0.39801,0.82484,0.17516,0.25454,0.06168,0.81255,0.18293,56,0.9
0.05,0.25,12,12,1,2,0.10632,0.25251,0.34162,0.30124,0.80862,0.19138,0.18441,0.06847,0.89368,0.15198,24,0.9
0.1,0.3,14,14,0,3,0.15298,0.31688,0.44996,0.43522,0.82816,0.17184,0.47669,0.12075,0.84701,0.30827,28,0.9
0.15,0.35,15,15,0,4,0.1694,0.31389,0.43767,0.45194,0.8119,0.1881,0.43358,0.12417,0.83059,0.29459,30,0.9
0.2,0.4,19,19,0,6,0.15546,0.29559,0.42412,0.43829,0.82162,0.17838,0.42554,0.11863,0.84454,0.29655,38,0.9
0.25,0.45,19,19,0,7,0.16574,0.29659,0.41884,0.44956,0.80912,0.19088,0.40884,0.12276,0.83426,0.29102,38,0.9
0.3,0.5,19,19,0,8,0.17181,0.29611,0.41441,0.45684,0.8002,0.1998,0.39852,0.12592,0.82819,0.28838,38,0.9
0.35,0.55,20,20,1,9,0.19966,0.29974,0.37534,0.39913,0.80821,0.19178,0.23454,0.06328,0.80034,0.16341,40,0.9
0.4,0.6,21,21,0,11,0.16471,0.28495,0.4056,0.45413,0.80555,0.19445,0.39777,0.1239,0.83528,0.29286,42,0.9
0.45,0.65,23,23,1,13,0.16092,0.26516,0.35656,0.38408,0.81135,0.18865,0.28028,0.08054,0.83908,0.20826,46,0.9
0.5,0.7,23,23,1,14,0.17498,0.27904,0.36644,0.39227,0.82973,0.17027,0.26651,0.0659,0.82501,0.19044,46,0.9
0.55,0.75,19,19,0,13,0.16372,0.27676,0.39829,0.46684,0.80542,0.19458,0.4009,0.12646,0.83628,0.30222,38,0.9
0.6,0.8,18,18,1,13,0.17819,0.27037,0.35052,0.38706,0.80628,0.19371,0.25438,0.07002,0.82181,0.18827,36,0.9
0.65,0.85,15,15,0,12,0.16515,0.27193,0.39473,0.49221,0.80476,0.19524,0.4107,0.13131,0.83485,0.31602,30,0.9
0.7,0.9,13,13,0,11,0.19312,0.30407,0.42921,0.53722,0.84698,0.15302,0.39176,0.09764,0.80688,0.28623,26,0.9
0.05,0.3,9,9,0,2,0.07068,0.21566,0.41963,0.31831,0.80159,0.19841,0.67449,0.17,0.92932,0.42762,18,0.9
0.1,0.35,12,12,1,3,0.10086,0.21197,0.33989,0.30697,0.82003,0.17997,0.25801,0.08211,0.89914,0.20272,24,0.9
0.15,0.4,10,10,0,3,0.17291,0.2948,0.45102,0.46125,0.8192,0.1808,0.45415,0.12232,0.82709,0.29949,20,0.9
0.2,0.45,12,12,1,4,0.17396,0.2646,0.36155,0.36946,0.80972,0.19028,0.22398,0.06137,0.82604,0.15682,24,0.9
0.25,0.5,15,15,1,6,0.13229,0.22482,0.3453,0.35137,0.81122,0.18878,0.28381,0.08567,0.86771,0.21541,30,0.9
0.3,0.55,11,11,0,5,0.19867,0.29905,0.43843,0.48895,0.80504,0.19496,0.39351,0.11957,0.80133,0.27581,22,0.9
0.35,0.6,14,14,0,7,0.17408,0.27779,0.42993,0.46765,0.83154,0.16846,0.4044,0.10763,0.82592,0.28323,28,0.9
0.4,0.65,13,13,1,7,0.19159,0.26975,0.36183,0.38689,0.80558,0.19442,0.22926,0.06153,0.80841,0.16246,26,0.9
0.45,0.7,15,15,1,9,0.15823,0.24069,0.34978,0.37443,0.81949,0.18051,0.26917,0.07215,0.84177,0.19924,30,0.9
0.5,0.75,12,12,0,8,0.18394,0.2774,0.42421,0.49391,0.82248,0.17752,0.39665,0.11276,0.81606,0.28737,24,0.9
0.55,0.8,11,11,0,8,0.18218,0.27241,0.41989,0.50391,0.81997,0.18003,0.40236,0.1168,0.81782,0.29623,22,0.9
0.6,0.85,10,10,0,8,0.16144,0.24553,0.39601,0.50257,0.80531,0.19469,0.42857,0.13621,0.83856,0.33057,20,0.9
0.65,0.9,11,11,1,9,0.16898,0.23935,0.33185,0.36083,0.84181,0.15819,0.24265,0.04642,0.83101,0.1765,22,0.9
0.7,0.95,9,9,1,8,0.16387,0.22705,0.30961,0.33111,0.84484,0.15516,0.23437,0.03591,0.83613,0.17281,18,0.9
