
TDR_alpha10_2s_3by2_alphaonly_eta99_gam13_ic15_confidence90.csv
p0,p1,nc1,ne1,a1,m1,nc2,ne2,b1,b2,m2,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,es0,es1,En,N1,N2,etamax,gammax,expicmax,ci
0.05,0.15,30,30,-4,2,20,20,-7,1,5,0.09031,0.35894,0.35894,0.30036,0.85445,0.02541,0.19643,0.07166,0.00728,0.18915,0.01761,0.05405,0.15879,0.13404,0.55447,0.04848,77.8212923553479,60,100,0.99,0.13,0.15,0.9
0.1,0.2,44,44,-4,5,34,34,-11,1,12,0.07752,0.34579,0.34579,0.29547,0.85142,0.02096,0.21952,0.0804,0.0043,0.21521,0.01254,0.06786,0.14914,0.14996,0.55382,0.04721,118.340060417953,88,156,0.99,0.13,0.15,0.9
0.15,0.25,50,50,-5,8,44,44,-14,1,19,0.09224,0.35267,0.35267,0.32024,0.85229,0.02115,0.22159,0.07808,0.00595,0.21564,0.01503,0.06306,0.16069,0.14984,0.52547,0.04847,141.758891809155,100,188,0.99,0.13,0.15,0.9
0.2,0.3,53,53,-7,11,58,58,-2,1,28,0.09293,0.35173,0.35173,0.32471,0.85097,0.02674,0.22562,0.07268,0.00371,0.2219,0.00985,0.06283,0.17874,0.14915,0.50271,0.0496,163.685862495461,106,222,0.99,0.13,0.15,0.9
0.25,0.35,62,62,-7,16,64,64,-20,1,38,0.09604,0.35455,0.35455,0.33087,0.85718,0.01938,0.22388,0.0748,0.00628,0.2176,0.01531,0.05949,0.16563,0.14934,0.51443,0.04863,186.152459478446,124,252,0.99,0.13,0.15,0.9
0.3,0.4,65,65,-8,20,69,69,-22,2,47,0.09971,0.33068,0.33068,0.31546,0.85064,0.02386,0.19845,0.07598,0.01006,0.18839,0.02413,0.05185,0.19133,0.13721,0.51051,0.0495,197.55027906602,130,268,0.99,0.13,0.15,0.9
0.35,0.45,70,70,-7,25,79,79,-24,2,60,0.08926,0.32484,0.32484,0.30585,0.85273,0.02188,0.20896,0.07626,0.0074,0.20157,0.0197,0.05656,0.18864,0.14261,0.51312,0.04911,216.926828224218,140,298,0.99,0.13,0.15,0.9
0.4,0.5,69,69,-7,28,79,79,-3,1,67,0.09676,0.34896,0.34896,0.33436,0.85491,0.0235,0.22808,0.0716,0.00399,0.22409,0.01044,0.06116,0.1726,0.14984,0.50254,0.04997,216.599032441827,138,296,0.99,0.13,0.15,0.9
0.45,0.55,70,70,-8,32,79,79,-3,1,75,0.09638,0.34807,0.34807,0.33592,0.85422,0.02416,0.22562,0.07252,0.004,0.22162,0.01069,0.06182,0.17129,0.14907,0.50669,0.04908,217.943013658574,140,298,0.99,0.13,0.15,0.9
0.5,0.6,67,67,-9,34,81,81,-3,1,82,0.09496,0.34546,0.34546,0.33506,0.85281,0.0245,0.22638,0.07312,0.00397,0.22241,0.01086,0.06226,0.17628,0.14975,0.50236,0.04955,214.61773490895,134,296,0.99,0.13,0.15,0.9
0.55,0.65,68,68,-7,38,76,76,-9,1,87,0.09645,0.34461,0.34461,0.33632,0.85571,0.0186,0.22412,0.07588,0.00596,0.21815,0.01538,0.0605,0.16373,0.15,0.51569,0.04979,209.615778224913,136,288,0.99,0.13,0.15,0.9
0.6,0.7,64,64,-7,39,72,72,-23,2,89,0.09608,0.31946,0.31946,0.31497,0.85018,0.02279,0.20229,0.07856,0.00901,0.19329,0.02385,0.0547,0.18878,0.14042,0.51284,0.04846,198.150872594206,128,272,0.99,0.13,0.15,0.9
0.65,0.75,56,56,-8,37,70,70,-4,1,89,0.09405,0.33768,0.33768,0.33494,0.85298,0.02183,0.22348,0.07586,0.00509,0.21839,0.01427,0.06159,0.17535,0.14967,0.50712,0.04932,181.003895241947,112,252,0.99,0.13,0.15,0.9
0.7,0.8,52,52,-5,37,59,59,-20,1,84,0.09895,0.33632,0.33632,0.33896,0.8561,0.01841,0.22047,0.0762,0.00653,0.21394,0.0172,0.059,0.16521,0.14833,0.51537,0.04929,161.186829089394,104,222,0.99,0.13,0.15,0.9
0.05,0.2,22,22,-3,2,8,8,-5,1,4,0.05567,0.26167,0.34285,0.24689,0.85759,0.02006,0.16488,0.07384,0.00275,0.16213,0.01073,0.06312,0.08042,0.11936,0.69903,0.04851,48.8155606656671,44,60,0.99,0.13,0.15,0.9
0.1,0.25,23,23,-4,3,16,16,-8,1,7,0.07865,0.26956,0.34954,0.2908,0.85791,0.02078,0.19344,0.07138,0.00516,0.18828,0.01441,0.05696,0.13455,0.13241,0.59336,0.04994,59.0125428245368,46,78,0.99,0.13,0.15,0.9
0.15,0.3,24,24,-3,4,24,24,-10,1,11,0.08375,0.2653,0.34492,0.30002,0.85817,0.01956,0.22447,0.07234,0.00495,0.21951,0.01306,0.05928,0.17151,0.1484,0.52027,0.04992,71.0270083516468,48,96,0.99,0.13,0.15,0.9
0.2,0.35,28,28,-4,6,22,22,-2,1,14,0.09798,0.27342,0.35175,0.32559,0.85214,0.02702,0.2216,0.07719,0.00528,0.21632,0.01354,0.06365,0.17032,0.1494,0.5101,0.04364,77.5555968108115,56,100,0.99,0.13,0.15,0.9
0.25,0.4,30,30,-4,8,28,28,-14,1,19,0.09931,0.27403,0.35298,0.32762,0.86085,0.01906,0.21468,0.07075,0.00686,0.20782,0.01605,0.0547,0.15993,0.14271,0.52608,0.04934,86.539294096975,60,116,0.99,0.13,0.15,0.9
0.3,0.45,32,32,-4,10,31,31,-1,1,24,0.09232,0.26275,0.34478,0.32128,0.85771,0.02716,0.22627,0.0686,0.00241,0.22386,0.00665,0.06196,0.17008,0.14743,0.51133,0.04652,94.2975792818729,64,126,0.99,0.13,0.15,0.9
0.35,0.5,30,30,-7,11,35,35,-16,1,28,0.09481,0.26349,0.34679,0.32796,0.85485,0.02018,0.22027,0.07518,0.00668,0.21358,0.01698,0.0582,0.17628,0.14772,0.50865,0.04978,94.3948265847615,60,130,0.99,0.13,0.15,0.9
0.4,0.55,34,34,-4,14,32,32,0,1,32,0.08983,0.25242,0.3356,0.32081,0.85074,0.03428,0.2299,0.06887,0,0.2299,0,0.06887,0.16947,0.14938,0.51079,0.04611,99.3093817630085,68,132,0.99,0.13,0.15,0.9
0.45,0.6,30,30,-6,14,38,38,-17,2,36,0.09588,0.24447,0.31217,0.30065,0.85336,0.02342,0.18909,0.07379,0.01119,0.1779,0.02813,0.04566,0.20977,0.13144,0.50525,0.04943,97.6011559624717,60,136,0.99,0.13,0.15,0.9
0.5,0.65,29,29,-6,15,36,36,-4,1,38,0.09345,0.25402,0.33799,0.32919,0.8532,0.02149,0.22342,0.07656,0.00576,0.21765,0.01586,0.0607,0.18074,0.14999,0.50239,0.04875,93.8282404365186,58,130,0.99,0.13,0.15,0.9
0.55,0.7,28,28,-6,16,35,35,-16,1,40,0.0944,0.2533,0.33701,0.33059,0.85644,0.01904,0.21702,0.07463,0.00662,0.21039,0.0177,0.05693,0.17438,0.14582,0.51419,0.04989,90.006416957431,56,126,0.99,0.13,0.15,0.9
0.6,0.75,29,29,-4,18,31,31,-16,2,41,0.09702,0.23629,0.30062,0.29744,0.85731,0.0225,0.18406,0.07522,0.01169,0.17237,0.03087,0.04435,0.19665,0.12964,0.52226,0.04497,87.6199528699321,58,120,0.99,0.13,0.15,0.9
0.65,0.8,25,25,-5,17,29,29,-15,1,40,0.08984,0.24044,0.32437,0.32589,0.85669,0.01877,0.2109,0.07687,0.00613,0.20476,0.01825,0.05862,0.16421,0.14388,0.53505,0.04767,76.9672819915033,50,108,0.99,0.13,0.15,0.9
0.7,0.85,22,22,-3,16,29,29,-14,2,40,0.09676,0.22638,0.28453,0.28382,0.8696,0.01817,0.17305,0.06758,0.01364,0.15941,0.03524,0.03234,0.20858,0.12032,0.52161,0.04465,71.7463733201433,44,102,0.99,0.13,0.15,0.9
0.05,0.25,11,11,-2,1,8,8,-4,1,3,0.05974,0.22218,0.34216,0.24696,0.86185,0.02523,0.19843,0.0679,0.00318,0.19525,0.01135,0.05655,0.16788,0.13316,0.57395,0.04502,28.8167514731784,22,38,0.99,0.13,0.15,0.9
0.1,0.3,14,14,-3,2,10,10,-6,1,5,0.07503,0.22015,0.34506,0.28044,0.85824,0.02229,0.19322,0.07062,0.0049,0.18832,0.01448,0.05614,0.14457,0.13192,0.58718,0.04885,36.2564774569415,28,48,0.99,0.13,0.15,0.9
0.15,0.35,16,16,-3,3,11,11,-8,1,7,0.08696,0.22289,0.34566,0.30263,0.85359,0.02282,0.19947,0.07529,0.00605,0.19341,0.01643,0.05886,0.14602,0.13738,0.56755,0.04829,41.51383379035,32,54,0.99,0.13,0.15,0.9
0.2,0.4,17,17,-4,4,15,15,-10,1,10,0.0794,0.20855,0.33888,0.29747,0.85298,0.02148,0.21106,0.07778,0.00501,0.20606,0.01489,0.06289,0.15798,0.14442,0.55155,0.04776,47.4534431218568,34,64,0.99,0.13,0.15,0.9
0.25,0.45,18,18,-3,5,21,21,-11,2,14,0.07166,0.18319,0.28757,0.25255,0.85818,0.02362,0.1786,0.06987,0.00769,0.1709,0.02354,0.04634,0.21647,0.12424,0.53326,0.04832,55.6030093544246,36,78,0.99,0.13,0.15,0.9
0.3,0.5,18,18,-5,6,21,21,-12,2,16,0.07773,0.18642,0.29033,0.26415,0.85052,0.02583,0.17371,0.07486,0.00949,0.16422,0.02834,0.04653,0.21282,0.12429,0.53574,0.04878,55.4990357381083,36,78,0.99,0.13,0.15,0.9
0.35,0.55,19,19,-3,7,18,18,-12,1,17,0.09819,0.22115,0.34328,0.32485,0.86322,0.01917,0.22577,0.07304,0.00656,0.21922,0.01633,0.05672,0.17227,0.14941,0.50376,0.04456,55.864486764526,38,74,0.99,0.13,0.15,0.9
0.4,0.6,19,19,-3,8,18,18,-2,1,19,0.09525,0.21361,0.33637,0.32289,0.85751,0.0228,0.22458,0.07394,0.0048,0.21978,0.01323,0.06071,0.17002,0.14926,0.51014,0.04575,55.6349478026828,38,74,0.99,0.13,0.15,0.9
0.45,0.65,19,19,-3,9,18,18,-1,1,21,0.09057,0.20503,0.32942,0.3187,0.85534,0.02691,0.22486,0.07285,0.00283,0.22203,0.00867,0.06419,0.16898,0.14886,0.51558,0.04489,55.4389934579091,38,74,0.99,0.13,0.15,0.9
0.5,0.7,17,17,-3,9,20,20,-1,1,23,0.08283,0.19233,0.31854,0.30847,0.85161,0.02578,0.22479,0.07337,0.00247,0.22232,0.00829,0.06508,0.17477,0.14908,0.5176,0.04925,53.295962145552,34,74,0.99,0.13,0.15,0.9
0.55,0.75,17,17,-3,10,19,19,-12,2,24,0.08718,0.18358,0.27787,0.27239,0.85249,0.02343,0.17159,0.07659,0.01148,0.16011,0.03415,0.04244,0.20155,0.12409,0.53968,0.04749,51.4921446840182,34,72,0.99,0.13,0.15,0.9
0.6,0.8,14,14,-3,9,18,18,-12,1,23,0.09867,0.20783,0.32753,0.32905,0.86725,0.01692,0.20446,0.06697,0.00763,0.19683,0.02022,0.04676,0.17318,0.13572,0.52369,0.04886,45.1472720617688,28,64,0.99,0.13,0.15,0.9
0.65,0.85,13,13,-3,9,15,15,0,1,22,0.08306,0.18128,0.30249,0.31338,0.85361,0.04154,0.21948,0.06751,0,0.21948,0,0.06751,0.19078,0.1435,0.50668,0.03735,40.7995995637288,26,56,0.99,0.13,0.15,0.9
0.7,0.9,12,12,-2,9,12,12,-9,1,20,0.09809,0.19653,0.30928,0.32652,0.87792,0.0161,0.2061,0.06991,0.00746,0.19864,0.02338,0.04653,0.16562,0.13801,0.53019,0.03607,35.2755195294533,24,48,0.99,0.13,0.15,0.9
0.05,0.3,9,9,-2,1,2,2,-3,1,2,0.09144,0.22879,0.35114,0.28464,0.85913,0.03225,0.16185,0.06679,0.0086,0.15325,0.02341,0.04338,0.11393,0.11432,0.63279,0.04184,19.4688558196313,18,22,0.99,0.13,0.15,0.9
0.1,0.35,12,12,-2,2,5,5,-5,1,4,0.07412,0.19468,0.34741,0.2766,0.87228,0.01875,0.16584,0.06276,0.00452,0.16132,0.0135,0.04926,0.09475,0.1143,0.66528,0.04622,27.3471737810358,24,34,0.99,0.13,0.15,0.9
0.15,0.4,10,10,-3,2,11,11,-7,1,6,0.07198,0.18191,0.34132,0.27727,0.86966,0.0187,0.20617,0.06375,0.00448,0.20169,0.01314,0.05061,0.17464,0.13496,0.54721,0.04788,29.9614058854685,20,42,0.99,0.13,0.15,0.9
0.2,0.45,12,12,-3,3,9,9,-8,1,7,0.09434,0.20191,0.35041,0.31175,0.86959,0.01995,0.19244,0.06572,0.00742,0.18502,0.0181,0.04763,0.14974,0.12908,0.56348,0.04474,31.8573609568458,24,42,0.99,0.13,0.15,0.9
0.25,0.5,13,13,-3,4,10,10,-9,1,9,0.08438,0.18411,0.3382,0.30271,0.86191,0.01889,0.19119,0.06981,0.00563,0.18556,0.0159,0.05391,0.13432,0.1305,0.59011,0.04939,34.1977025714366,26,46,0.99,0.13,0.15,0.9
0.3,0.55,12,12,-3,4,13,13,-10,2,11,0.08004,0.16256,0.27596,0.25369,0.85195,0.0294,0.16988,0.07831,0.01181,0.15807,0.03516,0.04315,0.247,0.1241,0.50308,0.04034,36.9198707594772,24,50,0.99,0.13,0.15,0.9
0.35,0.6,13,13,-2,5,11,11,-1,1,12,0.08377,0.17348,0.32033,0.30027,0.85184,0.02393,0.22339,0.0745,0.0028,0.22059,0.00902,0.06548,0.15617,0.14894,0.53667,0.04973,36.1933006854253,26,48,0.99,0.13,0.15,0.9
0.4,0.65,13,13,-4,6,11,11,-10,1,13,0.09836,0.19232,0.34062,0.32601,0.86822,0.01798,0.18498,0.06671,0.00805,0.17694,0.02045,0.04626,0.14054,0.12585,0.57611,0.04708,35.325548934824,26,48,0.99,0.13,0.15,0.9
