
TDR_alpha10_1s_2by2_alphamax30_eta99_gam2_ic20_confidence30.csv
p0,p1,nc,ne,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,84,84,4,8,0.04019,0.17815,0.17815,0.06141,0.88722,0.09827,0.06505,0.0145,0.89477,0.03977,168,0.99,0.02,0.2,0.3
0.1,0.2,113,113,5,16,0.06516,0.19443,0.19443,0.09156,0.88743,0.0996,0.09307,0.01297,0.84177,0.05302,226,0.99,0.02,0.2,0.3
0.15,0.25,144,144,6,28,0.06232,0.19868,0.19868,0.08939,0.88925,0.09291,0.1193,0.01783,0.81837,0.06856,288,0.99,0.02,0.2,0.3
0.05,0.2,42,42,3,5,0.04105,0.16276,0.19793,0.06435,0.8886,0.09577,0.05961,0.01562,0.89934,0.03761,84,0.99,0.02,0.2,0.3
0.1,0.25,58,58,4,9,0.07269,0.16983,0.19292,0.09838,0.89721,0.0964,0.06487,0.00638,0.86244,0.03562,116,0.99,0.02,0.2,0.3
0.15,0.3,73,73,5,16,0.05052,0.15039,0.17846,0.07403,0.88724,0.0966,0.09716,0.01615,0.85231,0.05666,146,0.99,0.02,0.2,0.3
0.2,0.35,78,78,5,21,0.06191,0.16847,0.19872,0.08917,0.8856,0.09519,0.12152,0.01921,0.81657,0.07036,156,0.99,0.02,0.2,0.3
0.25,0.4,88,88,5,28,0.06815,0.18615,0.22016,0.09831,0.90207,0.0783,0.14836,0.01963,0.78349,0.08399,176,0.99,0.02,0.2,0.3
0.3,0.45,95,95,6,35,0.06496,0.16643,0.19391,0.09214,0.89063,0.09251,0.12688,0.01685,0.80814,0.07187,190,0.99,0.02,0.2,0.3
0.35,0.5,98,98,6,41,0.06906,0.17286,0.20108,0.0975,0.89312,0.08969,0.13597,0.01718,0.79496,0.07658,196,0.99,0.02,0.2,0.3
0.4,0.55,98,98,6,46,0.07081,0.17379,0.2022,0.09967,0.88987,0.09196,0.14049,0.01815,0.78868,0.07932,196,0.99,0.02,0.2,0.3
0.45,0.6,96,96,6,50,0.07115,0.17113,0.19899,0.09984,0.88391,0.09698,0.14136,0.01909,0.78748,0.08022,192,0.99,0.02,0.2,0.3
0.5,0.65,96,96,6,55,0.06748,0.16679,0.19534,0.09554,0.88533,0.09467,0.14619,0.01998,0.78631,0.08308,192,0.99,0.02,0.2,0.3
0.55,0.7,95,95,6,59,0.07033,0.1663,0.19149,0.09818,0.89148,0.09251,0.14096,0.01599,0.7887,0.07848,190,0.99,0.02,0.2,0.3
0.6,0.75,91,91,6,61,0.07098,0.15985,0.18076,0.09769,0.89115,0.09586,0.13167,0.01298,0.79734,0.07232,182,0.99,0.02,0.2,0.3
0.65,0.8,84,84,5,61,0.06602,0.16846,0.19899,0.09447,0.904,0.07793,0.16729,0.01806,0.76668,0.09268,168,0.99,0.02,0.2,0.3
0.7,0.85,75,75,5,58,0.07126,0.15776,0.17688,0.0979,0.89943,0.08958,0.13996,0.01098,0.78878,0.07547,150,0.99,0.02,0.2,0.3
0.05,0.25,29,29,3,4,0.03505,0.12222,0.17523,0.05479,0.89286,0.09986,0.02719,0.00728,0.93775,0.01724,58,0.99,0.02,0.2,0.3
0.1,0.3,37,37,3,7,0.05415,0.16062,0.22456,0.08229,0.91381,0.06957,0.10914,0.01662,0.83671,0.06288,74,0.99,0.02,0.2,0.3
0.15,0.35,43,43,4,10,0.06456,0.14461,0.18713,0.09003,0.89504,0.09568,0.07936,0.00928,0.85608,0.04432,86,0.99,0.02,0.2,0.3
0.2,0.4,51,51,4,15,0.05443,0.1491,0.21201,0.0817,0.9115,0.06936,0.13804,0.01914,0.80753,0.07859,102,0.99,0.02,0.2,0.3
0.25,0.45,54,54,5,18,0.06772,0.14035,0.17707,0.09267,0.89388,0.09725,0.09056,0.00887,0.84172,0.04971,108,0.99,0.02,0.2,0.3
