
TDR_alpha20_1s_3by2_alphaonly_eta99_gam10_ic25_confidence90.csv
p0,p1,nc,ne,r,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,41,41,-6,1,4,0.13128,0.37462,0.37462,0.56826,0.85156,0.05465,0.28097,0.09378,0.01612,0.26485,0.0305,0.06329,0.58775,0.18738,82,0.99,0.1,0.25,0.9
0.1,0.2,56,56,-8,1,8,0.16865,0.39267,0.39267,0.54961,0.85861,0.04761,0.29284,0.09378,0.02469,0.26814,0.0374,0.05637,0.53851,0.19331,112,0.99,0.1,0.25,0.9
0.15,0.25,68,68,-10,1,13,0.1844,0.39996,0.39996,0.53587,0.85883,0.0458,0.29589,0.09537,0.02828,0.26761,0.0404,0.05496,0.51971,0.19563,136,0.99,0.1,0.25,0.9
0.2,0.3,82,82,-12,1,20,0.17105,0.39484,0.39484,0.53032,0.85619,0.04486,0.31282,0.09895,0.02283,0.28999,0.03609,0.06285,0.51612,0.20588,164,0.99,0.1,0.25,0.9
0.25,0.35,89,89,-13,1,26,0.1845,0.40071,0.40071,0.52625,0.85745,0.04424,0.30744,0.0983,0.02645,0.28099,0.03928,0.05902,0.50805,0.20287,178,0.99,0.1,0.25,0.9
0.3,0.4,97,97,-14,1,33,0.19445,0.40707,0.40707,0.5231,0.86437,0.04125,0.3036,0.09436,0.02929,0.27431,0.04079,0.05357,0.50193,0.19898,194,0.99,0.1,0.25,0.9
0.65,0.75,95,95,-13,1,66,0.18483,0.3974,0.3974,0.52885,0.87144,0.03621,0.31111,0.09234,0.02625,0.28485,0.03974,0.0526,0.50405,0.20172,190,0.99,0.1,0.25,0.9
0.7,0.8,82,82,-12,1,61,0.19818,0.39944,0.39944,0.53309,0.87197,0.03584,0.29945,0.09219,0.03159,0.26785,0.04512,0.04707,0.50236,0.19582,164,0.99,0.1,0.25,0.9
0.05,0.2,17,17,-4,1,2,0.17289,0.33065,0.36916,0.98342,0.82798,0.07823,0.19128,0.09379,0.03486,0.15642,0.05378,0.04001,0.63583,0.14254,34,0.99,0.1,0.25,0.9
0.1,0.25,29,29,-6,1,5,0.14039,0.31721,0.37495,0.57145,0.85149,0.05222,0.28926,0.09629,0.01805,0.27121,0.03318,0.06311,0.57035,0.19277,58,0.99,0.1,0.25,0.9
0.15,0.3,36,36,-7,1,8,0.14425,0.31724,0.37869,0.5522,0.8554,0.04707,0.30744,0.09753,0.01776,0.28969,0.03224,0.06529,0.54831,0.20249,72,0.99,0.1,0.25,0.9
0.2,0.35,38,38,-8,1,10,0.18541,0.34409,0.39607,0.5477,0.8617,0.04492,0.28746,0.09338,0.03011,0.25736,0.04271,0.05068,0.52713,0.19042,76,0.99,0.1,0.25,0.9
0.25,0.4,41,41,-9,1,13,0.17865,0.33532,0.39083,0.54128,0.85296,0.04726,0.29743,0.09978,0.02691,0.27053,0.04155,0.05823,0.52391,0.19861,82,0.99,0.1,0.25,0.9
0.3,0.45,44,44,-9,1,16,0.19116,0.3447,0.39806,0.53806,0.86077,0.04354,0.29325,0.09568,0.03074,0.26252,0.04384,0.05184,0.51558,0.19447,88,0.99,0.1,0.25,0.9
0.35,0.5,46,46,-10,1,19,0.19524,0.34689,0.4,0.53589,0.8634,0.04191,0.29311,0.09468,0.03186,0.26126,0.04462,0.05006,0.51164,0.1939,92,0.99,0.1,0.25,0.9
0.4,0.55,47,47,-10,1,22,0.18263,0.3347,0.39173,0.5384,0.85642,0.04393,0.30266,0.09965,0.02719,0.27547,0.0422,0.05745,0.5147,0.20116,94,0.99,0.1,0.25,0.9
0.45,0.6,50,50,-10,1,26,0.17281,0.32861,0.3891,0.53628,0.86369,0.04018,0.311,0.09612,0.02381,0.28719,0.03849,0.05763,0.51618,0.20356,100,0.99,0.1,0.25,0.9
0.5,0.65,46,46,-10,1,26,0.19792,0.34427,0.39768,0.53659,0.86489,0.03994,0.29336,0.09516,0.03276,0.2606,0.04658,0.04858,0.50871,0.19426,92,0.99,0.1,0.25,0.9
0.55,0.7,45,45,-10,1,28,0.17923,0.32697,0.38533,0.5414,0.85846,0.04169,0.30497,0.09984,0.02635,0.27862,0.0429,0.05694,0.5158,0.2024,90,0.99,0.1,0.25,0.9
0.6,0.75,43,43,-9,1,29,0.17577,0.32237,0.38147,0.5445,0.86108,0.04011,0.30601,0.0988,0.02556,0.28044,0.04275,0.05605,0.51822,0.2024,86,0.99,0.1,0.25,0.9
0.65,0.8,40,40,-8,1,29,0.17829,0.32269,0.38063,0.54654,0.8682,0.03689,0.30205,0.0949,0.02698,0.27507,0.04429,0.05061,0.51965,0.19848,80,0.99,0.1,0.25,0.9
0.7,0.85,35,35,-7,1,27,0.19837,0.33529,0.3865,0.55694,0.87975,0.03147,0.28546,0.08877,0.03574,0.24972,0.05138,0.03739,0.51617,0.18712,70,0.99,0.1,0.25,0.9
0.05,0.25,13,13,-4,1,2,0.11987,0.27164,0.35562,0.98724,0.83856,0.07386,0.19585,0.08758,0.01555,0.1803,0.03473,0.05285,0.68428,0.14172,26,0.99,0.1,0.25,0.9
0.1,0.3,20,20,-5,1,4,0.11953,0.26718,0.3686,0.57324,0.86525,0.04689,0.28668,0.08786,0.01341,0.27326,0.02765,0.06021,0.59379,0.18727,40,0.99,0.1,0.25,0.9
0.15,0.35,21,21,-6,1,5,0.1697,0.30142,0.38553,0.56563,0.86644,0.04591,0.2713,0.08765,0.02776,0.24354,0.04119,0.04645,0.559,0.17947,42,0.99,0.1,0.25,0.9
