
TDR_alpha20_1s_3by2_alphaonly_eta99_gam12_ic15_confidence90.csv
p0,p1,nc,ne,r,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,39,39,-6,2,4,0.09822,0.26243,0.26243,0.5894,0.78066,0.10131,0.14291,0.11802,0.03092,0.11199,0.07585,0.04217,0.75887,0.13047,78,0.99,0.12,0.15,0.9
0.1,0.2,67,67,-9,3,10,0.09643,0.24957,0.24957,0.54585,0.80837,0.07344,0.17028,0.11819,0.03261,0.13767,0.07805,0.04015,0.73328,0.14424,134,0.99,0.12,0.15,0.9
0.15,0.25,88,88,-11,3,16,0.16834,0.30616,0.30616,0.53099,0.86842,0.03433,0.20193,0.09724,0.07201,0.12992,0.08099,0.01625,0.62972,0.14958,176,0.99,0.12,0.15,0.9
0.05,0.2,16,16,-4,1,2,0.15997,0.3183,0.35986,0.98437,0.80723,0.0912,0.19239,0.10157,0.02926,0.16313,0.05202,0.04955,0.64765,0.14698,32,0.99,0.12,0.15,0.9
0.1,0.25,29,29,-6,2,5,0.11952,0.24302,0.27956,0.57145,0.80672,0.07805,0.17115,0.11523,0.03891,0.13224,0.07795,0.03728,0.70933,0.14319,58,0.99,0.12,0.15,0.9
0.15,0.3,43,43,-8,3,9,0.12334,0.22329,0.24893,0.54798,0.83301,0.04948,0.16404,0.11751,0.06364,0.1004,0.09981,0.01771,0.71262,0.14077,86,0.99,0.12,0.15,0.9
0.2,0.35,49,49,-9,3,13,0.1213,0.23467,0.26697,0.54257,0.83936,0.05119,0.18712,0.10945,0.04513,0.14199,0.08145,0.028,0.69158,0.14828,98,0.99,0.12,0.15,0.9
0.25,0.4,56,56,-10,3,17,0.15421,0.26553,0.29285,0.53288,0.86827,0.034,0.20114,0.09773,0.06291,0.13823,0.08004,0.01768,0.64465,0.14943,112,0.99,0.12,0.15,0.9
0.3,0.45,61,61,-11,4,22,0.12419,0.21924,0.24351,0.53197,0.83835,0.04257,0.18073,0.11907,0.06041,0.12032,0.09988,0.01919,0.69508,0.1499,122,0.99,0.12,0.15,0.9
0.35,0.5,66,66,-12,4,27,0.13044,0.23016,0.25515,0.52884,0.85445,0.03621,0.18994,0.10933,0.05889,0.13105,0.09111,0.01822,0.67961,0.14964,132,0.99,0.12,0.15,0.9
0.4,0.55,70,70,-12,4,32,0.13638,0.23854,0.26326,0.52716,0.86807,0.03043,0.19628,0.10149,0.05963,0.13664,0.08526,0.01623,0.66733,0.14889,140,0.99,0.12,0.15,0.9
0.45,0.6,71,71,-12,4,36,0.13834,0.24021,0.26451,0.53067,0.87206,0.02827,0.19913,0.09965,0.05994,0.13919,0.08415,0.0155,0.66252,0.14939,142,0.99,0.12,0.15,0.9
0.5,0.65,70,70,-12,3,38,0.19461,0.30218,0.32369,0.52805,0.90766,0.01542,0.22234,0.07691,0.08057,0.14177,0.06823,0.00867,0.58305,0.14962,140,0.99,0.12,0.15,0.9
0.55,0.7,69,69,-12,4,42,0.13544,0.23312,0.25559,0.53252,0.87424,0.02545,0.19934,0.1003,0.06009,0.13925,0.08616,0.01414,0.66521,0.14982,138,0.99,0.12,0.15,0.9
0.6,0.75,65,65,-11,3,42,0.18593,0.28892,0.30889,0.53198,0.90728,0.01404,0.22061,0.07867,0.07927,0.14134,0.07072,0.00795,0.59345,0.14964,130,0.99,0.12,0.15,0.9
0.65,0.8,61,61,-10,3,43,0.1613,0.26833,0.29161,0.53777,0.90396,0.01589,0.21889,0.08014,0.06262,0.15626,0.06984,0.01031,0.61981,0.14952,122,0.99,0.12,0.15,0.9
0.7,0.85,56,56,-9,3,42,0.1718,0.26225,0.27645,0.54151,0.90752,0.01042,0.21425,0.08205,0.08305,0.1312,0.07658,0.00548,0.61394,0.14815,112,0.99,0.12,0.15,0.9
0.05,0.25,12,12,-4,1,2,0.10632,0.25251,0.34162,0.98821,0.80862,0.08992,0.19645,0.10146,0.01204,0.18441,0.03299,0.06847,0.69723,0.14896,24,0.99,0.12,0.15,0.9
0.1,0.3,19,19,-5,2,4,0.08818,0.18531,0.24956,0.59334,0.79265,0.0918,0.1408,0.11555,0.02682,0.11399,0.07417,0.04138,0.77102,0.12818,38,0.99,0.12,0.15,0.9
0.15,0.35,21,21,-6,2,5,0.14033,0.2293,0.28036,0.56563,0.81366,0.06638,0.17242,0.11996,0.05714,0.11528,0.09397,0.02599,0.68726,0.14619,42,0.99,0.12,0.15,0.9
0.2,0.4,29,29,-7,2,8,0.15719,0.26061,0.31675,0.55573,0.87566,0.03613,0.20563,0.0882,0.05252,0.15312,0.06734,0.02086,0.63717,0.14692,58,0.99,0.12,0.15,0.9
0.25,0.45,32,32,-8,3,11,0.10828,0.1898,0.23976,0.54518,0.8255,0.05489,0.17173,0.1196,0.04531,0.12642,0.09296,0.02664,0.71999,0.14567,64,0.99,0.12,0.15,0.9
0.3,0.5,34,34,-8,3,13,0.13172,0.21123,0.25489,0.54407,0.8425,0.04184,0.18334,0.11565,0.06115,0.12219,0.09676,0.01889,0.68493,0.1495,68,0.99,0.12,0.15,0.9
0.35,0.55,37,37,-9,3,16,0.13331,0.21759,0.26456,0.54459,0.85929,0.0358,0.19321,0.1049,0.05538,0.13783,0.08587,0.01903,0.67348,0.14905,74,0.99,0.12,0.15,0.9
0.4,0.6,39,39,-9,3,19,0.12585,0.21426,0.26693,0.54201,0.8674,0.03415,0.2014,0.09844,0.04547,0.15592,0.07671,0.02173,0.67275,0.14992,78,0.99,0.12,0.15,0.9
0.45,0.65,40,40,-9,3,21,0.14888,0.2326,0.27463,0.53887,0.88312,0.02355,0.20251,0.09332,0.06415,0.13836,0.08058,0.01274,0.6486,0.14792,80,0.99,0.12,0.15,0.9
0.5,0.7,39,39,-9,2,22,0.19704,0.2986,0.34927,0.54287,0.92063,0.01415,0.23426,0.06522,0.06414,0.17013,0.05514,0.01008,0.56869,0.14974,78,0.99,0.12,0.15,0.9
0.55,0.75,38,38,-9,3,24,0.13934,0.21931,0.25999,0.54607,0.88206,0.02213,0.20248,0.0958,0.05953,0.14295,0.0831,0.0127,0.65817,0.14914,76,0.99,0.12,0.15,0.9
0.6,0.8,36,36,-8,2,24,0.19426,0.29005,0.33589,0.54894,0.92558,0.01073,0.23217,0.06368,0.06723,0.16494,0.05619,0.00749,0.57357,0.14793,72,0.99,0.12,0.15,0.9
0.65,0.85,32,32,-7,2,23,0.19389,0.28082,0.31972,0.55623,0.92115,0.00956,0.2278,0.06929,0.07455,0.15325,0.06322,0.00607,0.57831,0.14854,64,0.99,0.12,0.15,0.9
0.7,0.9,30,30,-6,3,24,0.10674,0.16883,0.19574,0.56102,0.87035,0.01657,0.18641,0.11308,0.05278,0.13363,0.10382,0.00926,0.70685,0.14975,60,0.99,0.12,0.15,0.9
0.05,0.3,10,10,-4,1,2,0.07959,0.20861,0.3363,0.99014,0.8273,0.07683,0.19523,0.09588,0.00655,0.18868,0.02339,0.07248,0.72518,0.14555,20,0.99,0.12,0.15,0.9
0.1,0.35,14,14,-5,2,3,0.10503,0.17909,0.24079,0.59619,0.81592,0.06942,0.11212,0.11466,0.05333,0.0588,0.10015,0.01451,0.78285,0.11339,28,0.99,0.12,0.15,0.9
0.15,0.4,16,16,-5,2,4,0.13943,0.21105,0.26773,0.57774,0.83526,0.05076,0.15613,0.11398,0.07066,0.08548,0.09957,0.01441,0.70443,0.13506,32,0.99,0.12,0.15,0.9
0.2,0.45,17,17,-6,2,5,0.16078,0.22881,0.28194,0.57022,0.83782,0.04507,0.1784,0.11711,0.08099,0.09741,0.10259,0.01451,0.66082,0.14775,34,0.99,0.12,0.15,0.9
0.25,0.5,20,20,-6,2,7,0.15494,0.23225,0.2973,0.55827,0.86201,0.03856,0.19554,0.09942,0.05926,0.13628,0.08031,0.01911,0.64952,0.14748,40,0.99,0.12,0.15,0.9
0.3,0.55,23,23,-7,2,9,0.16761,0.24848,0.31354,0.55806,0.88913,0.02641,0.20838,0.08446,0.06152,0.14686,0.06974,0.01472,0.62401,0.14642,46,0.99,0.12,0.15,0.9
0.35,0.6,25,25,-7,3,12,0.09092,0.15499,0.22056,0.5544,0.83468,0.04922,0.17276,0.11609,0.03449,0.13827,0.08751,0.02858,0.73632,0.14443,50,0.99,0.12,0.15,0.9
0.4,0.65,25,25,-7,3,13,0.10661,0.16842,0.22471,0.55053,0.84284,0.04002,0.17587,0.11714,0.04716,0.12871,0.09671,0.02043,0.71752,0.1465,50,0.99,0.12,0.15,0.9
0.45,0.7,25,25,-7,3,14,0.12092,0.17949,0.22616,0.55305,0.85214,0.03052,0.17966,0.11734,0.06177,0.11789,0.10361,0.01373,0.69942,0.1485,50,0.99,0.12,0.15,0.9
0.5,0.75,24,24,-7,2,14,0.19192,0.26447,0.3164,0.55437,0.90891,0.01376,0.21951,0.07733,0.07869,0.14081,0.06974,0.00759,0.58857,0.14842,48,0.99,0.12,0.15,0.9
0.55,0.8,23,23,-6,2,15,0.16345,0.23854,0.30146,0.56092,0.90567,0.01625,0.22191,0.07808,0.05682,0.16509,0.06697,0.01111,0.61463,0.15,46,0.99,0.12,0.15,0.9
0.6,0.85,22,22,-6,2,15,0.19641,0.26008,0.2979,0.56438,0.91642,0.00763,0.21932,0.07595,0.09339,0.12593,0.07219,0.00376,0.58427,0.14763,44,0.99,0.12,0.15,0.9
0.65,0.9,20,20,-6,2,15,0.17001,0.23308,0.27338,0.57256,0.91476,0.0072,0.2149,0.07804,0.07539,0.13951,0.07399,0.00405,0.61509,0.14647,40,0.99,0.12,0.15,0.9
0.7,0.95,17,17,-5,2,14,0.14042,0.19692,0.2331,0.59114,0.90627,0.00547,0.208,0.08825,0.06149,0.14651,0.08493,0.00333,0.65158,0.14813,34,0.99,0.12,0.15,0.9
