"","p0","p1","nc1","ne1","a1","m1","nc2","ne2","b2","m2","alpha","alpha1","alpha2","power","beta","nogo","En","N1","N2","ci"
"43",0.05,0.3,9,9,-2,1,2,2,1,2,0.09144,0.22879,0.35114,0.85913,0.09904,0.27578,19.4688558196313,18,22,0.3
"44",0.1,0.35,12,12,-2,2,2,2,2,3,0.10283,0.17667,0.2396,0.81329,0.1405,0.23189,25.3388695124143,24,28,0.3
"45",0.15,0.4,10,10,-3,2,4,4,1,4,0.12648,0.23192,0.35304,0.83415,0.11796,0.32631,23.6223294128976,20,28,0.3
"46",0.2,0.45,12,12,-3,3,3,3,1,5,0.1425,0.24317,0.3603,0.83786,0.1174,0.29402,26.6191203189486,24,30,0.3
"47",0.25,0.5,13,13,-3,4,2,2,1,6,0.13229,0.22482,0.34531,0.81122,0.13939,0.2776,27.6395405142873,26,30,0.3
"48",0.3,0.55,12,12,-3,4,5,5,2,7,0.15382,0.21937,0.28035,0.80818,0.15149,0.3431,28.9691810613374,24,34,0.3
"49",0.35,0.6,13,13,-2,5,3,3,1,8,0.14102,0.22856,0.34599,0.81607,0.1342,0.32231,28.7799910960251,26,32,0.3
"50",0.4,0.65,13,13,-4,6,5,5,1,10,0.11989,0.20678,0.3359,0.82431,0.12861,0.30399,30.2388858794655,26,36,0.3
"51",0.45,0.7,10,10,-4,5,8,8,1,11,0.11224,0.19503,0.32475,0.81818,0.13394,0.38225,27.9117984129035,20,36,0.3
"52",0.5,0.75,9,9,-4,5,6,6,1,10,0.13106,0.20897,0.3253,0.80292,0.14793,0.36846,23.9942321777344,18,30,0.3
"53",0.55,0.8,10,10,-2,6,6,6,2,11,0.13871,0.196,0.25438,0.80155,0.15144,0.3379,25.719293816568,20,32,0.3
"54",0.6,0.85,9,9,-2,6,5,5,1,11,0.11201,0.18371,0.3021,0.8128,0.14311,0.35128,22.6329077207322,18,28,0.3
"55",0.65,0.9,8,8,-2,6,4,4,1,10,0.13304,0.20381,0.31131,0.83633,0.12083,0.28653,19.3565662979657,16,24,0.3
"56",0.7,0.95,6,6,-2,5,4,4,1,9,0.13044,0.19505,0.29331,0.8499,0.11733,0.28974,15.3614,12,20,0.3
