
TDR_alpha20_1s_2by2_alphamax30_eta99_gam4_ic30_confidence30.csv
p0,p1,nc,ne,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,40,40,2,4,0.10376,0.26722,0.26722,0.1444,0.79256,0.1702,0.10956,0.03724,0.78669,0.0734,80,0.99,0.04,0.3,0.3
0.1,0.2,56,56,2,8,0.14986,0.31727,0.31727,0.19786,0.82514,0.13539,0.16678,0.03947,0.68336,0.10312,112,0.99,0.04,0.3,0.3
0.15,0.25,72,72,3,14,0.1345,0.27685,0.27685,0.17633,0.80157,0.16137,0.14456,0.03706,0.72094,0.09081,144,0.99,0.04,0.3,0.3
0.2,0.3,74,74,3,18,0.15515,0.29002,0.29002,0.19876,0.78639,0.17422,0.1482,0.03938,0.69664,0.09379,148,0.99,0.04,0.3,0.3
0.25,0.35,85,85,4,25,0.1409,0.25691,0.25691,0.17914,0.76539,0.19968,0.12656,0.03492,0.73252,0.08074,170,0.99,0.04,0.3,0.3
0.3,0.4,88,88,4,30,0.15789,0.26889,0.26889,0.19672,0.76874,0.19961,0.12444,0.03164,0.71765,0.07804,176,0.99,0.04,0.3,0.3
0.35,0.45,94,94,4,37,0.15356,0.27433,0.27433,0.19455,0.77335,0.18848,0.1427,0.03815,0.70373,0.09043,188,0.99,0.04,0.3,0.3
0.4,0.5,104,104,4,46,0.15689,0.28522,0.28522,0.19948,0.79689,0.16683,0.1533,0.03626,0.68979,0.09478,208,0.99,0.04,0.3,0.3
0.45,0.55,106,106,5,52,0.14959,0.2503,0.2503,0.18526,0.77363,0.19969,0.11767,0.02666,0.73273,0.07216,212,0.99,0.04,0.3,0.3
0.5,0.6,103,103,4,56,0.15629,0.28259,0.28259,0.19875,0.7931,0.16918,0.15663,0.0377,0.68706,0.09717,206,0.99,0.04,0.3,0.3
0.55,0.65,94,94,4,56,0.15389,0.27138,0.27138,0.19478,0.77168,0.18848,0.1501,0.03983,0.696,0.09497,188,0.99,0.04,0.3,0.3
0.6,0.7,90,90,4,58,0.15718,0.26622,0.26622,0.19641,0.77188,0.19353,0.14004,0.03458,0.70277,0.08731,180,0.99,0.04,0.3,0.3
0.65,0.75,85,85,4,59,0.15593,0.25623,0.25623,0.19301,0.76998,0.19968,0.13085,0.03033,0.71321,0.08059,170,0.99,0.04,0.3,0.3
0.7,0.8,82,82,4,61,0.1509,0.2444,0.2444,0.18585,0.77821,0.19644,0.12448,0.02533,0.72462,0.07491,164,0.99,0.04,0.3,0.3
0.05,0.2,22,22,2,3,0.0711,0.1923,0.23003,0.10556,0.76713,0.19841,0.06698,0.03447,0.86192,0.05072,44,0.99,0.04,0.3,0.3
0.1,0.25,29,29,2,5,0.11952,0.24302,0.27956,0.16225,0.80672,0.156,0.13224,0.03728,0.74824,0.08476,58,0.99,0.04,0.3,0.3
0.15,0.3,37,37,3,8,0.11629,0.2063,0.23148,0.15005,0.7844,0.19331,0.08992,0.02229,0.7938,0.05611,74,0.99,0.04,0.3,0.3
0.2,0.35,39,39,3,10,0.14982,0.23151,0.25259,0.18427,0.78845,0.19383,0.08892,0.01772,0.76125,0.05332,78,0.99,0.04,0.3,0.3
0.25,0.4,41,41,3,13,0.14041,0.23171,0.25842,0.1787,0.77789,0.1912,0.12108,0.03091,0.73851,0.07599,82,0.99,0.04,0.3,0.3
0.3,0.45,43,43,3,16,0.13712,0.2327,0.26278,0.17728,0.77432,0.18625,0.14091,0.03942,0.72197,0.09017,86,0.99,0.04,0.3,0.3
0.35,0.5,43,43,3,18,0.1505,0.241,0.26847,0.1906,0.77316,0.19135,0.13546,0.03548,0.71404,0.08547,86,0.99,0.04,0.3,0.3
0.4,0.55,51,51,3,24,0.14014,0.24591,0.27971,0.18303,0.80998,0.15089,0.1666,0.03913,0.69325,0.10286,102,0.99,0.04,0.3,0.3
0.45,0.6,46,46,3,24,0.14703,0.24177,0.27172,0.18848,0.78461,0.17623,0.15324,0.03915,0.69972,0.0962,92,0.99,0.04,0.3,0.3
0.5,0.65,42,42,3,24,0.15367,0.23839,0.26422,0.19315,0.7661,0.19767,0.13915,0.03622,0.70717,0.08769,84,0.99,0.04,0.3,0.3
0.55,0.7,42,42,3,26,0.15729,0.23938,0.26304,0.19582,0.77635,0.19261,0.13457,0.03103,0.70813,0.0828,84,0.99,0.04,0.3,0.3
0.6,0.75,40,40,3,27,0.14559,0.22587,0.24963,0.1831,0.76775,0.19816,0.13864,0.03409,0.71577,0.08636,80,0.99,0.04,0.3,0.3
0.65,0.8,39,39,3,28,0.15525,0.22728,0.24484,0.1899,0.784,0.19383,0.12117,0.02216,0.72358,0.07166,78,0.99,0.04,0.3,0.3
0.7,0.85,37,37,3,29,0.121,0.1961,0.21734,0.15477,0.7746,0.19331,0.14179,0.03209,0.7372,0.08694,74,0.99,0.04,0.3,0.3
0.05,0.25,18,18,2,3,0.04687,0.15292,0.22478,0.07646,0.81133,0.1506,0.06687,0.03807,0.88626,0.05247,36,0.99,0.04,0.3,0.3
0.1,0.3,17,17,2,3,0.14164,0.21508,0.25388,0.17575,0.79183,0.19848,0.0467,0.00969,0.81166,0.02819,34,0.99,0.04,0.3,0.3
0.15,0.35,20,20,2,5,0.12502,0.21435,0.27044,0.16674,0.79112,0.17294,0.12526,0.03594,0.74972,0.0806,40,0.99,0.04,0.3,0.3
0.2,0.4,27,27,3,8,0.10172,0.17336,0.21661,0.13409,0.78777,0.18801,0.09452,0.02421,0.80376,0.05936,54,0.99,0.04,0.3,0.3
0.25,0.45,27,27,3,9,0.13054,0.19406,0.22846,0.1626,0.78502,0.19795,0.0848,0.01703,0.78465,0.05092,54,0.99,0.04,0.3,0.3
0.3,0.5,28,28,3,11,0.1254,0.19306,0.23293,0.15986,0.78173,0.19323,0.10731,0.02504,0.76729,0.06618,56,0.99,0.04,0.3,0.3
