
TDR_alpha20_2s_3by2_alphamax30_eta99_gam1_ic5_confidence30.csv
p0,p1,nc1,ne1,a1,m1,nc2,ne2,b1,b2,m2,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,es0,es1,En,N1,N2,etamax,gammax,expicmax,ci
0.05,0.15,30,30,-4,2,4,4,1,2,3,0.14326,0.26243,0.26243,0.17893,0.76824,0.17384,0.03683,0.00943,0,0.03683,0,0.00943,0.26545,0.02313,0.55447,0.04848,63.5642584710696,60,68,0.99,0.01,0.05,0.3
0.1,0.2,44,44,-4,5,6,6,2,3,6,0.16538,0.23742,0.23742,0.18965,0.75343,0.19766,0.01059,0.00169,0,0.01059,0,0.00169,0.27021,0.00614,0.55382,0.04721,93.3541283090504,88,100,0.99,0.01,0.05,0.3
0.15,0.25,50,50,-5,8,18,18,3,4,11,0.161,0.22113,0.22113,0.18151,0.75188,0.19881,0.00796,0.00083,0,0.00796,0,0.00083,0.30557,0.0044,0.52547,0.04847,117.083183012836,100,136,0.99,0.01,0.05,0.3
0.2,0.3,53,53,-7,11,21,21,3,4,17,0.1588,0.24192,0.24192,0.18865,0.75205,0.19034,0.03697,0.00801,0,0.03697,0,0.00801,0.30152,0.02249,0.50271,0.0496,126.886260558701,106,148,0.99,0.01,0.05,0.3
0.25,0.35,62,62,-7,16,27,27,4,5,24,0.16043,0.22328,0.22328,0.18379,0.75123,0.19741,0.0193,0.00272,0,0.0193,0,0.00272,0.30583,0.01101,0.51443,0.04863,150.220568842469,124,178,0.99,0.01,0.05,0.3
0.3,0.4,65,65,-8,20,27,27,4,5,29,0.17569,0.2353,0.2353,0.19888,0.75315,0.19524,0.01635,0.0021,0,0.01635,0,0.0021,0.29745,0.00923,0.51051,0.0495,156.432717895399,130,184,0.99,0.01,0.05,0.3
0.35,0.45,70,70,-7,25,25,25,4,5,36,0.16478,0.2411,0.2411,0.19406,0.75265,0.19028,0.03769,0.00794,0,0.03769,0,0.00794,0.2844,0.02282,0.51312,0.04911,164.343932982347,140,190,0.99,0.01,0.05,0.3
0.4,0.5,69,69,-7,28,31,31,4,5,43,0.16563,0.24735,0.24735,0.19659,0.76185,0.17914,0.04381,0.00903,0,0.04381,0,0.00903,0.288,0.02642,0.50254,0.04997,168.842658299957,138,200,0.99,0.01,0.05,0.3
0.45,0.55,70,70,-8,32,26,26,4,5,46,0.17026,0.24521,0.24521,0.19997,0.75008,0.19252,0.03896,0.0083,0,0.03896,0,0.0083,0.28408,0.02363,0.50669,0.04908,165.652131077505,140,192,0.99,0.01,0.05,0.3
0.5,0.6,67,67,-9,34,31,31,4,5,52,0.16621,0.24442,0.24442,0.19669,0.7548,0.18675,0.04259,0.00888,0,0.04259,0,0.00888,0.28883,0.02574,0.50236,0.04955,164.853701014536,134,196,0.99,0.01,0.05,0.3
