
TDR_alpha20_1s_3by2_alphamax30_eta99_gam11_ic15_confidence30.csv
p0,p1,nc,ne,r,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,N,etamax,gammax,expicmax,ci
0.6,0.8,37,37,-8,3,25,0.14839,0.22185,0.25298,0.49175,0.89073,0.01533,0.2015,0.09394,0.0733,0.1282,0.08621,0.00773,0.6501,0.14772,74,0.99,0.11,0.15,0.3
0.65,0.85,34,34,-7,3,25,0.13104,0.20053,0.23035,0.49341,0.88415,0.01568,0.19593,0.10016,0.06448,0.13145,0.09186,0.0083,0.67303,0.14804,68,0.99,0.11,0.15,0.3
0.7,0.9,31,31,-7,3,25,0.0947,0.16092,0.19564,0.52505,0.87652,0.01833,0.18921,0.10515,0.03995,0.14926,0.09292,0.01224,0.71609,0.14718,62,0.99,0.11,0.15,0.3
0.05,0.3,10,10,-4,1,2,0.07959,0.20861,0.3363,0.79325,0.8273,0.07683,0.19523,0.09588,0.00655,0.18868,0.02339,0.07248,0.72518,0.14555,20,0.99,0.11,0.15,0.3
0.1,0.35,15,15,-5,2,3,0.11762,0.19234,0.25016,0.59287,0.84069,0.05195,0.12139,0.10736,0.06644,0.05495,0.09757,0.00979,0.76099,0.11437,30,0.99,0.11,0.15,0.3
0.15,0.4,17,17,-5,2,4,0.15554,0.22559,0.27639,0.56423,0.85582,0.0372,0.16521,0.10698,0.0888,0.07641,0.09772,0.00926,0.67925,0.13609,34,0.99,0.11,0.15,0.3
0.2,0.45,22,22,-6,2,7,0.10674,0.19831,0.29061,0.52973,0.87776,0.03965,0.20405,0.08259,0.0262,0.17785,0.05172,0.03087,0.6892,0.14332,44,0.99,0.11,0.15,0.3
0.25,0.5,20,20,-6,2,7,0.15494,0.23225,0.2973,0.50225,0.86201,0.03856,0.19554,0.09942,0.05926,0.13628,0.08031,0.01911,0.64952,0.14748,40,0.99,0.11,0.15,0.3
0.3,0.55,25,25,-7,2,10,0.14648,0.23594,0.31541,0.51846,0.90018,0.02549,0.218,0.07433,0.04295,0.17505,0.05585,0.01848,0.63552,0.14616,50,0.99,0.11,0.15,0.3
0.35,0.6,26,26,-7,3,12,0.11084,0.17572,0.23173,0.49486,0.85695,0.03493,0.17352,0.10812,0.05077,0.12275,0.09129,0.01683,0.71564,0.14082,52,0.99,0.11,0.15,0.3
0.4,0.65,27,27,-8,3,14,0.10354,0.17019,0.23223,0.52269,0.86366,0.03384,0.18135,0.1025,0.04111,0.14024,0.08272,0.01978,0.7151,0.14193,54,0.99,0.11,0.15,0.3
0.45,0.7,26,26,-7,3,15,0.09756,0.16092,0.22309,0.52057,0.85331,0.03726,0.18299,0.10942,0.03744,0.14555,0.08637,0.02305,0.71945,0.1462,52,0.99,0.11,0.15,0.3
0.5,0.75,26,26,-7,3,16,0.11228,0.17321,0.22392,0.49046,0.86772,0.02612,0.18313,0.10616,0.05119,0.13195,0.0922,0.01397,0.70458,0.14465,52,0.99,0.11,0.15,0.3
0.55,0.8,25,25,-7,3,17,0.09505,0.15356,0.20784,0.52595,0.86185,0.02884,0.18269,0.10931,0.03893,0.14376,0.09137,0.01793,0.72225,0.146,50,0.99,0.11,0.15,0.3
0.6,0.85,24,24,-6,2,17,0.14674,0.22572,0.29517,0.5174,0.92595,0.01091,0.22786,0.06314,0.0452,0.18267,0.05417,0.00897,0.62539,0.1455,48,0.99,0.11,0.15,0.3
0.65,0.9,21,21,-6,2,16,0.14775,0.21776,0.27315,0.53718,0.92187,0.00839,0.21912,0.06973,0.05312,0.166,0.06368,0.00605,0.63312,0.14443,42,0.99,0.11,0.15,0.3
0.7,0.95,17,17,-5,2,14,0.14042,0.19692,0.2331,0.56118,0.90627,0.00547,0.208,0.08825,0.06149,0.14651,0.08493,0.00333,0.65158,0.14813,34,0.99,0.11,0.15,0.3
