
TDR_alpha20_1s_3by2_alphamax30_eta99_gam14_ic20_confidence30.csv
p0,p1,nc,ne,r,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,27,27,-5,1,3,0.13287,0.33953,0.33953,0.58426,0.7513,0.11032,0.25421,0.13839,0.01762,0.23659,0.04125,0.09714,0.61292,0.1963,54,0.99,0.14,0.2,0.3
0.1,0.2,46,46,-7,2,7,0.13416,0.29228,0.29228,0.52945,0.76207,0.10082,0.20246,0.13711,0.03772,0.16475,0.07842,0.05869,0.66338,0.16979,92,0.99,0.14,0.2,0.3
0.15,0.25,63,63,-9,2,13,0.12003,0.30392,0.30392,0.49598,0.7743,0.08712,0.25505,0.13858,0.02159,0.23346,0.05295,0.08563,0.62492,0.19681,126,0.99,0.14,0.2,0.3
0.2,0.3,74,74,-11,3,18,0.15515,0.29002,0.29002,0.49607,0.78639,0.07552,0.20604,0.13808,0.05784,0.1482,0.0987,0.03938,0.6388,0.17206,148,0.99,0.14,0.2,0.3
0.25,0.35,81,81,-12,3,24,0.15246,0.29712,0.29712,0.47141,0.78328,0.07864,0.22027,0.13807,0.04782,0.17244,0.08824,0.04983,0.62727,0.17917,162,0.99,0.14,0.2,0.3
0.3,0.4,89,89,-13,3,31,0.1484,0.30231,0.30231,0.48063,0.78678,0.07716,0.23318,0.13605,0.04033,0.19285,0.07871,0.05734,0.61841,0.18461,178,0.99,0.14,0.2,0.3
0.35,0.45,95,95,-14,3,38,0.14439,0.30431,0.30431,0.465,0.78812,0.07613,0.24294,0.13574,0.03544,0.20749,0.07257,0.06317,0.61266,0.18934,190,0.99,0.14,0.2,0.3
0.4,0.5,98,98,-14,3,44,0.15005,0.30916,0.30916,0.4625,0.79338,0.07271,0.24492,0.1339,0.0372,0.20771,0.0734,0.0605,0.60502,0.18941,196,0.99,0.14,0.2,0.3
0.5,0.6,98,98,-14,3,54,0.14655,0.30506,0.30506,0.45727,0.78978,0.07336,0.2491,0.13685,0.03512,0.21399,0.07274,0.0641,0.60433,0.19297,196,0.99,0.14,0.2,0.3
0.55,0.65,98,98,-14,3,59,0.14204,0.30165,0.30165,0.48133,0.79304,0.07118,0.25105,0.13577,0.03324,0.21782,0.07117,0.0646,0.60689,0.19341,196,0.99,0.14,0.2,0.3
0.6,0.7,92,92,-13,3,60,0.1441,0.29664,0.29664,0.46651,0.78979,0.07173,0.2456,0.13847,0.03629,0.20931,0.0771,0.06137,0.61028,0.19203,184,0.99,0.14,0.2,0.3
0.65,0.75,90,90,-13,3,63,0.14838,0.29646,0.29646,0.47732,0.80553,0.06251,0.2403,0.13196,0.04065,0.19964,0.08116,0.0508,0.61131,0.18613,180,0.99,0.14,0.2,0.3
0.7,0.8,84,84,-12,3,63,0.14651,0.28714,0.28714,0.48999,0.81068,0.05785,0.234,0.13147,0.04365,0.19035,0.08689,0.04458,0.61948,0.18273,168,0.99,0.14,0.2,0.3
0.05,0.2,14,14,-4,1,2,0.13338,0.28891,0.33634,0.73787,0.75555,0.12285,0.19484,0.1216,0.0196,0.17524,0.04653,0.07507,0.67178,0.15822,28,0.99,0.14,0.2,0.3
0.1,0.25,25,25,-6,2,4,0.15446,0.25099,0.27665,0.55774,0.78567,0.07704,0.16245,0.13729,0.08194,0.08052,0.1181,0.01919,0.68309,0.14987,50,0.99,0.14,0.2,0.3
0.15,0.3,30,30,-7,2,7,0.12073,0.23962,0.28115,0.5296,0.76607,0.09758,0.20315,0.13635,0.03184,0.1713,0.0744,0.06195,0.67612,0.16975,60,0.99,0.14,0.2,0.3
0.2,0.35,35,35,-8,2,10,0.11987,0.24347,0.29036,0.48623,0.7715,0.09045,0.2323,0.13805,0.02586,0.20644,0.0634,0.07466,0.64783,0.18517,70,0.99,0.14,0.2,0.3
0.25,0.4,42,42,-9,2,14,0.12053,0.2519,0.30336,0.50082,0.79663,0.07433,0.25447,0.12903,0.02252,0.23196,0.05431,0.07472,0.625,0.19175,84,0.99,0.14,0.2,0.3
0.3,0.45,45,45,-10,2,17,0.13664,0.26777,0.31692,0.49528,0.81202,0.066,0.25582,0.12198,0.02751,0.22832,0.05779,0.06419,0.60753,0.1889,90,0.99,0.14,0.2,0.3
0.35,0.5,42,42,-9,2,18,0.14856,0.26994,0.31537,0.50282,0.79263,0.07462,0.25038,0.13275,0.03318,0.2172,0.06738,0.06537,0.60105,0.19156,84,0.99,0.14,0.2,0.3
0.4,0.55,48,48,-10,2,23,0.13867,0.26856,0.31916,0.47945,0.81425,0.06298,0.26536,0.12276,0.02664,0.23872,0.05665,0.06611,0.59596,0.19406,96,0.99,0.14,0.2,0.3
0.45,0.6,45,45,-10,2,24,0.13802,0.26135,0.31097,0.48334,0.79584,0.07087,0.26439,0.13329,0.027,0.23738,0.06051,0.07278,0.59759,0.19884,90,0.99,0.14,0.2,0.3
0.5,0.65,48,48,-10,2,28,0.1321,0.25961,0.31191,0.47232,0.81269,0.06192,0.27178,0.12538,0.02406,0.24772,0.05527,0.07012,0.59611,0.19858,96,0.99,0.14,0.2,0.3
0.55,0.7,41,41,-9,2,26,0.14537,0.2603,0.30571,0.49912,0.79147,0.07135,0.25643,0.13717,0.03211,0.22431,0.07016,0.06702,0.5982,0.1968,82,0.99,0.14,0.2,0.3
0.6,0.75,38,38,-9,2,26,0.14985,0.25902,0.30103,0.51188,0.7902,0.07043,0.24945,0.13936,0.03651,0.21294,0.0781,0.06126,0.60069,0.19441,76,0.99,0.14,0.2,0.3
0.65,0.8,41,41,-8,2,30,0.14295,0.25914,0.30313,0.50731,0.82823,0.05187,0.25426,0.11989,0.033,0.22125,0.06961,0.05029,0.60279,0.18708,82,0.99,0.14,0.2,0.3
0.7,0.85,37,37,-8,2,29,0.14064,0.25,0.29017,0.523,0.83064,0.04823,0.24667,0.12113,0.03564,0.21104,0.07697,0.04416,0.61268,0.1839,74,0.99,0.14,0.2,0.3
0.05,0.25,11,11,-4,1,2,0.09285,0.23149,0.32476,0.7773,0.77239,0.10901,0.19635,0.11859,0.00904,0.18731,0.03051,0.08809,0.7108,0.15747,22,0.99,0.14,0.2,0.3
0.1,0.3,18,18,-5,2,4,0.07727,0.17088,0.23838,0.59378,0.76462,0.11059,0.13913,0.12479,0.02093,0.1182,0.07082,0.05397,0.7836,0.13196,36,0.99,0.14,0.2,0.3
0.15,0.35,19,19,-6,2,5,0.10967,0.19787,0.25872,0.57045,0.76423,0.1009,0.16969,0.13487,0.03477,0.13492,0.08577,0.0491,0.72064,0.15228,38,0.99,0.14,0.2,0.3
0.2,0.4,20,20,-6,2,6,0.14253,0.22488,0.27777,0.50659,0.77376,0.0868,0.18583,0.13944,0.05325,0.13257,0.10063,0.03881,0.67164,0.16263,40,0.99,0.14,0.2,0.3
0.25,0.45,23,23,-7,2,8,0.14781,0.2348,0.29219,0.53705,0.79557,0.07393,0.20485,0.1305,0.04849,0.15636,0.08923,0.04127,0.64734,0.16767,46,0.99,0.14,0.2,0.3
0.3,0.5,24,24,-7,2,10,0.12288,0.21126,0.28074,0.50508,0.77308,0.08697,0.22512,0.13995,0.0299,0.19522,0.07318,0.06677,0.652,0.18253,48,0.99,0.14,0.2,0.3
0.35,0.55,24,24,-7,2,11,0.14291,0.22789,0.29037,0.5134,0.7815,0.07969,0.22245,0.13881,0.04041,0.18204,0.08436,0.05445,0.63463,0.18063,48,0.99,0.14,0.2,0.3
