"","p0","p1","nc1","ne1","a1","m1","nc2","ne2","b2","m2","alpha","alpha1","alpha2","power","beta","nogo","En","N1","N2","ci"
"1",0.05,0.15,30,30,-4,2,2,2,1,3,0.17897,0.37835,0.37835,0.82649,0.12502,0.26656,61.7821292355348,60,64,0.9
"2",0.1,0.2,44,44,-4,5,2,2,1,7,0.15182,0.36573,0.36573,0.80138,0.15141,0.29436,89.7847094363501,88,92,0.9
"3",0.15,0.25,50,50,-5,8,5,5,1,11,0.1696,0.37364,0.37364,0.80091,0.15062,0.30493,104.745328614677,100,110,0.9
"4",0.2,0.3,53,53,-7,11,8,8,1,15,0.19345,0.38519,0.38519,0.80486,0.14554,0.30384,113.956670689029,106,122,0.9
"5",0.25,0.35,62,62,-7,16,9,9,1,21,0.19164,0.38722,0.38722,0.81199,0.13938,0.29392,132.740189614156,124,142,0.9
"6",0.3,0.4,65,65,-8,20,13,13,1,27,0.18918,0.38628,0.38628,0.81282,0.13768,0.30031,142.726864171859,130,156,0.9
"7",0.35,0.45,70,70,-7,25,13,13,1,33,0.18457,0.3835,0.3835,0.81142,0.13946,0.30231,152.658845150821,140,166,0.9
"8",0.4,0.5,69,69,-7,28,14,14,1,37,0.19649,0.38866,0.38866,0.813,0.13702,0.30097,151.928942458045,138,166,0.9
"9",0.45,0.55,70,70,-8,32,14,14,1,42,0.1817,0.37751,0.37751,0.8021,0.14882,0.3116,153.812685964811,140,168,0.9
"10",0.5,0.6,67,67,-9,34,15,15,1,45,0.18978,0.3811,0.3811,0.80494,0.1455,0.30786,148.929210168324,134,164,0.9
"11",0.55,0.65,68,68,-7,38,12,12,1,48,0.18795,0.37899,0.37899,0.80511,0.1451,0.29636,147.623543930249,136,160,0.9
"12",0.6,0.7,64,64,-7,39,13,13,1,50,0.19192,0.3811,0.3811,0.81152,0.14002,0.29523,140.666129773954,128,154,0.9
"13",0.65,0.75,56,56,-8,37,14,14,1,49,0.19468,0.37909,0.37909,0.80967,0.14101,0.2982,125.800779048389,112,140,0.9
"14",0.7,0.8,52,52,-5,37,9,9,1,46,0.18962,0.3701,0.3701,0.8004,0.15031,0.29501,112.723414606857,104,122,0.9
"15",0.05,0.2,22,22,-3,2,2,2,2,3,0.08319,0.20785,0.2432,0.80416,0.14733,0.21779,45.2038901664168,44,48,0.9
"16",0.1,0.25,23,23,-4,3,2,2,1,4,0.19437,0.34718,0.38923,0.85009,0.09997,0.21227,47.6265678530671,46,50,0.9
"17",0.15,0.3,24,24,-3,4,3,3,1,6,0.17879,0.32592,0.37576,0.81375,0.13633,0.30094,50.8783760439558,48,54,0.9
"18",0.2,0.35,28,28,-4,6,4,4,1,9,0.15397,0.30342,0.36207,0.80057,0.15579,0.33593,59.9191994201475,56,64,0.9
"19",0.25,0.4,30,30,-4,8,4,4,1,11,0.1813,0.32419,0.3774,0.81262,0.13803,0.29261,63.7913277281393,60,68,0.9
