
TDR_alpha20_2s_3by2_alphamax30_eta99_gam8_ic5_confidence30.csv
p0,p1,nc1,ne1,a1,m1,nc2,ne2,b1,b2,m2,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,es0,es1,En,N1,N2,etamax,gammax,expicmax,ci
0.05,0.15,30,30,-4,2,3,3,1,2,3,0.13862,0.25892,0.25892,0.17471,0.75805,0.18178,0.04081,0.01168,0,0.04081,0,0.01168,0.26611,0.02625,0.55447,0.04848,62.6731938533022,60,66,0.99,0.08,0.05,0.3
0.1,0.2,44,44,-4,5,6,6,2,3,6,0.16538,0.23742,0.23742,0.18965,0.75343,0.19766,0.01059,0.00169,0,0.01059,0,0.00169,0.27021,0.00614,0.55382,0.04721,93.3541283090504,88,100,0.99,0.08,0.05,0.3
0.15,0.25,50,50,-5,8,13,13,2,3,12,0.14986,0.26904,0.26904,0.18873,0.77149,0.15899,0.0689,0.02105,0,0.0689,0,0.02105,0.25577,0.04498,0.52547,0.04847,112.337854398159,100,126,0.99,0.08,0.05,0.3
0.2,0.3,53,53,-7,11,21,21,3,4,17,0.1588,0.24192,0.24192,0.18865,0.75205,0.19034,0.03697,0.00801,0,0.03697,0,0.00801,0.30152,0.02249,0.50271,0.0496,126.886260558701,106,148,0.99,0.08,0.05,0.3
0.25,0.35,62,62,-7,16,18,18,3,4,23,0.15633,0.25569,0.25569,0.19164,0.75469,0.17978,0.05826,0.01689,0,0.05826,0,0.01689,0.27097,0.03757,0.51443,0.04863,141.480379228313,124,160,0.99,0.08,0.05,0.3
0.3,0.4,65,65,-8,20,23,23,3,4,30,0.15292,0.26582,0.26582,0.19163,0.76342,0.16419,0.07361,0.02287,0,0.07361,0,0.02287,0.26296,0.04824,0.51051,0.0495,152.516759688673,130,176,0.99,0.08,0.05,0.3
0.35,0.45,70,70,-7,25,25,25,4,5,36,0.16478,0.2411,0.2411,0.19406,0.75265,0.19028,0.03769,0.00794,0,0.03769,0,0.00794,0.2844,0.02282,0.51312,0.04911,164.343932982347,140,190,0.99,0.08,0.05,0.3
0.4,0.5,69,69,-7,28,28,28,4,5,42,0.16064,0.24354,0.24354,0.19203,0.75129,0.18741,0.04789,0.01133,0,0.04789,0,0.01133,0.28892,0.02961,0.50254,0.04997,165.857884916091,138,194,0.99,0.08,0.05,0.3
0.45,0.55,70,70,-8,32,26,26,4,5,46,0.17026,0.24521,0.24521,0.19997,0.75008,0.19252,0.03896,0.0083,0,0.03896,0,0.0083,0.28408,0.02363,0.50669,0.04908,165.652131077505,140,192,0.99,0.08,0.05,0.3
0.5,0.6,67,67,-9,34,31,31,4,5,52,0.16621,0.24442,0.24442,0.19669,0.7548,0.18675,0.04259,0.00888,0,0.04259,0,0.00888,0.28883,0.02574,0.50236,0.04955,164.853701014536,134,196,0.99,0.08,0.05,0.3
