
TDR_alpha10_2s_3by2_alphaonly_eta99_gam11_ic20_confidence90.csv
p0,p1,nc1,ne1,a1,m1,nc2,ne2,b1,b2,m2,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,es0,es1,En,N1,N2,etamax,gammax,expicmax,ci
0.45,0.6,30,30,-6,14,37,37,-17,0,36,0.08559,0.25846,0.35891,0.34242,0.85095,0.01526,0.26196,0.08435,0.00302,0.25894,0.00874,0.07561,0.1472,0.17316,0.50525,0.04943,96.6116518581961,60,134,0.99,0.11,0.2,0.9
0.5,0.65,29,29,-6,15,34,34,-16,0,37,0.09362,0.26537,0.36369,0.35726,0.85123,0.01602,0.25759,0.08399,0.00362,0.25397,0.0099,0.07409,0.1464,0.17079,0.50239,0.04875,91.8377826344898,58,126,0.99,0.11,0.2,0.9
0.55,0.7,28,28,-6,16,33,33,-16,0,39,0.0909,0.25931,0.3587,0.35524,0.85057,0.01548,0.25359,0.08406,0.00338,0.25021,0.00964,0.07442,0.14131,0.16883,0.51419,0.04989,88.0631931312921,56,122,0.99,0.11,0.2,0.9
0.6,0.75,29,29,-4,18,31,31,-16,2,41,0.09702,0.23629,0.30062,0.29744,0.85731,0.0225,0.18406,0.07522,0.01169,0.17237,0.03087,0.04435,0.19665,0.12964,0.52226,0.04497,87.6199528699321,58,120,0.99,0.11,0.2,0.9
0.65,0.8,25,25,-5,17,26,26,-14,0,38,0.09042,0.25166,0.35206,0.36249,0.85028,0.01493,0.24764,0.08712,0.00308,0.24456,0.00938,0.07774,0.1269,0.16738,0.53505,0.04767,74.1775631647961,50,102,0.99,0.11,0.2,0.9
0.7,0.85,22,22,-3,16,22,22,-13,1,35,0.09673,0.23882,0.31719,0.33231,0.85071,0.02072,0.21626,0.08393,0.00675,0.20951,0.02057,0.06336,0.1654,0.15009,0.52161,0.04465,65.048972863557,44,88,0.99,0.11,0.2,0.9
0.05,0.25,11,11,-2,1,8,8,-4,1,3,0.05974,0.22218,0.34216,0.24696,0.86185,0.02523,0.19843,0.0679,0.00318,0.19525,0.01135,0.05655,0.16788,0.13316,0.57395,0.04502,28.8167514731784,22,38,0.99,0.11,0.2,0.9
0.1,0.3,14,14,-3,2,10,10,-6,1,5,0.07503,0.22015,0.34506,0.28044,0.85824,0.02229,0.19322,0.07062,0.0049,0.18832,0.01448,0.05614,0.14457,0.13192,0.58718,0.04885,36.2564774569415,28,48,0.99,0.11,0.2,0.9
0.15,0.35,16,16,-3,3,11,11,-8,1,7,0.08696,0.22289,0.34566,0.30263,0.85359,0.02282,0.19947,0.07529,0.00605,0.19341,0.01643,0.05886,0.14602,0.13738,0.56755,0.04829,41.51383379035,32,54,0.99,0.11,0.2,0.9
0.2,0.4,17,17,-4,4,12,12,-9,0,9,0.09951,0.24744,0.40172,0.3638,0.85956,0.01399,0.24894,0.0787,0.00317,0.24578,0.00774,0.07096,0.09999,0.16382,0.55155,0.04776,44.7627544974855,34,58,0.99,0.11,0.2,0.9
0.25,0.45,18,18,-3,5,15,15,-10,0,12,0.09061,0.22846,0.38059,0.34622,0.85687,0.01296,0.26567,0.08185,0.00241,0.26326,0.00643,0.07541,0.11046,0.17376,0.53326,0.04832,50.0021495388747,36,66,0.99,0.11,0.2,0.9
0.3,0.5,18,18,-5,6,21,21,-12,2,16,0.07773,0.18642,0.29033,0.26415,0.85052,0.02583,0.17371,0.07486,0.00949,0.16422,0.02834,0.04653,0.21282,0.12429,0.53574,0.04878,55.4990357381083,36,78,0.99,0.11,0.2,0.9
0.35,0.55,19,19,-3,7,18,18,-12,1,17,0.09819,0.22115,0.34328,0.32485,0.86322,0.01917,0.22577,0.07304,0.00656,0.21922,0.01633,0.05672,0.17227,0.14941,0.50376,0.04456,55.864486764526,38,74,0.99,0.11,0.2,0.9
0.4,0.6,19,19,-3,8,18,18,-12,1,19,0.09525,0.21361,0.33637,0.32289,0.85751,0.0197,0.2259,0.07704,0.00613,0.21978,0.01633,0.06071,0.1687,0.15147,0.51014,0.04575,55.6349478026828,38,74,0.99,0.11,0.2,0.9
0.45,0.65,19,19,-3,9,16,16,-12,0,20,0.09405,0.21676,0.36366,0.35762,0.85244,0.01398,0.27029,0.08868,0.00265,0.26764,0.00751,0.08118,0.12008,0.17949,0.51558,0.04489,53.5013275181414,38,70,0.99,0.11,0.2,0.9
0.5,0.7,17,17,-3,9,20,20,-13,1,23,0.08283,0.19233,0.31854,0.30847,0.85161,0.01901,0.22709,0.08013,0.00477,0.22232,0.01506,0.06508,0.17247,0.15361,0.5176,0.04925,53.295962145552,34,74,0.99,0.11,0.2,0.9
0.55,0.75,17,17,-3,10,17,17,-12,0,23,0.0864,0.20277,0.35339,0.35114,0.85728,0.01224,0.25733,0.08298,0.00228,0.25505,0.00702,0.07596,0.11659,0.17016,0.53968,0.04749,49.6508662962268,34,68,0.99,0.11,0.2,0.9
0.6,0.8,14,14,-3,9,18,18,-12,1,23,0.09867,0.20783,0.32753,0.32905,0.86725,0.01692,0.20446,0.06697,0.00763,0.19683,0.02022,0.04676,0.17318,0.13572,0.52369,0.04886,45.1472720617688,28,64,0.99,0.11,0.2,0.9
0.65,0.85,13,13,-3,9,15,15,-11,1,22,0.08306,0.18128,0.30249,0.31338,0.85361,0.02149,0.22496,0.08756,0.00548,0.21948,0.02005,0.06751,0.1853,0.15626,0.50668,0.03735,40.7995995637288,26,56,0.99,0.11,0.2,0.9
0.7,0.9,12,12,-2,9,12,12,-9,1,20,0.09809,0.19653,0.30928,0.32652,0.87792,0.0161,0.2061,0.06991,0.00746,0.19864,0.02338,0.04653,0.16562,0.13801,0.53019,0.03607,35.2755195294533,24,48,0.99,0.11,0.2,0.9
0.05,0.3,9,9,-2,1,2,2,-3,1,2,0.09144,0.22879,0.35114,0.28464,0.85913,0.03225,0.16185,0.06679,0.0086,0.15325,0.02341,0.04338,0.11393,0.11432,0.63279,0.04184,19.4688558196313,18,22,0.99,0.11,0.2,0.9
0.1,0.35,12,12,-2,2,4,4,-5,0,4,0.0659,0.19344,0.40358,0.30477,0.85699,0.00762,0.23441,0.08918,0.00064,0.23378,0.00237,0.08681,0.0344,0.16179,0.66528,0.04622,26.6777390248286,24,32,0.99,0.11,0.2,0.9
0.15,0.4,10,10,-3,2,7,7,-6,0,5,0.09198,0.21555,0.41088,0.35396,0.85527,0.01299,0.27206,0.08385,0.00202,0.27003,0.00549,0.07836,0.08875,0.17796,0.54721,0.04788,26.3390764725708,20,34,0.99,0.11,0.2,0.9
0.2,0.45,12,12,-3,3,8,8,-8,0,7,0.08143,0.19283,0.38875,0.33767,0.85383,0.01251,0.2666,0.08892,0.00167,0.26493,0.00515,0.08376,0.08849,0.17776,0.56348,0.04474,30.9843208505296,24,40,0.99,0.11,0.2,0.9
0.25,0.5,13,13,-3,4,7,7,-8,0,8,0.09532,0.20411,0.39111,0.36283,0.85126,0.01313,0.23826,0.08622,0.0024,0.23586,0.00666,0.07956,0.07631,0.16224,0.59011,0.04939,31.7383918000056,26,40,0.99,0.11,0.2,0.9
0.3,0.55,12,12,-3,4,10,10,-9,0,10,0.08606,0.1876,0.37456,0.34778,0.85007,0.01448,0.28999,0.09511,0.00202,0.28797,0.00619,0.08891,0.12087,0.19255,0.50308,0.04034,33.9383621226748,24,44,0.99,0.11,0.2,0.9
0.35,0.6,13,13,-2,5,9,9,-9,0,11,0.09888,0.19948,0.37354,0.35935,0.85599,0.01131,0.26981,0.08296,0.00219,0.26762,0.00582,0.07714,0.09464,0.17639,0.53667,0.04973,34.3399732880753,26,44,0.99,0.11,0.2,0.9
0.4,0.65,13,13,-4,6,11,11,-10,1,13,0.09836,0.19232,0.34062,0.32601,0.86822,0.01798,0.18498,0.06671,0.00805,0.17694,0.02045,0.04626,0.14054,0.12585,0.57611,0.04708,35.325548934824,26,48,0.99,0.11,0.2,0.9
0.45,0.7,10,10,-4,5,13,13,-10,0,14,0.08564,0.17889,0.36456,0.35394,0.85491,0.0135,0.27186,0.08371,0.00237,0.2695,0.0073,0.07641,0.13698,0.17779,0.50551,0.04788,32.8566724209682,20,46,0.99,0.11,0.2,0.9
0.5,0.75,9,9,-4,5,14,14,-10,1,15,0.08984,0.17521,0.32217,0.31568,0.86043,0.01923,0.2121,0.07119,0.00695,0.20515,0.02022,0.05097,0.19758,0.14164,0.50048,0.04916,31.9865417480469,18,46,0.99,0.11,0.2,0.9
0.55,0.8,10,10,-2,6,11,11,-10,1,15,0.08525,0.16397,0.30469,0.30682,0.85448,0.01907,0.21991,0.07944,0.00527,0.21464,0.01796,0.06148,0.17145,0.14968,0.52339,0.04701,30.4853719970413,20,42,0.99,0.11,0.2,0.9
0.6,0.85,9,9,-2,6,11,11,-9,2,15,0.09492,0.15981,0.24443,0.24621,0.85256,0.021,0.14682,0.08234,0.01991,0.12692,0.05705,0.02529,0.22155,0.11458,0.53671,0.04409,28.1923969856108,18,40,0.99,0.11,0.2,0.9
0.65,0.9,8,8,-2,6,9,9,-8,1,14,0.08908,0.16266,0.29705,0.31234,0.87655,0.01502,0.18107,0.06559,0.00694,0.17413,0.02432,0.04127,0.14942,0.12333,0.58043,0.04283,23.5522741704229,16,34,0.99,0.11,0.2,0.9
0.7,0.95,6,6,-2,5,10,10,-8,2,14,0.0721,0.12188,0.18843,0.19213,0.85898,0.01357,0.12541,0.09467,0.01811,0.1073,0.07979,0.01488,0.22267,0.11004,0.57982,0.03277,20.4035,12,32,0.99,0.11,0.2,0.9
