
TDR_alpha20_1s_3by2_alphamax30_eta99_gam14_ic25_confidence30.csv
p0,p1,nc,ne,r,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,27,27,-5,1,3,0.13287,0.33953,0.33953,0.58426,0.7513,0.11032,0.25421,0.13839,0.01762,0.23659,0.04125,0.09714,0.61292,0.1963,54,0.99,0.14,0.25,0.3
0.1,0.2,45,45,-7,1,7,0.14133,0.356,0.356,0.52552,0.78637,0.07812,0.30522,0.13551,0.01717,0.28805,0.03679,0.09871,0.55345,0.22036,90,0.99,0.14,0.25,0.3
0.15,0.25,63,63,-9,2,13,0.12003,0.30392,0.30392,0.49598,0.7743,0.08712,0.25505,0.13858,0.02159,0.23346,0.05295,0.08563,0.62492,0.19681,126,0.99,0.14,0.25,0.3
0.2,0.3,74,74,-11,1,19,0.12925,0.3525,0.3525,0.49607,0.79603,0.06398,0.34223,0.13998,0.01248,0.32975,0.0295,0.11048,0.52852,0.2411,148,0.99,0.14,0.25,0.3
0.25,0.35,79,79,-12,2,24,0.14026,0.32437,0.32437,0.48809,0.78312,0.07881,0.27533,0.13806,0.02426,0.25108,0.05295,0.08511,0.5844,0.2067,158,0.99,0.14,0.25,0.3
0.3,0.4,85,85,-13,2,30,0.14628,0.33037,0.33037,0.47618,0.78737,0.07581,0.2797,0.13682,0.02512,0.25458,0.05307,0.08375,0.57401,0.20826,170,0.99,0.14,0.25,0.3
0.35,0.45,94,94,-14,2,38,0.13861,0.32978,0.32978,0.4826,0.79271,0.07122,0.29194,0.13605,0.02125,0.27069,0.04743,0.08862,0.56944,0.21399,188,0.99,0.14,0.25,0.3
0.4,0.5,97,97,-14,2,44,0.14272,0.33312,0.33312,0.47848,0.79679,0.06905,0.29247,0.13415,0.02218,0.2703,0.04823,0.08592,0.56479,0.21331,194,0.99,0.14,0.25,0.3
0.45,0.55,95,95,-14,2,48,0.14172,0.32864,0.32864,0.47759,0.7873,0.07274,0.29362,0.13994,0.02188,0.27173,0.04907,0.09087,0.56465,0.21678,190,0.99,0.14,0.25,0.3
0.5,0.6,97,97,-14,1,54,0.1408,0.35553,0.35553,0.47122,0.80292,0.05908,0.34475,0.13798,0.01416,0.33059,0.03216,0.10582,0.51444,0.24137,194,0.99,0.14,0.25,0.3
0.55,0.65,94,94,-14,2,57,0.13867,0.32491,0.32491,0.47781,0.79126,0.06979,0.2955,0.13893,0.02117,0.27433,0.04886,0.09007,0.56582,0.21722,188,0.99,0.14,0.25,0.3
0.6,0.7,92,92,-13,3,60,0.1441,0.29664,0.29664,0.46651,0.78979,0.07173,0.2456,0.13847,0.03629,0.20931,0.0771,0.06137,0.61028,0.19203,184,0.99,0.14,0.25,0.3
0.65,0.75,82,82,-12,2,58,0.1415,0.318,0.318,0.47412,0.79075,0.06994,0.28556,0.1393,0.02406,0.26151,0.05538,0.08391,0.57292,0.21243,164,0.99,0.14,0.25,0.3
0.7,0.8,74,74,-11,2,56,0.14651,0.31502,0.31502,0.49404,0.79608,0.06734,0.27535,0.13657,0.02795,0.2474,0.06218,0.07439,0.57814,0.20596,148,0.99,0.14,0.25,0.3
0.05,0.2,14,14,-4,1,2,0.13338,0.28891,0.33634,0.73787,0.75555,0.12285,0.19484,0.1216,0.0196,0.17524,0.04653,0.07507,0.67178,0.15822,28,0.99,0.14,0.25,0.3
0.1,0.25,25,25,-6,2,4,0.15446,0.25099,0.27665,0.55774,0.78567,0.07704,0.16245,0.13729,0.08194,0.08052,0.1181,0.01919,0.68309,0.14987,50,0.99,0.14,0.25,0.3
0.15,0.3,30,30,-7,2,7,0.12073,0.23962,0.28115,0.5296,0.76607,0.09758,0.20315,0.13635,0.03184,0.1713,0.0744,0.06195,0.67612,0.16975,60,0.99,0.14,0.25,0.3
0.2,0.35,35,35,-8,2,10,0.11987,0.24347,0.29036,0.48623,0.7715,0.09045,0.2323,0.13805,0.02586,0.20644,0.0634,0.07466,0.64783,0.18517,70,0.99,0.14,0.25,0.3
0.25,0.4,42,42,-9,2,14,0.12053,0.2519,0.30336,0.50082,0.79663,0.07433,0.25447,0.12903,0.02252,0.23196,0.05431,0.07472,0.625,0.19175,84,0.99,0.14,0.25,0.3
0.3,0.45,42,42,-9,2,16,0.13595,0.26182,0.30997,0.50143,0.79296,0.07542,0.25249,0.13162,0.02804,0.22446,0.0614,0.07022,0.61155,0.19205,84,0.99,0.14,0.25,0.3
0.35,0.5,42,42,-9,2,18,0.14856,0.26994,0.31537,0.50282,0.79263,0.07462,0.25038,0.13275,0.03318,0.2172,0.06738,0.06537,0.60105,0.19156,84,0.99,0.14,0.25,0.3
0.4,0.55,43,43,-10,1,21,0.13753,0.28256,0.34908,0.48263,0.79866,0.06309,0.33337,0.13825,0.01469,0.31868,0.03427,0.10398,0.52909,0.23581,86,0.99,0.14,0.25,0.3
0.45,0.6,45,45,-10,2,24,0.13802,0.26135,0.31097,0.48334,0.79584,0.07087,0.26439,0.13329,0.027,0.23738,0.06051,0.07278,0.59759,0.19884,90,0.99,0.14,0.25,0.3
0.5,0.65,46,46,-10,2,27,0.12806,0.25223,0.30466,0.4734,0.79714,0.06885,0.2722,0.134,0.02293,0.24926,0.056,0.078,0.59974,0.2031,92,0.99,0.14,0.25,0.3
0.55,0.7,41,41,-9,2,26,0.14537,0.2603,0.30571,0.49912,0.79147,0.07135,0.25643,0.13717,0.03211,0.22431,0.07016,0.06702,0.5982,0.1968,82,0.99,0.14,0.25,0.3
0.6,0.75,38,38,-9,2,26,0.14985,0.25902,0.30103,0.51188,0.7902,0.07043,0.24945,0.13936,0.03651,0.21294,0.0781,0.06126,0.60069,0.19441,76,0.99,0.14,0.25,0.3
0.65,0.8,38,38,-8,2,28,0.13871,0.24945,0.29299,0.51189,0.80418,0.06263,0.25264,0.13319,0.03219,0.22046,0.07392,0.05926,0.60865,0.19291,76,0.99,0.14,0.25,0.3
0.7,0.85,33,33,-7,2,26,0.1428,0.24315,0.2802,0.49882,0.80019,0.06068,0.23994,0.13912,0.03935,0.20059,0.08913,0.04999,0.61726,0.18953,66,0.99,0.14,0.25,0.3
0.05,0.25,11,11,-4,1,2,0.09285,0.23149,0.32476,0.7773,0.77239,0.10901,0.19635,0.11859,0.00904,0.18731,0.03051,0.08809,0.7108,0.15747,22,0.99,0.14,0.25,0.3
0.1,0.3,18,18,-5,2,4,0.07727,0.17088,0.23838,0.59378,0.76462,0.11059,0.13913,0.12479,0.02093,0.1182,0.07082,0.05397,0.7836,0.13196,36,0.99,0.14,0.25,0.3
0.15,0.35,19,19,-6,2,5,0.10967,0.19787,0.25872,0.57045,0.76423,0.1009,0.16969,0.13487,0.03477,0.13492,0.08577,0.0491,0.72064,0.15228,38,0.99,0.14,0.25,0.3
0.2,0.4,20,20,-6,2,6,0.14253,0.22488,0.27777,0.50659,0.77376,0.0868,0.18583,0.13944,0.05325,0.13257,0.10063,0.03881,0.67164,0.16263,40,0.99,0.14,0.25,0.3
0.25,0.45,23,23,-7,2,8,0.14781,0.2348,0.29219,0.53705,0.79557,0.07393,0.20485,0.1305,0.04849,0.15636,0.08923,0.04127,0.64734,0.16767,46,0.99,0.14,0.25,0.3
0.3,0.5,24,24,-7,2,10,0.12288,0.21126,0.28074,0.50508,0.77308,0.08697,0.22512,0.13995,0.0299,0.19522,0.07318,0.06677,0.652,0.18253,48,0.99,0.14,0.25,0.3
0.35,0.55,24,24,-7,2,11,0.14291,0.22789,0.29037,0.5134,0.7815,0.07969,0.22245,0.13881,0.04041,0.18204,0.08436,0.05445,0.63463,0.18063,48,0.99,0.14,0.25,0.3
0.4,0.6,25,25,-7,1,13,0.13785,0.24622,0.34693,0.49021,0.80915,0.06073,0.32075,0.13012,0.01591,0.30483,0.03707,0.09304,0.5414,0.22543,50,0.99,0.14,0.25,0.3
0.45,0.65,25,25,-7,2,14,0.14348,0.22747,0.29074,0.5037,0.79149,0.07181,0.23082,0.1367,0.0392,0.19162,0.08309,0.05362,0.62569,0.18376,50,0.99,0.14,0.25,0.3
0.5,0.7,24,24,-7,1,15,0.13767,0.2411,0.34067,0.49328,0.8084,0.05968,0.32111,0.13192,0.01606,0.30505,0.03882,0.09311,0.54122,0.22652,48,0.99,0.14,0.25,0.3
0.55,0.75,24,24,-7,2,16,0.13602,0.21621,0.27842,0.50564,0.79322,0.06787,0.23288,0.13891,0.03698,0.1959,0.08546,0.05345,0.6311,0.18589,48,0.99,0.14,0.25,0.3
0.6,0.8,22,22,-6,1,16,0.14093,0.24135,0.33873,0.51212,0.82493,0.05229,0.31551,0.12279,0.01751,0.298,0.04212,0.08067,0.54355,0.21915,44,0.99,0.14,0.25,0.3
0.65,0.85,19,19,-6,1,15,0.13363,0.22683,0.32154,0.53043,0.81088,0.05648,0.31525,0.13264,0.01637,0.29888,0.04468,0.08796,0.55112,0.22395,38,0.99,0.14,0.25,0.3
0.7,0.9,18,18,-5,1,15,0.14441,0.23927,0.33085,0.5492,0.85266,0.03973,0.30348,0.10761,0.02014,0.28334,0.04915,0.05847,0.55211,0.20555,36,0.99,0.14,0.25,0.3
0.05,0.3,9,9,-4,1,2,0.06667,0.18396,0.3151,0.81085,0.78265,0.09791,0.19269,0.11944,0.00454,0.18815,0.02134,0.0981,0.74063,0.15607,18,0.99,0.14,0.25,0.3
0.1,0.35,11,11,-4,1,3,0.0829,0.18369,0.31515,0.57867,0.77465,0.08656,0.27561,0.1388,0.00666,0.26895,0.02522,0.11358,0.64149,0.2072,22,0.99,0.14,0.25,0.3
0.15,0.4,13,13,-5,1,4,0.10715,0.2063,0.33347,0.59705,0.80043,0.0726,0.29285,0.12697,0.01085,0.282,0.03099,0.09599,0.6,0.20991,26,0.99,0.14,0.25,0.3
0.2,0.45,14,14,-5,1,5,0.11715,0.21117,0.33564,0.57422,0.79893,0.07099,0.3011,0.13008,0.01269,0.28842,0.03387,0.09621,0.58175,0.21559,28,0.99,0.14,0.25,0.3
0.25,0.5,15,15,-6,1,6,0.13229,0.22482,0.3453,0.5599,0.81122,0.06521,0.29989,0.12356,0.01608,0.28381,0.03789,0.08567,0.56782,0.21173,30,0.99,0.14,0.25,0.3
0.3,0.55,16,16,-6,2,7,0.1309,0.19702,0.26664,0.55285,0.77943,0.08065,0.19454,0.13992,0.04441,0.15013,0.09646,0.04346,0.67456,0.16723,32,0.99,0.14,0.25,0.3
0.35,0.6,16,16,-6,1,8,0.14131,0.22919,0.34724,0.54195,0.8168,0.06062,0.30332,0.12258,0.0181,0.28522,0.04093,0.08165,0.55538,0.21295,32,0.99,0.14,0.25,0.3
0.4,0.65,16,16,-6,1,9,0.12775,0.21098,0.33236,0.53127,0.80266,0.06361,0.31531,0.13373,0.01452,0.30079,0.03794,0.0958,0.55695,0.22452,32,0.99,0.14,0.25,0.3
0.45,0.7,17,17,-6,2,10,0.13777,0.20136,0.26928,0.53887,0.7981,0.06455,0.21072,0.13734,0.04564,0.16509,0.09725,0.04009,0.65151,0.17403,34,0.99,0.14,0.25,0.3
0.5,0.75,15,15,-6,1,10,0.13433,0.21333,0.32971,0.54008,0.80881,0.06028,0.30999,0.13091,0.01655,0.29344,0.04282,0.08809,0.55568,0.22045,30,0.99,0.14,0.25,0.3
0.55,0.8,17,17,-6,2,12,0.1147,0.17636,0.24982,0.52873,0.80583,0.0592,0.22052,0.13497,0.03236,0.18815,0.08847,0.0465,0.66478,0.17775,34,0.99,0.14,0.25,0.3
0.6,0.85,14,14,-5,1,11,0.11248,0.18468,0.30398,0.54471,0.81421,0.05333,0.32302,0.13246,0.01183,0.3112,0.03928,0.09318,0.5645,0.22774,28,0.99,0.14,0.25,0.3
0.65,0.9,15,15,-5,2,12,0.12463,0.17799,0.22825,0.55843,0.82902,0.03409,0.20634,0.13688,0.04807,0.15827,0.11542,0.02146,0.66903,0.17161,30,0.99,0.14,0.25,0.3
0.7,0.95,10,10,-4,1,9,0.13044,0.19505,0.29331,0.55519,0.8499,0.03625,0.29182,0.11385,0.01887,0.27295,0.06396,0.04988,0.57774,0.20283,20,0.99,0.14,0.25,0.3
