"","p0","p1","p01","p02","n_alphaonly","n_alpha1","n_alpha2"
"1",0.05,0.15,0.1,0.1,100,494,494
"2",0.1,0.2,0.15,0.15,142,652,652
"3",0.15,0.25,0.2,0.2,180,788,788
"4",0.2,0.3,0.25,0.25,210,902,902
"5",0.25,0.35,0.3,0.3,236,992,992
"6",0.3,0.4,0.35,0.35,256,1060,1060
"7",0.35,0.45,0.4,0.4,270,1106,1106
"8",0.4,0.5,0.45,0.45,278,1128,1128
"9",0.45,0.55,0.5,0.5,282,1128,1128
"10",0.5,0.6,0.55,0.55,278,1106,1106
"11",0.55,0.65,0.6,0.6,270,1060,1060
"12",0.6,0.7,0.65,0.65,256,992,992
"13",0.65,0.75,0.7,0.7,236,902,902
"14",0.7,0.8,0.75,0.75,210,788,788
"15",0.05,0.2,0.1,0.125,54,142,272
"16",0.1,0.25,0.15,0.175,70,180,336
"17",0.15,0.3,0.2,0.225,86,210,388
"18",0.2,0.35,0.25,0.275,98,236,432
"19",0.25,0.4,0.3,0.325,108,256,464
"20",0.3,0.45,0.35,0.375,116,270,486
"21",0.35,0.5,0.4,0.425,122,278,500
"22",0.4,0.55,0.45,0.475,124,282,502
"23",0.45,0.6,0.5,0.525,124,278,494
"24",0.5,0.65,0.55,0.575,122,270,476
"25",0.55,0.7,0.6,0.625,116,256,448
"26",0.6,0.75,0.65,0.675,108,236,410
"27",0.65,0.8,0.7,0.725,98,210,364
"28",0.7,0.85,0.75,0.775,86,180,306
"29",0.05,0.25,0.1,0.15,34,70,180
"30",0.1,0.3,0.15,0.2,44,86,210
"31",0.15,0.35,0.2,0.25,52,98,236
"32",0.2,0.4,0.25,0.3,58,108,256
"33",0.25,0.45,0.3,0.35,62,116,270
"34",0.3,0.5,0.35,0.4,66,122,278
"35",0.35,0.55,0.4,0.45,68,124,282
"36",0.4,0.6,0.45,0.5,68,124,278
"37",0.45,0.65,0.5,0.55,68,122,270
"38",0.5,0.7,0.55,0.6,66,116,256
"39",0.55,0.75,0.6,0.65,62,108,236
"40",0.6,0.8,0.65,0.7,58,98,210
"41",0.65,0.85,0.7,0.75,52,86,180
"42",0.7,0.9,0.75,0.8,44,70,142
"43",0.05,0.3,0.1,0.175,24,44,130
"44",0.1,0.35,0.15,0.225,30,52,146
"45",0.15,0.4,0.2,0.275,34,58,160
"46",0.2,0.45,0.25,0.325,38,62,170
"47",0.25,0.5,0.3,0.375,40,66,176
"48",0.3,0.55,0.35,0.425,42,68,180
"49",0.35,0.6,0.4,0.475,44,68,178
"50",0.4,0.65,0.45,0.525,44,68,174
"51",0.45,0.7,0.5,0.575,42,66,166
"52",0.5,0.75,0.55,0.625,40,62,154
"53",0.55,0.8,0.6,0.675,38,58,138
"54",0.6,0.85,0.65,0.725,34,52,120
"55",0.65,0.9,0.7,0.775,30,44,96
"56",0.7,0.95,0.75,0.825,24,34,70
