
TDR_alpha20_1s_2by2_litwinref_alphaonly_eta99_gam1_ic20_confidence90.csv
p0,p1,nc,ne,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,37,37,2,3,0.16227,0.27425,0.27425,0.58966,0.80031,0.19208,0.04145,0.0076,0.79628,0.02453,74,0.99,0.01,0.2,0.9
0.1,0.2,57,57,3,7,0.17308,0.25238,0.25238,0.54975,0.79708,0.19762,0.04245,0.00529,0.78447,0.02387,114,0.99,0.01,0.2,0.9
0.15,0.25,77,77,4,13,0.17409,0.23796,0.23796,0.53564,0.79969,0.19648,0.03993,0.00382,0.78597,0.02188,154,0.99,0.01,0.2,0.9
0.2,0.3,82,82,4,18,0.19314,0.2601,0.2601,0.53032,0.79753,0.19644,0.0537,0.00601,0.75316,0.02986,164,0.99,0.01,0.2,0.9
0.25,0.35,99,99,5,27,0.17318,0.23873,0.23873,0.52667,0.79405,0.19953,0.05673,0.00641,0.77008,0.03157,198,0.99,0.01,0.2,0.9
0.3,0.4,102,102,5,33,0.18111,0.24934,0.24934,0.52448,0.79214,0.19988,0.06469,0.00797,0.75419,0.03633,204,0.99,0.01,0.2,0.9
0.35,0.45,107,107,5,40,0.18755,0.259,0.259,0.52258,0.79906,0.19209,0.07192,0.00883,0.74052,0.04037,214,0.99,0.01,0.2,0.9
0.4,0.5,106,106,5,45,0.18973,0.26044,0.26044,0.5223,0.79172,0.1985,0.07435,0.00977,0.7359,0.04206,212,0.99,0.01,0.2,0.9
0.45,0.55,106,106,5,50,0.19875,0.26244,0.26244,0.52332,0.79219,0.19969,0.06851,0.0081,0.73273,0.03831,212,0.99,0.01,0.2,0.9
0.5,0.6,116,116,5,61,0.1903,0.26853,0.26853,0.51999,0.81692,0.17309,0.08704,0.00997,0.72264,0.04851,232,0.99,0.01,0.2,0.9
0.55,0.65,105,105,5,60,0.19902,0.2577,0.2577,0.52461,0.79526,0.1976,0.06727,0.00713,0.7337,0.0372,210,0.99,0.01,0.2,0.9
0.6,0.7,102,102,5,64,0.18175,0.24721,0.24721,0.52446,0.79044,0.19988,0.07834,0.00967,0.73989,0.044,204,0.99,0.01,0.2,0.9
0.65,0.75,99,99,5,67,0.17853,0.23664,0.23664,0.527,0.79272,0.19953,0.07273,0.00774,0.74873,0.04023,198,0.99,0.01,0.2,0.9
0.7,0.8,95,95,5,69,0.17195,0.22075,0.22075,0.53037,0.79503,0.19924,0.06607,0.00572,0.76197,0.03589,190,0.99,0.01,0.2,0.9
0.05,0.2,29,29,2,3,0.11562,0.24064,0.26948,0.59062,0.87219,0.11894,0.05741,0.00887,0.82697,0.03314,58,0.99,0.01,0.2,0.9
0.1,0.25,34,34,3,5,0.12039,0.19061,0.20941,0.56179,0.7976,0.19775,0.03247,0.00465,0.84714,0.01856,68,0.99,0.01,0.2,0.9
0.15,0.3,37,37,3,7,0.16062,0.22456,0.23985,0.5525,0.80116,0.19331,0.04558,0.00553,0.7938,0.02556,74,0.99,0.01,0.2,0.9
0.2,0.35,39,39,3,9,0.19178,0.24756,0.25987,0.54796,0.80118,0.19383,0.04697,0.00499,0.76125,0.02598,78,0.99,0.01,0.2,0.9
0.25,0.4,42,42,3,12,0.19774,0.26121,0.27482,0.54222,0.80748,0.18452,0.06625,0.00799,0.73601,0.03712,84,0.99,0.01,0.2,0.9
0.3,0.45,51,51,4,17,0.1742,0.22457,0.23418,0.53551,0.80048,0.19476,0.05039,0.00475,0.77541,0.02757,102,0.99,0.01,0.2,0.9
0.35,0.5,51,51,4,20,0.16747,0.225,0.23653,0.53707,0.79197,0.19981,0.06623,0.00822,0.76629,0.03723,102,0.99,0.01,0.2,0.9
0.4,0.55,52,52,4,23,0.17163,0.22927,0.2404,0.53624,0.79531,0.19621,0.07019,0.00848,0.75817,0.03934,104,0.99,0.01,0.2,0.9
0.45,0.6,52,52,4,25,0.19117,0.23597,0.24273,0.53505,0.79915,0.19621,0.05405,0.00464,0.75478,0.02935,104,0.99,0.01,0.2,0.9
0.5,0.65,51,51,4,27,0.19291,0.23352,0.2387,0.53654,0.79612,0.19981,0.0513,0.00406,0.75578,0.02768,102,0.99,0.01,0.2,0.9
0.55,0.7,51,51,4,30,0.17952,0.2265,0.23275,0.53584,0.79958,0.19476,0.06359,0.00565,0.75689,0.03462,102,0.99,0.01,0.2,0.9
0.6,0.75,49,49,4,32,0.15307,0.20866,0.21772,0.54003,0.79035,0.19967,0.08221,0.00997,0.76472,0.04609,98,0.99,0.01,0.2,0.9
0.65,0.8,43,43,3,30,0.19069,0.25363,0.26393,0.54738,0.8247,0.1662,0.09527,0.0091,0.71404,0.05219,86,0.99,0.01,0.2,0.9
0.7,0.85,43,43,3,32,0.19086,0.24723,0.25272,0.54874,0.84561,0.14929,0.08717,0.0051,0.72197,0.04614,86,0.99,0.01,0.2,0.9
0.05,0.25,24,24,2,3,0.0838,0.20855,0.26626,0.59175,0.91292,0.07809,0.06518,0.00898,0.85101,0.03708,48,0.99,0.01,0.2,0.9
0.1,0.3,17,17,2,3,0.14164,0.21508,0.25388,0.59411,0.79183,0.19848,0.0467,0.00969,0.81166,0.02819,34,0.99,0.01,0.2,0.9
0.15,0.35,24,24,2,5,0.18407,0.26521,0.30203,0.56534,0.86237,0.1284,0.0857,0.00922,0.73022,0.04746,48,0.99,0.01,0.2,0.9
0.2,0.4,27,27,3,7,0.14733,0.20058,0.22576,0.55564,0.80629,0.18801,0.04891,0.0057,0.80376,0.0273,54,0.99,0.01,0.2,0.9
0.25,0.45,27,27,3,8,0.17336,0.21661,0.23553,0.55465,0.79803,0.19795,0.04198,0.00401,0.78465,0.023,54,0.99,0.01,0.2,0.9
0.3,0.5,28,28,3,10,0.17143,0.22133,0.24327,0.55039,0.79956,0.19323,0.06128,0.0072,0.76729,0.03424,56,0.99,0.01,0.2,0.9
0.35,0.55,28,28,3,11,0.19306,0.23293,0.24819,0.55136,0.79863,0.19701,0.04872,0.00435,0.75822,0.02654,56,0.99,0.01,0.2,0.9
0.4,0.6,35,35,4,16,0.14492,0.18489,0.19883,0.5415,0.79957,0.19602,0.05166,0.00441,0.80342,0.02803,70,0.99,0.01,0.2,0.9
0.45,0.65,28,28,3,14,0.19178,0.23258,0.24697,0.55117,0.79744,0.19701,0.05932,0.00555,0.74889,0.03244,56,0.99,0.01,0.2,0.9
0.5,0.7,29,29,3,16,0.19116,0.23346,0.24717,0.55097,0.81207,0.18267,0.06476,0.00526,0.74408,0.03501,58,0.99,0.01,0.2,0.9
0.55,0.75,27,27,3,16,0.19784,0.22888,0.23508,0.55595,0.79892,0.19795,0.04935,0.00313,0.7528,0.02624,54,0.99,0.01,0.2,0.9
