
TDR_alpha20_1s_2by2_litwinref_alphaonly_eta99_gam10_ic25_confidence90.csv
p0,p1,nc,ne,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,27,27,1,3,0.13287,0.33953,0.33953,0.59106,0.7513,0.15156,0.23659,0.09714,0.63054,0.16687,54,0.99,0.1,0.25,0.9
0.1,0.2,43,43,2,6,0.17881,0.30529,0.30529,0.55413,0.77426,0.19556,0.11369,0.03018,0.7075,0.07194,86,0.99,0.1,0.25,0.9
0.15,0.25,49,49,1,10,0.1674,0.36257,0.36257,0.54411,0.77116,0.13064,0.27602,0.0982,0.55657,0.18711,98,0.99,0.1,0.25,0.9
0.2,0.3,56,56,1,14,0.18763,0.37501,0.37501,0.53637,0.78101,0.13095,0.26523,0.08804,0.54713,0.17663,112,0.99,0.1,0.25,0.9
0.25,0.35,63,63,1,19,0.1825,0.3716,0.3716,0.53469,0.77707,0.12824,0.27649,0.09468,0.54101,0.18559,126,0.99,0.1,0.25,0.9
0.3,0.4,66,66,1,23,0.19936,0.38082,0.38082,0.53259,0.78271,0.13151,0.26279,0.08578,0.53784,0.17428,132,0.99,0.1,0.25,0.9
0.35,0.45,68,68,2,27,0.19418,0.34018,0.34018,0.53126,0.75753,0.17541,0.19953,0.06705,0.60628,0.13329,136,0.99,0.1,0.25,0.9
0.4,0.5,71,71,1,32,0.19519,0.37604,0.37604,0.52879,0.77626,0.13168,0.2707,0.09205,0.53411,0.18137,142,0.99,0.1,0.25,0.9
0.45,0.55,72,72,1,36,0.19934,0.37854,0.37854,0.5287,0.78043,0.13098,0.2673,0.08858,0.53335,0.17794,144,0.99,0.1,0.25,0.9
0.5,0.6,71,71,2,39,0.19146,0.33844,0.33844,0.52984,0.7581,0.17113,0.2092,0.07076,0.59933,0.13998,142,0.99,0.1,0.25,0.9
0.55,0.65,75,75,2,45,0.18371,0.33783,0.33783,0.52882,0.77237,0.15735,0.2191,0.07027,0.59718,0.14469,150,0.99,0.1,0.25,0.9
0.6,0.7,71,71,2,46,0.19338,0.33974,0.33974,0.53238,0.77783,0.16081,0.20526,0.06135,0.60135,0.1333,142,0.99,0.1,0.25,0.9
0.65,0.75,58,58,1,41,0.19195,0.36265,0.36265,0.53909,0.76307,0.13986,0.26929,0.09706,0.53876,0.18317,116,0.99,0.1,0.25,0.9
0.7,0.8,50,50,1,38,0.19164,0.35598,0.35598,0.5438,0.75381,0.14734,0.26489,0.09885,0.54346,0.18187,100,0.99,0.1,0.25,0.9
0.05,0.2,15,15,1,2,0.14678,0.30443,0.34901,0.98532,0.78325,0.15562,0.16945,0.06113,0.68377,0.11529,30,0.99,0.1,0.25,0.9
