
TDR_alpha10_2s_3by2_alphamax30_eta99_gam1_ic5_confidence30.csv
p0,p1,nc1,ne1,a1,m1,nc2,ne2,b1,b2,m2,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,es0,es1,En,N1,N2,etamax,gammax,expicmax,ci
0.05,0.15,30,30,-4,2,48,48,3,4,6,0.06584,0.16547,0.16547,0.08393,0.85123,0.09956,0.0112,0.00072,0,0.0112,0,0.00072,0.3685,0.00596,0.55447,0.04848,102.771101652835,60,156,0.99,0.01,0.05,0.3
0.1,0.2,44,44,-4,5,63,63,4,5,15,0.06274,0.18045,0.18045,0.0867,0.85079,0.09393,0.0517,0.00806,0,0.0517,0,0.00806,0.33174,0.02988,0.55382,0.04721,144.21834724503,88,214,0.99,0.01,0.05,0.3
0.15,0.25,50,50,-5,8,92,92,5,6,27,0.06579,0.18913,0.18913,0.09125,0.86358,0.07923,0.06661,0.00871,0,0.06661,0,0.00871,0.34212,0.03766,0.52547,0.04847,187.314046510051,100,284,0.99,0.01,0.05,0.3
