
TDR_alpha10_2s_3by2_alphamax30_eta99_gam12_ic5_confidence30.csv
p0,p1,nc1,ne1,a1,m1,nc2,ne2,b1,b2,m2,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,es0,es1,En,N1,N2,etamax,gammax,expicmax,ci
0.05,0.15,30,30,-4,2,42,42,2,3,7,0.04792,0.21999,0.21999,0.07438,0.85863,0.07214,0.07811,0.02074,0,0.07811,0,0.02074,0.31951,0.04942,0.55447,0.04848,97.4247139462306,60,144,0.99,0.12,0.05,0.3
0.1,0.2,44,44,-4,5,61,61,3,4,15,0.06693,0.22497,0.22497,0.09668,0.87027,0.06771,0.08472,0.0148,0,0.08472,0,0.0148,0.29452,0.04976,0.55382,0.04721,142.433637808679,88,210,0.99,0.12,0.05,0.3
0.15,0.25,50,50,-5,8,83,83,4,6,25,0.07331,0.18433,0.18433,0.09832,0.85044,0.07222,0.06485,0.02886,0.00931,0.05554,0.02187,0.00698,0.33637,0.04685,0.52547,0.04847,178.772455003633,100,266,0.99,0.12,0.05,0.3
