
TDR_alpha10_1s_2by2_alphamax30_eta99_gam6_ic25_confidence30.csv
p0,p1,nc,ne,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,68,68,2,7,0.04817,0.29027,0.29027,0.08027,0.88116,0.05909,0.2254,0.05975,0.72643,0.14257,136,0.99,0.06,0.25,0.3
0.1,0.2,98,98,3,15,0.05518,0.26641,0.26641,0.08746,0.8756,0.0692,0.2196,0.0552,0.72522,0.1374,196,0.99,0.06,0.25,0.3
0.15,0.25,117,117,4,24,0.0562,0.242,0.242,0.08727,0.85313,0.08808,0.20415,0.05878,0.73963,0.13147,234,0.99,0.06,0.25,0.3
0.2,0.3,138,138,5,35,0.06076,0.23107,0.23107,0.09178,0.85345,0.09648,0.18816,0.05006,0.75107,0.11911,276,0.99,0.06,0.25,0.3
0.7,0.8,140,140,5,106,0.06696,0.22362,0.22362,0.09861,0.85909,0.09336,0.21165,0.04753,0.72138,0.12959,280,0.99,0.06,0.25,0.3
0.05,0.2,38,38,2,5,0.0359,0.20524,0.26783,0.06289,0.88142,0.0634,0.17112,0.05518,0.79298,0.11315,76,0.99,0.06,0.25,0.3
0.1,0.25,49,49,3,9,0.04352,0.17443,0.22484,0.07033,0.85612,0.09298,0.15407,0.0509,0.80241,0.10248,98,0.99,0.06,0.25,0.3
0.15,0.3,60,60,3,14,0.05041,0.19146,0.25039,0.08055,0.86881,0.07399,0.21002,0.0572,0.73956,0.13361,120,0.99,0.06,0.25,0.3
0.2,0.35,67,67,4,19,0.05239,0.17103,0.21783,0.08076,0.85084,0.09931,0.17198,0.04985,0.77563,0.11091,134,0.99,0.06,0.25,0.3
0.25,0.4,75,75,4,25,0.05535,0.18077,0.23249,0.08539,0.86207,0.08579,0.19907,0.05213,0.74557,0.1256,150,0.99,0.06,0.25,0.3
0.3,0.45,76,76,4,29,0.06563,0.19086,0.24055,0.09846,0.86004,0.09049,0.20208,0.04946,0.73228,0.12577,152,0.99,0.06,0.25,0.3
0.35,0.5,78,78,4,34,0.06122,0.18455,0.23807,0.09324,0.85067,0.08992,0.2172,0.05939,0.72157,0.13829,156,0.99,0.06,0.25,0.3
0.4,0.55,87,87,5,42,0.05847,0.17063,0.21457,0.08764,0.86124,0.09499,0.18465,0.04376,0.75687,0.1142,174,0.99,0.06,0.25,0.3
0.45,0.6,82,82,4,44,0.06156,0.18522,0.24061,0.09376,0.85931,0.08243,0.22987,0.05825,0.70855,0.14406,164,0.99,0.06,0.25,0.3
0.5,0.65,80,80,4,47,0.06212,0.18251,0.23647,0.09414,0.85741,0.08493,0.22794,0.05764,0.70993,0.14279,160,0.99,0.06,0.25,0.3
0.55,0.7,80,80,4,51,0.06072,0.18004,0.23356,0.09208,0.86614,0.08038,0.22838,0.05347,0.71089,0.14093,160,0.99,0.06,0.25,0.3
0.6,0.75,74,74,4,51,0.06071,0.17266,0.22199,0.09125,0.85941,0.08854,0.21784,0.05204,0.72144,0.13494,148,0.99,0.06,0.25,0.3
0.65,0.8,69,69,4,51,0.0612,0.16676,0.21078,0.09083,0.86273,0.09265,0.20488,0.04461,0.73391,0.12475,138,0.99,0.06,0.25,0.3
0.7,0.85,58,58,3,46,0.0656,0.17887,0.23142,0.09802,0.86844,0.08021,0.24055,0.05135,0.69384,0.14595,116,0.99,0.06,0.25,0.3
0.05,0.25,24,24,2,4,0.02687,0.14378,0.24242,0.04961,0.86322,0.07809,0.12212,0.05869,0.85101,0.0904,48,0.99,0.06,0.25,0.3
0.1,0.3,29,29,2,6,0.05596,0.1794,0.27646,0.08986,0.87867,0.07105,0.1958,0.05028,0.74824,0.12304,58,0.99,0.06,0.25,0.3
0.15,0.35,35,35,2,9,0.06166,0.18535,0.29246,0.09767,0.88671,0.05922,0.24472,0.05407,0.69362,0.14939,70,0.99,0.06,0.25,0.3
0.2,0.4,39,39,3,12,0.06119,0.15981,0.23883,0.09307,0.86648,0.09006,0.17755,0.04345,0.76125,0.1105,78,0.99,0.06,0.25,0.3
0.25,0.45,47,47,4,17,0.04706,0.13015,0.19978,0.07273,0.86288,0.09642,0.15477,0.0407,0.79817,0.09773,94,0.99,0.06,0.25,0.3
0.3,0.5,46,46,3,19,0.05894,0.1583,0.25122,0.09127,0.87303,0.07339,0.22569,0.05358,0.71537,0.13963,92,0.99,0.06,0.25,0.3
0.35,0.55,49,49,4,23,0.04685,0.12677,0.20215,0.07292,0.85035,0.09644,0.18238,0.0532,0.77077,0.11779,98,0.99,0.06,0.25,0.3
0.4,0.6,49,49,4,25,0.0616,0.14465,0.2117,0.09112,0.86482,0.09762,0.17368,0.03755,0.76472,0.10561,98,0.99,0.06,0.25,0.3
0.45,0.65,49,49,4,28,0.04892,0.12604,0.19961,0.07531,0.85119,0.09644,0.1898,0.05236,0.76127,0.12108,98,0.99,0.06,0.25,0.3
0.5,0.7,47,47,3,29,0.06233,0.15535,0.24681,0.09504,0.88002,0.06969,0.24081,0.05028,0.69685,0.14555,94,0.99,0.06,0.25,0.3
0.55,0.75,43,43,3,29,0.05803,0.1425,0.22932,0.08883,0.86252,0.07979,0.23603,0.05769,0.70593,0.14686,86,0.99,0.06,0.25,0.3
0.6,0.8,43,43,3,31,0.05945,0.14459,0.22841,0.09014,0.88513,0.07104,0.23168,0.04383,0.70886,0.13776,86,0.99,0.06,0.25,0.3
0.65,0.85,39,39,3,30,0.06484,0.14558,0.21682,0.09557,0.89075,0.077,0.21157,0.03224,0.72358,0.12191,78,0.99,0.06,0.25,0.3
0.7,0.9,31,31,2,26,0.05625,0.13598,0.23208,0.08704,0.88293,0.06036,0.28243,0.05672,0.66132,0.16957,62,0.99,0.06,0.25,0.3
0.05,0.3,17,17,2,3,0.04125,0.14164,0.23773,0.06919,0.8853,0.0904,0.06586,0.0243,0.89289,0.04508,34,0.99,0.06,0.25,0.3
0.1,0.35,21,21,2,5,0.0458,0.14033,0.25949,0.07598,0.87978,0.07208,0.16857,0.04814,0.78563,0.10835,42,0.99,0.06,0.25,0.3
0.15,0.4,24,24,2,7,0.05109,0.14213,0.2704,0.08321,0.87849,0.06508,0.21868,0.05643,0.73022,0.13756,48,0.99,0.06,0.25,0.3
0.2,0.45,28,28,3,9,0.0682,0.14515,0.22373,0.09932,0.88523,0.09197,0.13237,0.0228,0.79943,0.07759,56,0.99,0.06,0.25,0.3
0.25,0.5,28,28,2,11,0.06108,0.14927,0.28275,0.0964,0.8823,0.05927,0.26019,0.05843,0.67873,0.15931,56,0.99,0.06,0.25,0.3
0.3,0.55,31,31,3,14,0.04578,0.11363,0.21859,0.07285,0.86082,0.08279,0.19818,0.05639,0.75604,0.12729,62,0.99,0.06,0.25,0.3
0.35,0.6,30,30,3,15,0.05462,0.1221,0.2198,0.084,0.85613,0.09203,0.19465,0.05183,0.75073,0.12324,60,0.99,0.06,0.25,0.3
0.4,0.65,35,35,4,19,0.04768,0.10574,0.17953,0.07196,0.87027,0.09813,0.1489,0.03159,0.80342,0.09025,70,0.99,0.06,0.25,0.3
0.45,0.7,30,30,3,18,0.0592,0.12476,0.21792,0.0893,0.86508,0.08964,0.1992,0.04528,0.74159,0.12224,60,0.99,0.06,0.25,0.3
0.5,0.75,31,31,3,20,0.06172,0.12875,0.22056,0.09221,0.88706,0.07802,0.20116,0.03492,0.73711,0.11804,62,0.99,0.06,0.25,0.3
0.55,0.8,28,28,3,20,0.04834,0.1041,0.19204,0.07436,0.8574,0.09197,0.20276,0.05062,0.74889,0.12669,56,0.99,0.06,0.25,0.3
0.6,0.85,25,25,2,19,0.06509,0.13474,0.25095,0.09906,0.89618,0.05882,0.26755,0.045,0.66736,0.15627,50,0.99,0.06,0.25,0.3
0.65,0.9,22,22,2,18,0.06249,0.1253,0.22955,0.0945,0.89663,0.06404,0.25523,0.03933,0.68227,0.14728,44,0.99,0.06,0.25,0.3
0.7,0.95,17,17,2,15,0.0643,0.11625,0.19295,0.09411,0.88093,0.0904,0.22263,0.02867,0.71307,0.12565,34,0.99,0.06,0.25,0.3
