
TDR_alpha10_2s_3by2_alphaonly_eta99_gam15_ic5_confidence90.csv
p0,p1,nc1,ne1,a1,m1,nc2,ne2,b1,b2,m2,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,es0,es1,En,N1,N2,etamax,gammax,expicmax,ci
0.05,0.15,30,30,-4,2,34,34,2,3,5,0.09663,0.21821,0.21821,0.18762,0.85272,0.0967,0.0232,0.0021,0,0.0232,0,0.0021,0.32571,0.01265,0.55447,0.04848,90.2961970040915,60,128,0.99,0.15,0.05,0.9
0.1,0.2,44,44,-4,5,49,49,3,4,13,0.08196,0.21817,0.21817,0.19396,0.85022,0.09156,0.06461,0.01101,0,0.06461,0,0.01101,0.2996,0.03781,0.55382,0.04721,131.725381190579,88,186,0.99,0.15,0.05,0.9
0.15,0.25,50,50,-5,8,69,69,4,5,22,0.09588,0.21558,0.21558,0.19881,0.8523,0.09232,0.05842,0.0069,0,0.05842,0,0.0069,0.32023,0.03266,0.52547,0.04847,165.485534882538,100,238,0.99,0.15,0.05,0.9
0.2,0.3,53,53,-7,11,86,86,4,5,33,0.09886,0.24093,0.24093,0.22283,0.86193,0.0778,0.08335,0.01066,0,0.08335,0,0.01066,0.31508,0.04701,0.50271,0.0496,191.534209907063,106,278,0.99,0.15,0.05,0.9
0.25,0.35,62,62,-7,16,93,93,5,6,45,0.08952,0.22326,0.22326,0.20777,0.85135,0.08737,0.08258,0.01264,0,0.08258,0,0.01264,0.31345,0.04761,0.51443,0.04863,214.315292679617,124,310,0.99,0.15,0.05,0.9
0.7,0.8,52,52,-5,37,94,94,5,6,108,0.09769,0.20446,0.20446,0.19865,0.85456,0.08894,0.07478,0.00719,0,0.07478,0,0.00719,0.31216,0.04098,0.51537,0.04929,195.111219227169,104,292,0.99,0.15,0.05,0.9
0.05,0.2,22,22,-3,2,11,11,1,2,4,0.06126,0.21683,0.26382,0.20215,0.86522,0.06423,0.07682,0.02204,0,0.07682,0,0.02204,0.1629,0.04943,0.69903,0.04851,50.6213959152923,44,66,0.99,0.15,0.05,0.9
0.1,0.25,23,23,-4,3,22,22,2,3,7,0.08994,0.1975,0.22772,0.20049,0.85312,0.08983,0.04883,0.00712,0,0.04883,0,0.00712,0.26787,0.02797,0.59336,0.04994,63.8922463837381,46,90,0.99,0.15,0.05,0.9
0.15,0.3,24,24,-3,4,35,35,3,4,12,0.08895,0.18042,0.20438,0.18523,0.852,0.09217,0.05174,0.0059,0,0.05174,0,0.0059,0.33904,0.02882,0.52027,0.04992,81.5810538461516,48,118,0.99,0.15,0.05,0.9
0.2,0.35,28,28,-4,6,37,37,3,4,17,0.08823,0.19471,0.22509,0.20594,0.85668,0.08726,0.07976,0.01241,0,0.07976,0,0.01241,0.3219,0.04609,0.5101,0.04364,92.2525946363648,56,130,0.99,0.15,0.05,0.9
