
TDR_alpha10_2s_3by2_alphamax30_eta99_gam6_ic5_confidence30.csv
p0,p1,nc1,ne1,a1,m1,nc2,ne2,b1,b2,m2,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,es0,es1,En,N1,N2,etamax,gammax,expicmax,ci
0.05,0.15,30,30,-4,2,42,42,2,3,7,0.04792,0.21999,0.21999,0.07438,0.85863,0.07214,0.07811,0.02074,0,0.07811,0,0.02074,0.31951,0.04942,0.55447,0.04848,97.4247139462306,60,144,0.99,0.06,0.05,0.3
0.1,0.2,44,44,-4,5,61,61,3,4,15,0.06693,0.22497,0.22497,0.09668,0.87027,0.06771,0.08472,0.0148,0,0.08472,0,0.0148,0.29452,0.04976,0.55382,0.04721,142.433637808679,88,210,0.99,0.06,0.05,0.3
0.15,0.25,50,50,-5,8,83,83,4,6,25,0.07331,0.18433,0.18433,0.09832,0.85044,0.07222,0.06485,0.02886,0.00931,0.05554,0.02187,0.00698,0.33637,0.04685,0.52547,0.04847,178.772455003633,100,266,0.99,0.06,0.05,0.3
0.05,0.2,22,22,-3,2,11,11,1,2,4,0.06126,0.21683,0.26382,0.09498,0.86522,0.06423,0.07682,0.02204,0,0.07682,0,0.02204,0.1629,0.04943,0.69903,0.04851,50.6213959152923,44,66,0.99,0.06,0.05,0.3
0.1,0.25,23,23,-4,3,31,31,2,4,8,0.07175,0.15274,0.17657,0.09342,0.85323,0.05882,0.04591,0.03801,0.02117,0.02473,0.03585,0.00215,0.28899,0.04196,0.59336,0.04994,71.2118017225401,46,108,0.99,0.06,0.05,0.3
0.15,0.3,24,24,-3,4,37,37,3,4,13,0.07188,0.17468,0.20414,0.09994,0.85371,0.08486,0.07058,0.0115,0,0.07058,0,0.0115,0.33726,0.04104,0.52027,0.04992,83.4999712087888,48,122,0.99,0.06,0.05,0.3
0.2,0.35,28,28,-4,6,47,47,4,5,20,0.06187,0.15844,0.18711,0.08744,0.85617,0.08756,0.07412,0.01262,0,0.07412,0,0.01262,0.3539,0.04337,0.5101,0.04364,102.050593186734,56,150,0.99,0.06,0.05,0.3
0.25,0.4,30,30,-4,8,55,55,4,6,26,0.07301,0.15026,0.16982,0.09613,0.85121,0.07064,0.06035,0.0288,0.0104,0.04994,0.02388,0.00493,0.34055,0.04458,0.52608,0.04934,112.130756261915,60,170,0.99,0.06,0.05,0.3
0.3,0.45,32,32,-4,10,56,56,5,6,32,0.06915,0.15516,0.17853,0.09426,0.85099,0.09293,0.06889,0.00955,0,0.06889,0,0.00955,0.35063,0.03922,0.51133,0.04652,118.731110960803,64,176,0.99,0.06,0.05,0.3
0.35,0.5,30,30,-7,11,62,62,5,6,38,0.07186,0.16072,0.1859,0.0979,0.85227,0.08885,0.07145,0.0091,0,0.07145,0,0.0091,0.34804,0.04027,0.50865,0.04978,120.927978521578,60,184,0.99,0.06,0.05,0.3
