
TDR_alpha20_1s_3by2_alphamax30_eta99_gam12_ic15_confidence30.csv
p0,p1,nc,ne,r,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,39,39,-6,2,4,0.09822,0.26243,0.26243,0.58948,0.78066,0.10131,0.14291,0.11802,0.03092,0.11199,0.07585,0.04217,0.75887,0.13047,78,0.99,0.12,0.15,0.3
0.1,0.2,67,67,-9,3,10,0.09643,0.24957,0.24957,0.51658,0.80837,0.07344,0.17028,0.11819,0.03261,0.13767,0.07805,0.04015,0.73328,0.14424,134,0.99,0.12,0.15,0.3
0.15,0.25,91,91,-11,4,18,0.09526,0.23736,0.23736,0.49114,0.81705,0.0637,0.17315,0.11924,0.03531,0.13784,0.0837,0.03554,0.73159,0.1462,182,0.99,0.12,0.15,0.3
0.05,0.2,22,22,-5,2,3,0.0711,0.1923,0.23003,0.57143,0.76713,0.12003,0.09071,0.11285,0.02373,0.06698,0.07838,0.03447,0.8382,0.10178,44,0.99,0.12,0.15,0.3
0.1,0.25,29,29,-6,2,5,0.11952,0.24302,0.27956,0.56707,0.80672,0.07805,0.17115,0.11523,0.03891,0.13224,0.07795,0.03728,0.70933,0.14319,58,0.99,0.12,0.15,0.3
0.15,0.3,43,43,-8,3,9,0.12334,0.22329,0.24893,0.51064,0.83301,0.04948,0.16404,0.11751,0.06364,0.1004,0.09981,0.01771,0.71262,0.14077,86,0.99,0.12,0.15,0.3
0.2,0.35,49,49,-9,3,13,0.1213,0.23467,0.26697,0.51122,0.83936,0.05119,0.18712,0.10945,0.04513,0.14199,0.08145,0.028,0.69158,0.14828,98,0.99,0.12,0.15,0.3
0.25,0.4,58,58,-10,3,18,0.13492,0.25714,0.29056,0.48969,0.86924,0.03729,0.20609,0.09346,0.04528,0.1608,0.0694,0.02406,0.65899,0.14977,116,0.99,0.12,0.15,0.3
0.3,0.45,61,61,-11,4,22,0.12419,0.21924,0.24351,0.47843,0.83835,0.04257,0.18073,0.11907,0.06041,0.12032,0.09988,0.01919,0.69508,0.1499,122,0.99,0.12,0.15,0.3
0.35,0.5,66,66,-12,4,27,0.13044,0.23016,0.25515,0.46802,0.85445,0.03621,0.18994,0.10933,0.05889,0.13105,0.09111,0.01822,0.67961,0.14964,132,0.99,0.12,0.15,0.3
0.4,0.55,70,70,-12,4,32,0.13638,0.23854,0.26326,0.46286,0.86807,0.03043,0.19628,0.10149,0.05963,0.13664,0.08526,0.01623,0.66733,0.14889,140,0.99,0.12,0.15,0.3
0.45,0.6,71,71,-12,4,36,0.13834,0.24021,0.26451,0.49072,0.87206,0.02827,0.19913,0.09965,0.05994,0.13919,0.08415,0.0155,0.66252,0.14939,142,0.99,0.12,0.15,0.3
0.5,0.65,72,72,-12,4,40,0.14189,0.24231,0.26498,0.4631,0.8799,0.02418,0.2009,0.09591,0.06288,0.13801,0.0827,0.01321,0.6572,0.1484,144,0.99,0.12,0.15,0.3
0.55,0.7,69,69,-12,4,42,0.13544,0.23312,0.25559,0.49281,0.87424,0.02545,0.19934,0.1003,0.06009,0.13925,0.08616,0.01414,0.66521,0.14982,138,0.99,0.12,0.15,0.3
