
TDR_alpha20_1s_2by2_alphamax30_eta99_gam7_ic25_confidence30.csv
p0,p1,nc,ne,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,37,37,2,4,0.08726,0.25185,0.25185,0.1264,0.75417,0.19208,0.11646,0.05375,0.79628,0.08511,74,0.99,0.07,0.25,0.3
0.1,0.2,46,46,2,7,0.13416,0.29228,0.29228,0.18067,0.76207,0.17925,0.16475,0.05869,0.70109,0.11172,92,0.99,0.07,0.25,0.3
0.15,0.25,63,63,3,12,0.15352,0.27116,0.27116,0.19249,0.77528,0.19633,0.112,0.02838,0.73447,0.07019,126,0.99,0.07,0.25,0.3
0.2,0.3,71,71,3,18,0.12591,0.27154,0.27154,0.1694,0.75192,0.1844,0.17368,0.06367,0.7004,0.11868,142,0.99,0.07,0.25,0.3
0.25,0.35,83,83,3,25,0.13452,0.28956,0.28956,0.18058,0.77579,0.16136,0.19237,0.06283,0.6731,0.1276,166,0.99,0.07,0.25,0.3
0.3,0.4,83,83,3,29,0.15012,0.29694,0.29694,0.19713,0.76904,0.17118,0.18582,0.05977,0.66405,0.1228,166,0.99,0.07,0.25,0.3
0.35,0.45,82,82,3,33,0.14819,0.29324,0.29324,0.19551,0.75069,0.18041,0.19297,0.06889,0.65882,0.13093,164,0.99,0.07,0.25,0.3
0.4,0.5,91,91,3,41,0.15072,0.30282,0.30282,0.19912,0.77381,0.16146,0.20192,0.06472,0.64734,0.13332,182,0.99,0.07,0.25,0.3
0.45,0.55,93,93,4,46,0.15794,0.27482,0.27482,0.19907,0.7635,0.19616,0.14508,0.04033,0.69696,0.09271,186,0.99,0.07,0.25,0.3
0.5,0.6,95,95,4,52,0.14938,0.27181,0.27181,0.19106,0.76541,0.18945,0.15646,0.04513,0.69415,0.10079,190,0.99,0.07,0.25,0.3
0.55,0.65,88,88,3,53,0.15034,0.29695,0.29695,0.19799,0.77024,0.16486,0.20213,0.06489,0.64752,0.13351,176,0.99,0.07,0.25,0.3
0.6,0.7,78,78,3,51,0.15208,0.28636,0.28636,0.19808,0.75002,0.18532,0.18938,0.06465,0.65853,0.12702,156,0.99,0.07,0.25,0.3
0.65,0.75,74,74,3,52,0.1547,0.28186,0.28186,0.19923,0.75536,0.18804,0.17859,0.05659,0.6667,0.11759,148,0.99,0.07,0.25,0.3
0.7,0.8,69,69,3,52,0.14969,0.2701,0.2701,0.19213,0.75643,0.19158,0.17142,0.05199,0.67888,0.1117,138,0.99,0.07,0.25,0.3
0.05,0.2,22,22,2,3,0.0711,0.1923,0.23003,0.10556,0.76713,0.19841,0.06698,0.03447,0.86192,0.05072,44,0.99,0.07,0.25,0.3
0.1,0.25,27,27,2,5,0.09948,0.22188,0.26322,0.14084,0.76962,0.17431,0.1443,0.05607,0.75623,0.10018,54,0.99,0.07,0.25,0.3
0.15,0.3,27,27,2,6,0.15198,0.25507,0.28677,0.19582,0.76143,0.19813,0.12977,0.04044,0.71825,0.0851,54,0.99,0.07,0.25,0.3
0.2,0.35,39,39,3,11,0.10264,0.20183,0.23559,0.13961,0.75761,0.19383,0.1361,0.04855,0.76125,0.09232,78,0.99,0.07,0.25,0.3
0.25,0.4,40,40,3,13,0.12662,0.22057,0.25052,0.16523,0.76113,0.19816,0.13228,0.0407,0.7411,0.08649,80,0.99,0.07,0.25,0.3
0.3,0.45,41,41,3,15,0.15177,0.23869,0.26406,0.19036,0.76975,0.19923,0.12151,0.03102,0.72672,0.07627,82,0.99,0.07,0.25,0.3
0.35,0.5,42,42,3,18,0.13247,0.22632,0.25806,0.17298,0.75324,0.19767,0.15122,0.04908,0.71631,0.10015,84,0.99,0.07,0.25,0.3
0.4,0.55,44,44,3,21,0.13627,0.23151,0.26355,0.17748,0.76458,0.18773,0.15703,0.04768,0.7067,0.10235,88,0.99,0.07,0.25,0.3
0.45,0.6,44,44,3,23,0.14776,0.23891,0.26782,0.18858,0.7722,0.18773,0.14843,0.04007,0.70379,0.09425,88,0.99,0.07,0.25,0.3
0.5,0.65,42,42,3,24,0.15367,0.23839,0.26422,0.19315,0.7661,0.19767,0.13915,0.03622,0.70717,0.08769,84,0.99,0.07,0.25,0.3
0.55,0.7,41,41,2,26,0.14537,0.2603,0.30571,0.19484,0.79147,0.14151,0.22431,0.06702,0.63031,0.14566,82,0.99,0.07,0.25,0.3
