
TDR_alpha20_1s_3by2_alphaonly_eta99_gam14_ic25_confidence90.csv
p0,p1,nc,ne,r,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.25,11,11,-4,1,2,0.09285,0.23149,0.32476,0.98917,0.77239,0.10901,0.19635,0.11859,0.00904,0.18731,0.03051,0.08809,0.7108,0.15747,22,0.99,0.14,0.25,0.9
0.1,0.3,13,13,-4,1,3,0.11955,0.23865,0.32954,0.59687,0.75907,0.10253,0.25974,0.1384,0.01432,0.24541,0.03843,0.09997,0.62071,0.19907,26,0.99,0.14,0.25,0.9
0.15,0.35,19,19,-6,2,5,0.10967,0.19787,0.25872,0.57538,0.76423,0.1009,0.16969,0.13487,0.03477,0.13492,0.08577,0.0491,0.72064,0.15228,38,0.99,0.14,0.25,0.9
0.2,0.4,16,16,-6,1,5,0.17247,0.27756,0.3567,0.57055,0.77833,0.08724,0.26851,0.13443,0.02928,0.23923,0.0551,0.07934,0.55902,0.20147,32,0.99,0.14,0.25,0.9
0.25,0.45,17,17,-6,1,6,0.19634,0.29627,0.36924,0.56613,0.78979,0.07982,0.26317,0.13038,0.03834,0.22483,0.06312,0.06726,0.54049,0.19677,34,0.99,0.14,0.25,0.9
0.3,0.5,20,20,-7,1,8,0.19256,0.29664,0.37448,0.55715,0.81098,0.06721,0.27403,0.12181,0.03516,0.23887,0.05742,0.06439,0.5334,0.19792,40,0.99,0.14,0.25,0.9
0.35,0.55,20,20,-7,1,9,0.19966,0.29974,0.37534,0.55693,0.80821,0.06749,0.2725,0.1243,0.03796,0.23454,0.06101,0.06328,0.52784,0.1984,40,0.99,0.14,0.25,0.9
0.4,0.6,22,22,-7,1,11,0.19345,0.29667,0.37654,0.5584,0.82298,0.05937,0.28008,0.11765,0.03459,0.24549,0.05631,0.06134,0.52647,0.19886,44,0.99,0.14,0.25,0.9
0.45,0.65,23,23,-7,1,13,0.16092,0.26516,0.35656,0.55616,0.81135,0.06196,0.30295,0.12669,0.02267,0.28028,0.04615,0.08054,0.53614,0.21482,46,0.99,0.14,0.25,0.9
0.5,0.7,23,23,-7,1,14,0.17498,0.27904,0.36644,0.55827,0.82973,0.05416,0.29396,0.11611,0.02745,0.26651,0.05021,0.0659,0.53105,0.20503,46,0.99,0.14,0.25,0.9
0.55,0.75,21,21,-7,1,14,0.17054,0.26974,0.3563,0.56398,0.81774,0.05841,0.29449,0.12384,0.02653,0.26795,0.05235,0.0715,0.53497,0.20917,42,0.99,0.14,0.25,0.9
0.6,0.8,21,21,-6,1,15,0.17263,0.27297,0.35953,0.56751,0.83909,0.04849,0.29249,0.11242,0.02761,0.26488,0.0524,0.06002,0.53487,0.20246,42,0.99,0.14,0.25,0.9
0.65,0.85,17,17,-5,1,13,0.19573,0.28612,0.35952,0.58098,0.83278,0.04938,0.27207,0.11784,0.0391,0.23296,0.06851,0.04933,0.5322,0.19495,34,0.99,0.14,0.25,0.9
0.7,0.9,17,17,-5,1,14,0.17194,0.2654,0.34647,0.59114,0.85782,0.03766,0.28371,0.10451,0.02997,0.25374,0.05954,0.04498,0.54435,0.19411,34,0.99,0.14,0.25,0.9
0.05,0.3,9,9,-4,1,2,0.06667,0.18396,0.3151,0.99112,0.78265,0.09791,0.19269,0.11944,0.00454,0.18815,0.02134,0.0981,0.74063,0.15607,18,0.99,0.14,0.25,0.9
0.1,0.35,11,11,-4,1,3,0.0829,0.18369,0.31515,0.59914,0.77465,0.08656,0.27561,0.1388,0.00666,0.26895,0.02522,0.11358,0.64149,0.2072,22,0.99,0.14,0.25,0.9
0.15,0.4,13,13,-5,1,4,0.10715,0.2063,0.33347,0.59693,0.80043,0.0726,0.29285,0.12697,0.01085,0.282,0.03099,0.09599,0.6,0.20991,26,0.99,0.14,0.25,0.9
0.2,0.45,14,14,-5,1,5,0.11715,0.21117,0.33564,0.57985,0.79893,0.07099,0.3011,0.13008,0.01269,0.28842,0.03387,0.09621,0.58175,0.21559,28,0.99,0.14,0.25,0.9
0.25,0.5,15,15,-6,1,6,0.13229,0.22482,0.3453,0.57327,0.81122,0.06521,0.29989,0.12356,0.01608,0.28381,0.03789,0.08567,0.56782,0.21173,30,0.99,0.14,0.25,0.9
0.3,0.55,16,16,-6,2,7,0.1309,0.19702,0.26664,0.56948,0.77943,0.08065,0.19454,0.13992,0.04441,0.15013,0.09646,0.04346,0.67456,0.16723,32,0.99,0.14,0.25,0.9
0.35,0.6,12,12,-5,1,6,0.17994,0.2571,0.35079,0.57736,0.77873,0.0828,0.26817,0.13847,0.03278,0.23539,0.06304,0.07543,0.55188,0.20332,24,0.99,0.14,0.25,0.9
0.4,0.65,13,13,-5,1,7,0.19159,0.26975,0.36183,0.575,0.80558,0.06797,0.26649,0.12646,0.03724,0.22926,0.06493,0.06153,0.54192,0.19648,26,0.99,0.14,0.25,0.9
0.45,0.7,15,15,-6,1,9,0.15823,0.24069,0.34978,0.57284,0.81949,0.059,0.2927,0.12151,0.02353,0.26917,0.04937,0.07215,0.54907,0.20711,30,0.99,0.14,0.25,0.9
0.5,0.75,14,14,-5,1,9,0.17991,0.25938,0.35822,0.57511,0.82931,0.05434,0.27742,0.11635,0.03205,0.24536,0.05901,0.05734,0.54267,0.19688,28,0.99,0.14,0.25,0.9
0.55,0.8,13,13,-5,1,9,0.19042,0.26649,0.3587,0.58366,0.83493,0.05021,0.26921,0.11486,0.03753,0.23168,0.06594,0.04892,0.54037,0.19203,26,0.99,0.14,0.25,0.9
0.6,0.85,12,12,-5,1,9,0.18769,0.26087,0.35084,0.5944,0.83843,0.04672,0.26763,0.11484,0.03765,0.22998,0.06936,0.04548,0.54468,0.19124,24,0.99,0.14,0.25,0.9
0.65,0.9,11,11,-4,1,9,0.16898,0.23935,0.33185,0.60968,0.84181,0.04315,0.27379,0.11504,0.03114,0.24265,0.06863,0.04642,0.55722,0.19442,22,0.99,0.14,0.25,0.9
0.7,0.95,9,9,-4,1,8,0.16387,0.22705,0.30961,0.64855,0.84484,0.0353,0.2665,0.11986,0.03214,0.23437,0.08395,0.03591,0.56963,0.19318,18,0.99,0.14,0.25,0.9
