
TDR_alpha20_2s_3by2_alphamax30_eta99_gam12_ic25_confidence30.csv
p0,p1,nc1,ne1,a1,m1,nc2,ne2,b1,b2,m2,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,es0,es1,En,N1,N2,etamax,gammax,expicmax,ci
0.05,0.15,30,30,-4,2,3,3,0,2,3,0.13862,0.25892,0.25892,0.17471,0.75805,0.1031,0.0891,0.09036,0.04829,0.04081,0.07868,0.01168,0.21781,0.08973,0.55447,0.04848,62.6731938533022,60,66,0.99,0.12,0.25,0.3
0.1,0.2,44,44,-4,5,2,2,-1,2,7,0.13416,0.29228,0.29228,0.18067,0.76207,0.07844,0.14254,0.11228,0.02825,0.11429,0.06092,0.05137,0.16948,0.12741,0.55382,0.04721,89.7847094363501,88,92,0.99,0.12,0.25,0.3
0.15,0.25,50,50,-5,8,2,2,0,1,11,0.13317,0.33916,0.33916,0.19006,0.75101,0.08781,0.20464,0.11271,0,0.20464,0,0.11271,0.13672,0.15868,0.52547,0.04847,101.898131445871,100,104,0.99,0.12,0.25,0.3
0.2,0.3,53,53,-7,11,12,12,0,1,17,0.12684,0.33707,0.33707,0.18268,0.75774,0.0818,0.21218,0.11086,0,0.21218,0,0.11086,0.15827,0.16152,0.50271,0.0496,117.935006033544,106,130,0.99,0.12,0.25,0.3
0.25,0.35,62,62,-7,16,9,9,-1,1,22,0.13774,0.34421,0.34421,0.19525,0.76268,0.06881,0.20918,0.11986,0.00529,0.20389,0.01328,0.10658,0.13863,0.16452,0.51443,0.04863,132.740189614156,124,142,0.99,0.12,0.25,0.3
0.3,0.4,65,65,-8,20,10,10,-1,1,27,0.14166,0.3445,0.3445,0.19967,0.75946,0.07136,0.20721,0.11967,0.00521,0.20201,0.01295,0.10673,0.14062,0.16344,0.51051,0.0495,139.789895516814,130,150,0.99,0.12,0.25,0.3
0.35,0.45,70,70,-7,25,15,15,0,1,35,0.12824,0.3366,0.3366,0.18414,0.76201,0.0754,0.21454,0.11346,0,0.21454,0,0.11346,0.14408,0.164,0.51312,0.04911,154.606359789408,140,170,0.99,0.12,0.25,0.3
0.4,0.5,69,69,-7,28,14,14,-1,2,38,0.14351,0.31925,0.31925,0.19692,0.75535,0.07961,0.18277,0.11506,0.01224,0.17053,0.02981,0.08526,0.17117,0.14892,0.50254,0.04997,151.928942458045,138,166,0.99,0.12,0.25,0.3
0.45,0.55,70,70,-8,32,12,12,0,1,42,0.13943,0.33833,0.33833,0.19691,0.75368,0.0841,0.20763,0.11313,0,0.20763,0,0.11313,0.14624,0.16038,0.50669,0.04908,151.839445112695,140,164,0.99,0.12,0.25,0.3
0.5,0.6,67,67,-9,34,13,13,0,1,45,0.14222,0.33832,0.33832,0.19996,0.7526,0.08685,0.20412,0.11099,0,0.20412,0,0.11099,0.15129,0.15756,0.50236,0.04955,146.938648812547,134,160,0.99,0.12,0.25,0.3
0.55,0.65,68,68,-7,38,12,12,0,1,49,0.14125,0.33854,0.33854,0.19871,0.7595,0.08193,0.20223,0.10878,0,0.20223,0,0.10878,0.14083,0.1555,0.51569,0.04979,147.623543930249,136,160,0.99,0.12,0.25,0.3
0.6,0.7,64,64,-7,39,15,15,-2,2,52,0.14703,0.31677,0.31677,0.19978,0.76558,0.06681,0.17673,0.11915,0.01821,0.15852,0.04344,0.07571,0.16339,0.14794,0.51284,0.04846,142.614765123793,128,158,0.99,0.12,0.25,0.3
0.65,0.75,56,56,-8,37,20,20,-2,2,54,0.13727,0.30699,0.30699,0.18844,0.76458,0.06616,0.17752,0.11993,0.01709,0.16042,0.04373,0.07621,0.17809,0.14873,0.50712,0.04932,131.715398640556,112,152,0.99,0.12,0.25,0.3
0.7,0.8,52,52,-5,37,19,19,-2,2,54,0.1366,0.30291,0.30291,0.18674,0.7743,0.05868,0.1753,0.11773,0.01852,0.15679,0.04751,0.07022,0.17273,0.14652,0.51537,0.04929,122.416097503364,104,142,0.99,0.12,0.25,0.3
0.05,0.2,22,22,-3,2,2,2,-5,2,3,0.08319,0.20785,0.2432,0.11896,0.80416,0.048,0.08625,0.09933,0.0317,0.05456,0.07943,0.01991,0.13153,0.09279,0.69903,0.04851,45.2038901664168,44,48,0.99,0.12,0.25,0.3
0.1,0.25,23,23,-4,3,2,2,0,1,5,0.09079,0.24976,0.31956,0.14007,0.76214,0.07346,0.19725,0.11446,0,0.19725,0,0.11446,0.1186,0.15585,0.59336,0.04994,47.6265678530671,46,50,0.99,0.12,0.25,0.3
0.15,0.3,24,24,-3,4,3,3,-1,2,6,0.15151,0.25466,0.28647,0.19533,0.76093,0.07415,0.13472,0.115,0.04375,0.09097,0.08134,0.03366,0.1935,0.12486,0.52027,0.04992,50.8783760439558,48,54,0.99,0.12,0.25,0.3
0.2,0.35,28,28,-4,6,3,3,-1,1,9,0.13538,0.28183,0.34417,0.1922,0.77442,0.06518,0.20967,0.11676,0.00803,0.20163,0.01978,0.09698,0.14485,0.16321,0.5101,0.04364,58.9393995651107,56,62,0.99,0.12,0.25,0.3
0.25,0.4,30,30,-4,8,2,2,0,1,11,0.13791,0.277,0.33868,0.19495,0.75784,0.0874,0.19839,0.10541,0,0.19839,0,0.10541,0.13761,0.1519,0.52608,0.04934,61.8956638640696,60,64,0.99,0.12,0.25,0.3
0.3,0.45,32,32,-4,10,6,6,0,1,15,0.12463,0.26699,0.33399,0.17961,0.76905,0.07578,0.21566,0.10865,0,0.21566,0,0.10865,0.14838,0.16216,0.51133,0.04652,69.8640476029431,64,76,0.99,0.12,0.25,0.3
0.35,0.5,30,30,-7,11,6,6,-1,1,16,0.13957,0.27514,0.33772,0.19663,0.75946,0.07155,0.20179,0.11922,0.00708,0.19471,0.01802,0.1012,0.14999,0.1605,0.50865,0.04978,65.8962559859591,60,72,0.99,0.12,0.25,0.3
0.4,0.55,34,34,-4,14,3,3,0,2,18,0.14773,0.2579,0.30138,0.19742,0.75174,0.10119,0.16014,0.10095,0.01313,0.14701,0.03141,0.06954,0.18133,0.13055,0.51079,0.04611,70.935254540282,68,74,0.99,0.12,0.25,0.3
0.45,0.6,30,30,-6,14,9,9,-1,2,21,0.13995,0.25256,0.29875,0.18936,0.75751,0.0797,0.16237,0.11337,0.01923,0.14314,0.04723,0.06614,0.19243,0.13787,0.50525,0.04943,68.9055369384801,60,78,0.99,0.12,0.25,0.3
0.5,0.65,29,29,-6,15,10,10,-1,2,23,0.13775,0.24948,0.29595,0.18674,0.75966,0.07831,0.16324,0.11327,0.01885,0.14438,0.04745,0.06582,0.19662,0.13825,0.50239,0.04875,67.9522890101441,58,78,0.99,0.12,0.25,0.3
0.55,0.7,28,28,-6,16,8,8,-1,2,23,0.14693,0.25232,0.29463,0.19548,0.75636,0.07949,0.15308,0.11427,0.02322,0.12985,0.05569,0.05857,0.18579,0.13367,0.51419,0.04989,63.7728953045557,56,72,0.99,0.12,0.25,0.3
0.6,0.75,29,29,-4,18,7,7,0,2,25,0.13296,0.23929,0.28411,0.1802,0.7591,0.09457,0.15707,0.10136,0.01189,0.14518,0.03309,0.06827,0.18771,0.12922,0.52226,0.04497,64.6883764545008,58,72,0.99,0.12,0.25,0.3
0.65,0.8,25,25,-5,17,6,6,0,2,23,0.14798,0.24314,0.27984,0.19374,0.7539,0.10349,0.13132,0.09493,0.01756,0.11376,0.04479,0.05014,0.18565,0.11313,0.53505,0.04767,55.5794376534145,50,62,0.99,0.12,0.25,0.3
0.7,0.85,22,22,-3,16,4,4,0,1,21,0.14405,0.2615,0.31958,0.19924,0.76623,0.0941,0.18563,0.09503,0,0.18563,0,0.09503,0.1487,0.14033,0.52161,0.04465,47.8270859751922,44,52,0.99,0.12,0.25,0.3
0.05,0.25,11,11,-2,1,2,2,-4,1,2,0.11864,0.26969,0.35412,0.1743,0.83627,0.04107,0.1673,0.07764,0.01474,0.15256,0.03292,0.04472,0.14011,0.12247,0.57395,0.04502,23.7041878682946,22,26,0.99,0.12,0.25,0.3
0.1,0.3,14,14,-3,2,2,2,0,2,3,0.12802,0.20268,0.24484,0.16284,0.76714,0.0921,0.08474,0.0919,0.04616,0.03858,0.08161,0.01029,0.20006,0.08832,0.58718,0.04885,29.6512954913883,28,32,0.99,0.12,0.25,0.3
0.15,0.35,16,16,-3,3,2,2,-1,1,5,0.1097,0.22804,0.33125,0.16263,0.78067,0.0558,0.19654,0.11524,0.00718,0.18936,0.02089,0.09435,0.1262,0.15589,0.56755,0.04829,33.7297879618818,32,36,0.99,0.12,0.25,0.3
0.2,0.4,17,17,-4,4,3,3,-1,2,6,0.14132,0.22366,0.27697,0.18406,0.77238,0.06829,0.1251,0.11157,0.04127,0.08383,0.08162,0.02995,0.18203,0.11834,0.55155,0.04776,36.6906886243714,34,40,0.99,0.12,0.25,0.3
