
TDR_alpha10_1s_2by2_alphaonly_eta99_gam15_ic30_confidence90.csv
p0,p1,nc,ne,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,49,49,1,5,0.09006,0.36278,0.36278,0.305,0.85887,0.06254,0.31543,0.07859,0.59451,0.19701,98,0.99,0.15,0.3,0.9
0.1,0.2,77,77,1,12,0.07608,0.3496,0.3496,0.29875,0.85496,0.04933,0.37011,0.0957,0.55381,0.23291,154,0.99,0.15,0.3,0.9
0.15,0.25,92,92,0,19,0.08589,0.38112,0.38112,0.34242,0.85318,0.03549,0.45534,0.11131,0.45876,0.28333,184,0.99,0.15,0.3,0.9
0.2,0.3,106,106,1,27,0.0951,0.35608,0.35608,0.33373,0.85322,0.05337,0.37064,0.09341,0.53425,0.23203,212,0.99,0.15,0.3,0.9
0.25,0.35,118,118,1,36,0.09641,0.35481,0.35481,0.33786,0.85189,0.05329,0.3736,0.0948,0.52997,0.2342,236,0.99,0.15,0.3,0.9
0.3,0.4,129,129,0,46,0.09318,0.37165,0.37165,0.35476,0.85296,0.0395,0.43389,0.10752,0.47291,0.27071,258,0.99,0.15,0.3,0.9
0.35,0.45,136,136,2,55,0.09877,0.33227,0.33227,0.32261,0.85079,0.06632,0.32561,0.08287,0.5756,0.20424,272,0.99,0.15,0.3,0.9
0.4,0.5,138,138,0,63,0.09843,0.37144,0.37144,0.36343,0.85377,0.04127,0.42605,0.10495,0.4755,0.2655,276,0.99,0.15,0.3,0.9
0.45,0.55,138,138,0,70,0.09852,0.36831,0.36831,0.36434,0.85092,0.04205,0.42559,0.10701,0.47588,0.2663,276,0.99,0.15,0.3,0.9
0.5,0.6,138,138,0,77,0.0965,0.36508,0.36508,0.3624,0.85096,0.04127,0.42748,0.10775,0.476,0.26762,276,0.99,0.15,0.3,0.9
0.55,0.65,135,135,1,82,0.0981,0.34681,0.34681,0.34587,0.85181,0.05248,0.37752,0.09569,0.52437,0.2366,270,0.99,0.15,0.3,0.9
0.6,0.7,126,126,0,83,0.0996,0.36548,0.36548,0.36958,0.85315,0.04115,0.42602,0.10568,0.47437,0.26585,252,0.99,0.15,0.3,0.9
0.65,0.75,123,123,2,87,0.09713,0.31966,0.31966,0.31974,0.85571,0.06541,0.32341,0.07886,0.57945,0.20114,246,0.99,0.15,0.3,0.9
0.7,0.8,112,112,2,85,0.09317,0.31047,0.31047,0.31187,0.85586,0.06588,0.32024,0.07825,0.58657,0.19924,224,0.99,0.15,0.3,0.9
0.05,0.2,30,30,1,4,0.05783,0.2682,0.34901,0.25332,0.86585,0.04974,0.3191,0.0844,0.62308,0.20175,60,0.99,0.15,0.3,0.9
0.1,0.25,38,38,1,7,0.07535,0.26655,0.34921,0.291,0.8571,0.05315,0.34767,0.08975,0.57698,0.21871,76,0.99,0.15,0.3,0.9
0.15,0.3,47,47,1,11,0.07978,0.26458,0.35019,0.30377,0.86095,0.04969,0.36245,0.08936,0.55777,0.22591,94,0.99,0.15,0.3,0.9
0.2,0.35,52,52,0,15,0.07941,0.27111,0.37659,0.33433,0.85233,0.03239,0.4695,0.11528,0.45108,0.29239,104,0.99,0.15,0.3,0.9
0.25,0.4,54,54,1,18,0.09927,0.27311,0.35448,0.33551,0.85404,0.0572,0.35643,0.08875,0.54429,0.22259,108,0.99,0.15,0.3,0.9
0.3,0.45,60,60,1,23,0.09728,0.27079,0.35446,0.3357,0.8607,0.05285,0.36303,0.08644,0.53968,0.22474,120,0.99,0.15,0.3,0.9
0.35,0.5,62,62,1,27,0.09534,0.2643,0.34884,0.33489,0.85539,0.05346,0.36717,0.09115,0.53749,0.22916,124,0.99,0.15,0.3,0.9
0.4,0.55,64,64,2,31,0.09538,0.24534,0.31406,0.30498,0.85022,0.07404,0.298,0.07573,0.60662,0.18687,128,0.99,0.15,0.3,0.9
0.45,0.6,67,67,2,36,0.08608,0.2349,0.30762,0.29643,0.85172,0.06786,0.31122,0.08041,0.60269,0.19581,134,0.99,0.15,0.3,0.9
0.5,0.65,63,63,1,37,0.09699,0.26036,0.34521,0.3399,0.86039,0.05191,0.36754,0.08768,0.53547,0.22761,126,0.99,0.15,0.3,0.9
0.55,0.7,61,61,1,39,0.0943,0.25439,0.33984,0.337,0.85986,0.05126,0.36947,0.08887,0.53622,0.22917,122,0.99,0.15,0.3,0.9
0.6,0.75,55,55,1,38,0.09936,0.25492,0.33763,0.34308,0.85613,0.05535,0.3619,0.08851,0.53874,0.2252,110,0.99,0.15,0.3,0.9
0.65,0.8,51,51,1,38,0.09241,0.24241,0.32619,0.33439,0.85403,0.05399,0.36626,0.09197,0.54132,0.22912,102,0.99,0.15,0.3,0.9
0.7,0.85,45,45,1,36,0.0875,0.23027,0.31356,0.32727,0.85195,0.05401,0.3667,0.09404,0.5458,0.23037,90,0.99,0.15,0.3,0.9
0.05,0.25,18,18,1,3,0.05528,0.21396,0.33976,0.24398,0.85214,0.06029,0.2797,0.08757,0.66503,0.18363,36,0.99,0.15,0.3,0.9
0.1,0.3,24,24,1,5,0.07959,0.23052,0.3563,0.2919,0.87286,0.05295,0.32294,0.07418,0.59748,0.19856,48,0.99,0.15,0.3,0.9
0.15,0.35,27,27,1,7,0.0916,0.23244,0.35662,0.31356,0.86647,0.05653,0.33202,0.077,0.57639,0.20451,54,0.99,0.15,0.3,0.9
0.2,0.4,32,32,1,10,0.08425,0.21876,0.35073,0.30938,0.86807,0.05002,0.35338,0.0819,0.56237,0.21764,64,0.99,0.15,0.3,0.9
0.25,0.45,35,35,1,13,0.07168,0.19419,0.33152,0.29404,0.85152,0.04864,0.37332,0.09983,0.555,0.23658,70,0.99,0.15,0.3,0.9
0.3,0.5,36,36,1,15,0.08605,0.21104,0.3434,0.31714,0.86149,0.05077,0.36276,0.08773,0.55119,0.22525,72,0.99,0.15,0.3,0.9
0.35,0.55,34,34,0,16,0.09605,0.22783,0.38173,0.36785,0.85548,0.03566,0.45452,0.10885,0.44943,0.28169,68,0.99,0.15,0.3,0.9
0.4,0.6,37,37,2,19,0.09459,0.20095,0.29862,0.28864,0.85429,0.08163,0.26644,0.06407,0.63897,0.16525,74,0.99,0.15,0.3,0.9
0.45,0.65,35,35,1,20,0.09476,0.21053,0.33685,0.33197,0.854,0.05647,0.35748,0.08953,0.54775,0.2235,70,0.99,0.15,0.3,0.9
