
TDR_alpha10_1s_2by2_alphamax30_eta99_gam12_ic25_confidence30.csv
p0,p1,nc,ne,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,56,56,1,6,0.05749,0.34289,0.34289,0.09653,0.85302,0.04812,0.35438,0.09886,0.58813,0.22662,112,0.99,0.12,0.25,0.3
0.1,0.2,89,89,2,14,0.05447,0.29774,0.29774,0.08904,0.85716,0.05736,0.29858,0.08547,0.64695,0.19203,178,0.99,0.12,0.25,0.3
0.15,0.25,115,115,2,24,0.05268,0.30151,0.30151,0.0866,0.85798,0.04804,0.33795,0.09397,0.60936,0.21596,230,0.99,0.12,0.25,0.3
0.2,0.3,135,135,3,35,0.05223,0.27619,0.27619,0.08465,0.85092,0.05978,0.29945,0.08929,0.64831,0.19437,270,0.99,0.12,0.25,0.3
0.25,0.35,146,146,3,45,0.06027,0.28636,0.28636,0.09564,0.85338,0.06014,0.3074,0.08647,0.63232,0.19693,292,0.99,0.12,0.25,0.3
0.65,0.75,146,146,3,104,0.061,0.27159,0.27159,0.09567,0.85031,0.06014,0.31852,0.08953,0.62046,0.20403,292,0.99,0.12,0.25,0.3
0.7,0.8,131,131,2,100,0.0622,0.28878,0.28878,0.09824,0.85809,0.04783,0.35764,0.09406,0.58013,0.22585,262,0.99,0.12,0.25,0.3
0.05,0.2,30,30,1,4,0.05783,0.2682,0.34901,0.09793,0.86585,0.04974,0.3191,0.0844,0.62308,0.20175,60,0.99,0.12,0.25,0.3
0.1,0.25,47,47,1,9,0.03991,0.22119,0.3227,0.07029,0.85805,0.03375,0.39101,0.1082,0.56908,0.24961,94,0.99,0.12,0.25,0.3
0.15,0.3,50,50,1,12,0.06012,0.23743,0.33098,0.09873,0.85002,0.04389,0.38388,0.10608,0.556,0.24498,100,0.99,0.12,0.25,0.3
0.2,0.35,59,59,2,17,0.06216,0.2185,0.29494,0.09897,0.85144,0.06223,0.30248,0.08632,0.63536,0.1944,118,0.99,0.12,0.25,0.3
0.25,0.4,71,71,3,24,0.05457,0.19433,0.2617,0.08677,0.85589,0.06983,0.25927,0.07427,0.68616,0.16677,142,0.99,0.12,0.25,0.3
0.3,0.45,72,72,2,28,0.06239,0.21788,0.30001,0.09926,0.85939,0.05304,0.33009,0.08757,0.60752,0.20883,144,0.99,0.12,0.25,0.3
0.35,0.5,75,75,2,33,0.06235,0.21542,0.29855,0.09912,0.85815,0.05215,0.33633,0.08968,0.60131,0.21301,150,0.99,0.12,0.25,0.3
0.4,0.55,79,79,2,39,0.05427,0.20119,0.28802,0.08801,0.85305,0.04822,0.34953,0.09872,0.59619,0.22413,158,0.99,0.12,0.25,0.3
0.45,0.6,79,79,2,43,0.05502,0.19998,0.28647,0.08889,0.85372,0.04822,0.35023,0.09805,0.59474,0.22414,158,0.99,0.12,0.25,0.3
0.5,0.65,76,76,3,45,0.06094,0.19226,0.26052,0.09485,0.85074,0.07026,0.28166,0.07899,0.65739,0.18033,152,0.99,0.12,0.25,0.3
0.55,0.7,75,75,3,48,0.06477,0.19696,0.26312,0.09953,0.86363,0.06804,0.27608,0.06832,0.65914,0.1722,150,0.99,0.12,0.25,0.3
0.6,0.75,72,72,3,50,0.05674,0.18152,0.24835,0.08861,0.85791,0.06763,0.27863,0.07445,0.66462,0.17654,144,0.99,0.12,0.25,0.3
0.65,0.8,63,63,2,47,0.06357,0.19915,0.27704,0.0992,0.86561,0.05394,0.32611,0.08044,0.61031,0.20328,126,0.99,0.12,0.25,0.3
0.7,0.85,55,55,2,44,0.06136,0.1877,0.26149,0.09553,0.86164,0.05828,0.31607,0.08007,0.62256,0.19807,110,0.99,0.12,0.25,0.3
0.05,0.25,18,18,1,3,0.05528,0.21396,0.33976,0.0954,0.85214,0.06029,0.2797,0.08757,0.66503,0.18363,36,0.99,0.12,0.25,0.3
0.1,0.3,27,27,1,6,0.04536,0.17939,0.32656,0.07897,0.85546,0.04125,0.36292,0.10329,0.59172,0.2331,54,0.99,0.12,0.25,0.3
0.15,0.35,33,33,1,9,0.04771,0.17358,0.32397,0.08147,0.8597,0.03732,0.38326,0.10298,0.56903,0.24312,66,0.99,0.12,0.25,0.3
0.2,0.4,34,34,1,11,0.05934,0.18182,0.32474,0.09745,0.85028,0.04426,0.38015,0.10545,0.56051,0.2428,68,0.99,0.12,0.25,0.3
0.25,0.45,43,43,2,16,0.04792,0.15495,0.28014,0.07917,0.86464,0.05106,0.30621,0.08429,0.64586,0.19525,86,0.99,0.12,0.25,0.3
0.3,0.5,43,43,3,18,0.0569,0.1505,0.241,0.08843,0.85066,0.08579,0.22113,0.06355,0.72197,0.14234,86,0.99,0.12,0.25,0.3
0.35,0.55,42,42,1,20,0.05974,0.17256,0.31727,0.09706,0.85663,0.03943,0.39474,0.10393,0.54552,0.24934,84,0.99,0.12,0.25,0.3
0.4,0.6,44,44,2,23,0.0617,0.16565,0.28422,0.09743,0.86248,0.05705,0.31042,0.08046,0.62787,0.19544,88,0.99,0.12,0.25,0.3
0.45,0.65,47,47,3,27,0.05203,0.14063,0.23761,0.08198,0.8583,0.07294,0.2502,0.06875,0.69777,0.15947,94,0.99,0.12,0.25,0.3
0.5,0.7,43,43,2,27,0.05833,0.15533,0.27272,0.09242,0.86111,0.05607,0.31493,0.08282,0.62673,0.19888,86,0.99,0.12,0.25,0.3
0.55,0.75,38,38,1,26,0.06246,0.16404,0.3019,0.09985,0.85526,0.04114,0.39169,0.10359,0.54584,0.24764,76,0.99,0.12,0.25,0.3
0.6,0.8,38,38,2,28,0.05278,0.13871,0.24945,0.08403,0.85391,0.05926,0.31001,0.08683,0.6372,0.19842,76,0.99,0.12,0.25,0.3
