
TDR_alpha20_1s_2by2_alphamax30_eta99_gam18_ic25_confidence30.csv
p0,p1,nc,ne,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,35,35,1,4,0.08869,0.32596,0.32596,0.13815,0.76785,0.10824,0.29821,0.12391,0.6131,0.21106,70,0.99,0.18,0.25,0.3
0.1,0.2,43,43,1,7,0.12095,0.3342,0.3342,0.1761,0.75222,0.12159,0.30677,0.12619,0.57228,0.21648,86,0.99,0.18,0.25,0.3
0.15,0.25,52,52,1,11,0.13317,0.33916,0.33916,0.19006,0.75101,0.12207,0.31192,0.12692,0.55491,0.21942,104,0.99,0.18,0.25,0.3
0.2,0.3,63,63,2,16,0.14776,0.31552,0.31552,0.1994,0.75919,0.15973,0.2211,0.08107,0.63113,0.15108,126,0.99,0.18,0.25,0.3
0.25,0.35,71,71,1,22,0.13789,0.34438,0.34438,0.19543,0.76291,0.11198,0.32347,0.1251,0.53863,0.22429,142,0.99,0.18,0.25,0.3
0.3,0.4,75,75,1,27,0.14181,0.34469,0.34469,0.19986,0.7597,0.11418,0.32268,0.12611,0.5355,0.22439,150,0.99,0.18,0.25,0.3
0.35,0.45,80,80,1,33,0.13314,0.3359,0.3359,0.18985,0.75149,0.112,0.33383,0.1365,0.53302,0.23517,160,0.99,0.18,0.25,0.3
0.4,0.5,83,83,2,38,0.14386,0.31961,0.31961,0.19732,0.75584,0.1432,0.26224,0.10095,0.59389,0.18159,166,0.99,0.18,0.25,0.3
0.45,0.55,82,82,1,42,0.13953,0.33845,0.33845,0.19702,0.75383,0.11358,0.32921,0.13258,0.53126,0.23089,164,0.99,0.18,0.25,0.3
0.5,0.6,84,84,2,47,0.14065,0.31561,0.31561,0.19365,0.75465,0.14113,0.26787,0.10421,0.59147,0.18604,168,0.99,0.18,0.25,0.3
0.55,0.65,80,80,1,49,0.14132,0.33862,0.33862,0.19879,0.75959,0.112,0.32703,0.12839,0.53164,0.22771,160,0.99,0.18,0.25,0.3
0.6,0.7,78,78,3,51,0.15208,0.28636,0.28636,0.19808,0.75002,0.18532,0.18938,0.06465,0.65853,0.12702,156,0.99,0.18,0.25,0.3
0.65,0.75,70,70,1,50,0.14269,0.3351,0.3351,0.19984,0.76055,0.11387,0.32201,0.12557,0.53529,0.22379,140,0.99,0.18,0.25,0.3
0.7,0.8,67,67,2,51,0.14177,0.30203,0.30203,0.19214,0.76377,0.14786,0.24687,0.08836,0.61136,0.16762,134,0.99,0.18,0.25,0.3
0.05,0.2,14,14,1,2,0.13338,0.28891,0.33634,0.19056,0.75555,0.16938,0.17524,0.07507,0.69137,0.12515,28,0.99,0.18,0.25,0.3
