
TDR_alpha20_1s_3by2_alphamax30_eta99_gam25_ic25_confidence30.csv
p0,p1,nc,ne,r,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,27,27,-5,1,3,0.13287,0.33953,0.33953,0.58426,0.7513,0.11032,0.25421,0.13839,0.01762,0.23659,0.04125,0.09714,0.61292,0.1963,54,0.99,0.25,0.25,0.3
0.1,0.2,43,43,-7,1,7,0.12095,0.3342,0.3342,0.51615,0.75222,0.08966,0.31909,0.15812,0.01231,0.30677,0.03193,0.12619,0.55996,0.2386,86,0.99,0.25,0.25,0.3
0.15,0.25,54,54,-9,2,11,0.1436,0.3058,0.3058,0.4842,0.75496,0.10006,0.23284,0.14497,0.03419,0.19865,0.07149,0.07348,0.62356,0.18891,108,0.99,0.25,0.25,0.3
0.2,0.3,66,66,-10,2,17,0.13119,0.30772,0.30772,0.47786,0.75524,0.09475,0.26419,0.15,0.0236,0.24059,0.05598,0.09402,0.60461,0.20709,132,0.99,0.25,0.25,0.3
0.25,0.35,71,71,-11,1,22,0.13789,0.34438,0.34438,0.49143,0.76291,0.07833,0.33769,0.15875,0.01421,0.32347,0.03365,0.1251,0.52442,0.24822,142,0.99,0.25,0.25,0.3
0.3,0.4,78,78,-12,2,28,0.13409,0.31276,0.31276,0.47533,0.75146,0.09212,0.28393,0.15641,0.02142,0.26251,0.05165,0.10476,0.58198,0.22017,156,0.99,0.25,0.25,0.3
0.35,0.45,81,81,-13,2,33,0.14285,0.31937,0.31937,0.47159,0.75668,0.08949,0.28333,0.15382,0.02376,0.25958,0.05419,0.09963,0.57381,0.21858,162,0.99,0.25,0.25,0.3
0.4,0.5,83,83,-13,2,38,0.14386,0.31961,0.31961,0.46593,0.75584,0.08905,0.2859,0.15509,0.02366,0.26224,0.05414,0.10095,0.57023,0.2205,166,0.99,0.25,0.25,0.3
0.45,0.55,88,88,-14,2,45,0.12869,0.30999,0.30999,0.47582,0.75163,0.08751,0.29968,0.16085,0.01823,0.28144,0.04693,0.11392,0.57162,0.23026,176,0.99,0.25,0.25,0.3
0.5,0.6,84,84,-13,2,47,0.14065,0.31561,0.31561,0.46007,0.75465,0.08787,0.29028,0.15747,0.02241,0.26787,0.05326,0.10421,0.56906,0.22387,168,0.99,0.25,0.25,0.3
