
TDR_alpha20_2s_3by2_alphamax30_eta99_gam15_ic20_confidence30.csv
p0,p1,nc1,ne1,a1,m1,nc2,ne2,b1,b2,m2,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,es0,es1,En,N1,N2,etamax,gammax,expicmax,ci
0.05,0.15,30,30,-4,2,3,3,-6,2,3,0.13862,0.25892,0.25892,0.17471,0.75805,0.05159,0.1267,0.14187,0.0859,0.04081,0.13019,0.01168,0.18021,0.13429,0.55447,0.04848,62.6731938533022,60,66,0.99,0.15,0.2,0.3
0.1,0.2,44,44,-4,5,2,2,-9,2,7,0.13416,0.29228,0.29228,0.18067,0.76207,0.06195,0.15141,0.12877,0.03712,0.11429,0.07741,0.05137,0.16061,0.14009,0.55382,0.04721,89.7847094363501,88,92,0.99,0.15,0.2,0.3
0.15,0.25,50,50,-5,8,2,2,-11,1,11,0.13317,0.33916,0.33916,0.19006,0.75101,0.05405,0.21854,0.14647,0.0139,0.20464,0.03376,0.11271,0.12282,0.1825,0.52547,0.04847,101.898131445871,100,104,0.99,0.15,0.2,0.3
0.2,0.3,53,53,-7,11,12,12,-13,1,17,0.12684,0.33707,0.33707,0.18268,0.75774,0.05127,0.22422,0.14138,0.01204,0.21218,0.03052,0.11086,0.14623,0.1828,0.50271,0.0496,117.935006033544,106,130,0.99,0.15,0.2,0.3
0.25,0.35,62,62,-7,16,5,5,-2,0,21,0.13734,0.36486,0.36486,0.199,0.75367,0.05033,0.24907,0.14736,0.00335,0.24572,0.00851,0.13886,0.09915,0.19822,0.51443,0.04863,128.855660896754,124,134,0.99,0.15,0.2,0.3
0.3,0.4,65,65,-8,20,10,10,-16,1,27,0.14166,0.3445,0.3445,0.19967,0.75946,0.04996,0.21666,0.14107,0.01465,0.20201,0.03434,0.10673,0.13117,0.17886,0.51051,0.0495,139.789895516814,130,150,0.99,0.15,0.2,0.3
0.35,0.45,70,70,-7,25,15,15,-18,1,35,0.12824,0.3366,0.3366,0.18414,0.76201,0.04643,0.22581,0.14243,0.01126,0.21454,0.02897,0.11346,0.13282,0.18412,0.51312,0.04911,154.606359789408,140,170,0.99,0.15,0.2,0.3
0.4,0.5,69,69,-7,28,13,13,-3,0,38,0.1363,0.35925,0.35925,0.19687,0.75911,0.04535,0.25037,0.14556,0.005,0.24536,0.01283,0.13274,0.11078,0.19796,0.50254,0.04997,150.934017996756,138,164,0.99,0.15,0.2,0.3
0.45,0.55,70,70,-8,32,12,12,-19,1,42,0.13943,0.33833,0.33833,0.19691,0.75368,0.05041,0.22141,0.14682,0.01378,0.20763,0.03369,0.11313,0.13246,0.18411,0.50669,0.04908,151.839445112695,140,164,0.99,0.15,0.2,0.3
0.5,0.6,67,67,-9,34,13,13,-18,1,45,0.14222,0.33832,0.33832,0.19996,0.7526,0.05149,0.21874,0.14634,0.01462,0.20412,0.03535,0.11099,0.13667,0.18254,0.50236,0.04955,146.938648812547,134,160,0.99,0.15,0.2,0.3
