
TDR_alpha20_1s_3by2_alphaonly_eta99_gam12_ic35_confidence90.csv
p0,p1,nc,ne,r,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,30,30,-5,1,3,0.16101,0.36531,0.36531,0.59027,0.80089,0.08553,0.2427,0.11359,0.0268,0.21591,0.0477,0.06589,0.59628,0.17815,60,0.99,0.12,0.35,0.9
0.1,0.2,47,47,-7,1,7,0.16245,0.3747,0.3747,0.55472,0.8151,0.06734,0.29172,0.11756,0.02326,0.26846,0.04132,0.07624,0.54582,0.20464,94,0.99,0.12,0.35,0.9
0.15,0.25,56,56,-9,1,11,0.18256,0.38372,0.38372,0.54142,0.81505,0.06548,0.29286,0.11946,0.02832,0.26454,0.04619,0.07327,0.52458,0.20616,112,0.99,0.12,0.35,0.9
0.2,0.3,73,73,-11,1,18,0.1722,0.38584,0.38584,0.53344,0.83095,0.05555,0.30998,0.11349,0.02346,0.28652,0.03965,0.07384,0.51781,0.21174,146,0.99,0.12,0.35,0.9
0.25,0.35,75,75,-12,1,22,0.19723,0.39519,0.39519,0.53141,0.82838,0.0573,0.29653,0.11431,0.03135,0.26518,0.04749,0.06683,0.50624,0.20542,150,0.99,0.12,0.35,0.9
0.3,0.4,81,81,-13,1,28,0.18908,0.38964,0.38964,0.52692,0.82198,0.05888,0.30472,0.11913,0.02797,0.27675,0.04526,0.07387,0.50619,0.21192,162,0.99,0.12,0.35,0.9
0.35,0.45,86,86,-13,1,34,0.19134,0.39129,0.39129,0.52441,0.8249,0.05718,0.30519,0.11791,0.02838,0.27681,0.0455,0.07241,0.50346,0.21155,172,0.99,0.12,0.35,0.9
0.4,0.5,90,90,-14,1,40,0.19532,0.39452,0.39452,0.52308,0.83085,0.05439,0.30388,0.11474,0.02952,0.27437,0.04608,0.06866,0.50079,0.20931,180,0.99,0.12,0.35,0.9
0.45,0.55,89,89,-14,1,44,0.19969,0.39497,0.39497,0.52367,0.82903,0.05503,0.30133,0.11592,0.03104,0.2703,0.048,0.06792,0.49897,0.20863,178,0.99,0.12,0.35,0.9
0.5,0.6,88,88,-14,1,48,0.19753,0.3924,0.3924,0.52413,0.82725,0.05536,0.30276,0.11738,0.03033,0.27243,0.04795,0.06943,0.49969,0.21007,176,0.99,0.12,0.35,0.9
0.55,0.65,89,89,-14,1,53,0.19556,0.39295,0.39295,0.52783,0.83522,0.05158,0.3041,0.11319,0.02969,0.27442,0.04679,0.0664,0.50032,0.20865,178,0.99,0.12,0.35,0.9
0.6,0.7,85,85,-13,1,55,0.19157,0.38894,0.38894,0.52681,0.83414,0.05154,0.30583,0.11431,0.02859,0.27724,0.0465,0.06781,0.50259,0.21007,170,0.99,0.12,0.35,0.9
0.65,0.75,82,82,-12,2,57,0.18681,0.34829,0.34829,0.53037,0.82587,0.05428,0.26045,0.11984,0.04426,0.2162,0.07104,0.0488,0.55272,0.19015,164,0.99,0.12,0.35,0.9
0.7,0.8,72,72,-11,1,54,0.18659,0.3814,0.3814,0.53597,0.83692,0.04943,0.30515,0.11364,0.02798,0.27717,0.04752,0.06612,0.50825,0.2094,144,0.99,0.12,0.35,0.9
0.05,0.2,15,15,-4,1,2,0.14678,0.30443,0.34901,0.98532,0.78325,0.10601,0.19362,0.11073,0.02417,0.16945,0.04961,0.06113,0.6596,0.15218,30,0.99,0.12,0.35,0.9
0.1,0.25,23,23,-6,1,4,0.16558,0.32093,0.37018,0.57335,0.81612,0.07226,0.26192,0.11162,0.02715,0.23477,0.04692,0.06471,0.57251,0.18677,46,0.99,0.12,0.35,0.9
0.15,0.3,31,31,-7,1,7,0.15256,0.31318,0.37103,0.55795,0.82696,0.06059,0.29674,0.11245,0.02054,0.2762,0.03839,0.07406,0.5507,0.2046,62,0.99,0.12,0.35,0.9
0.2,0.35,33,33,-8,1,9,0.17358,0.32397,0.37816,0.55133,0.8235,0.06157,0.29145,0.11493,0.02645,0.265,0.04489,0.07004,0.53497,0.20319,66,0.99,0.12,0.35,0.9
0.25,0.4,37,37,-8,1,12,0.16971,0.31981,0.37674,0.5437,0.82386,0.05946,0.30109,0.11668,0.02429,0.2768,0.04277,0.07391,0.5292,0.20889,74,0.99,0.12,0.35,0.9
0.3,0.45,38,38,-9,1,14,0.19336,0.33632,0.38811,0.54259,0.83065,0.05673,0.28899,0.11261,0.03218,0.25681,0.04973,0.06288,0.51765,0.2008,76,0.99,0.12,0.35,0.9
0.35,0.5,38,38,-9,1,16,0.19317,0.332,0.38416,0.54138,0.82093,0.06032,0.29085,0.11874,0.03187,0.25898,0.05112,0.06762,0.51597,0.2048,76,0.99,0.12,0.35,0.9
0.4,0.55,44,44,-10,1,21,0.16403,0.31239,0.37339,0.5392,0.82858,0.05425,0.31423,0.11716,0.02155,0.29268,0.04015,0.07702,0.52173,0.2157,88,0.99,0.12,0.35,0.9
0.45,0.6,42,42,-10,1,22,0.18221,0.32457,0.38086,0.54147,0.8311,0.05401,0.30158,0.11489,0.02742,0.27416,0.04641,0.06848,0.5162,0.20824,84,0.99,0.12,0.35,0.9
0.5,0.65,42,42,-9,1,24,0.19014,0.33124,0.38586,0.53871,0.84093,0.04969,0.29671,0.10938,0.03025,0.26646,0.04838,0.06099,0.51315,0.20304,84,0.99,0.12,0.35,0.9
0.55,0.7,42,42,-9,1,26,0.19648,0.33743,0.3907,0.54072,0.85392,0.04391,0.29265,0.10216,0.03275,0.25989,0.04935,0.05281,0.51086,0.19741,84,0.99,0.12,0.35,0.9
0.6,0.75,37,37,-8,1,25,0.19041,0.32516,0.37885,0.54675,0.83709,0.05025,0.2937,0.11266,0.03129,0.26241,0.05198,0.06068,0.51589,0.20318,74,0.99,0.12,0.35,0.9
0.65,0.8,33,33,-8,1,24,0.19561,0.3249,0.37623,0.55439,0.83653,0.04978,0.2874,0.11368,0.03433,0.25306,0.05668,0.057,0.51699,0.20054,66,0.99,0.12,0.35,0.9
0.7,0.85,32,32,-7,1,25,0.18193,0.31456,0.36902,0.55997,0.8519,0.04238,0.29362,0.10572,0.02983,0.26379,0.05226,0.05346,0.52445,0.19967,64,0.99,0.12,0.35,0.9
0.05,0.25,11,11,-4,1,2,0.09285,0.23149,0.32476,0.98917,0.77239,0.10901,0.19635,0.11859,0.00904,0.18731,0.03051,0.08809,0.7108,0.15747,22,0.99,0.12,0.35,0.9
0.1,0.3,14,14,-5,1,3,0.13866,0.26333,0.34929,0.59619,0.79627,0.08526,0.25137,0.11847,0.0197,0.23167,0.04289,0.07558,0.60998,0.18492,28,0.99,0.12,0.35,0.9
0.15,0.35,19,19,-6,1,5,0.12911,0.25426,0.35269,0.57538,0.81519,0.06635,0.29493,0.11846,0.01533,0.27961,0.03481,0.08365,0.57595,0.20669,38,0.99,0.12,0.35,0.9
0.2,0.4,20,20,-6,1,6,0.16891,0.28674,0.37223,0.56064,0.82794,0.06145,0.27902,0.1106,0.02687,0.25215,0.04644,0.06416,0.55207,0.19481,40,0.99,0.12,0.35,0.9
0.25,0.45,23,23,-7,1,8,0.1701,0.28854,0.37707,0.55929,0.84058,0.05371,0.28829,0.10571,0.0262,0.26209,0.04421,0.06149,0.54161,0.197,46,0.99,0.12,0.35,0.9
