
TDR_alpha20_1s_2by2_litwinref_alphaonly_eta99_gam4_ic10_confidence90.csv
p0,p1,nc,ne,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,37,37,2,3,0.16227,0.27425,0.27425,0.58966,0.80031,0.19208,0.04145,0.0076,0.79628,0.02453,74,0.99,0.04,0.1,0.9
0.1,0.2,49,49,2,7,0.16002,0.30961,0.30961,0.55455,0.79731,0.16453,0.14474,0.03816,0.69524,0.09145,98,0.99,0.04,0.1,0.9
0.15,0.25,63,63,3,12,0.15352,0.27116,0.27116,0.53918,0.77528,0.19633,0.112,0.02838,0.73447,0.07019,126,0.99,0.04,0.1,0.9
0.2,0.3,67,67,3,16,0.17364,0.28825,0.28825,0.53407,0.77019,0.19909,0.12057,0.03071,0.70578,0.07564,134,0.99,0.04,0.1,0.9
0.25,0.35,72,72,3,21,0.17421,0.29668,0.29668,0.52831,0.76601,0.19467,0.14082,0.03931,0.68496,0.09007,144,0.99,0.04,0.1,0.9
0.3,0.4,74,74,3,25,0.19331,0.30748,0.30748,0.52795,0.76757,0.19767,0.13355,0.03476,0.67313,0.08415,148,0.99,0.04,0.1,0.9
0.35,0.45,88,88,3,34,0.19643,0.32312,0.32312,0.52679,0.80209,0.16486,0.14996,0.03304,0.6536,0.0915,176,0.99,0.04,0.1,0.9
0.4,0.5,82,82,3,36,0.19531,0.3167,0.3167,0.52766,0.77735,0.18414,0.14986,0.03849,0.65482,0.09418,164,0.99,0.04,0.1,0.9
0.45,0.55,84,84,3,41,0.19955,0.31988,0.31988,0.52732,0.78347,0.18,0.14962,0.03652,0.65082,0.09307,168,0.99,0.04,0.1,0.9
0.5,0.6,91,91,3,49,0.19518,0.32378,0.32378,0.5255,0.80286,0.16146,0.16032,0.03567,0.64448,0.098,182,0.99,0.04,0.1,0.9
0.55,0.65,78,78,3,46,0.19816,0.31128,0.31128,0.53007,0.77134,0.19178,0.14561,0.03688,0.65621,0.09124,156,0.99,0.04,0.1,0.9
0.6,0.7,75,75,3,48,0.19696,0.30574,0.30574,0.52913,0.77072,0.19449,0.14154,0.03478,0.66149,0.08816,150,0.99,0.04,0.1,0.9
0.65,0.75,71,71,3,49,0.1949,0.29744,0.29744,0.53277,0.77039,0.19809,0.13512,0.03152,0.66997,0.08332,142,0.99,0.04,0.1,0.9
0.7,0.8,67,67,3,50,0.17333,0.27908,0.27908,0.53887,0.76437,0.19909,0.14531,0.03653,0.68134,0.09092,134,0.99,0.04,0.1,0.9
0.05,0.2,18,18,1,2,0.1855,0.34162,0.37712,0.98247,0.84597,0.12183,0.14948,0.0322,0.66503,0.09084,36,0.99,0.04,0.1,0.9
0.1,0.25,25,25,2,4,0.15446,0.25099,0.27665,0.57249,0.78567,0.19514,0.08052,0.01919,0.76502,0.04985,50,0.99,0.04,0.1,0.9
0.15,0.3,28,28,2,6,0.16585,0.26637,0.29517,0.55739,0.7797,0.18892,0.11949,0.03138,0.71465,0.07543,56,0.99,0.04,0.1,0.9
0.2,0.35,30,30,2,8,0.17386,0.27443,0.30504,0.54903,0.77215,0.18877,0.13943,0.03908,0.68671,0.08925,60,0.99,0.04,0.1,0.9
0.25,0.4,39,39,2,12,0.18915,0.30045,0.33235,0.5451,0.82485,0.14324,0.15802,0.0319,0.65283,0.09496,78,0.99,0.04,0.1,0.9
0.3,0.45,39,39,2,14,0.19478,0.30203,0.3339,0.54335,0.81374,0.15149,0.16058,0.03477,0.64463,0.09768,78,0.99,0.04,0.1,0.9
0.35,0.5,39,39,2,16,0.198,0.30248,0.33437,0.54237,0.80646,0.15669,0.1629,0.03685,0.63909,0.09987,78,0.99,0.04,0.1,0.9
0.4,0.55,43,43,3,20,0.16163,0.24747,0.27246,0.53791,0.77485,0.1938,0.1295,0.03134,0.70886,0.08042,86,0.99,0.04,0.1,0.9
0.45,0.6,43,43,3,22,0.17084,0.25229,0.27482,0.53904,0.77917,0.1938,0.12323,0.02702,0.70593,0.07513,86,0.99,0.04,0.1,0.9
0.5,0.65,42,42,3,23,0.19825,0.26415,0.27894,0.53871,0.78732,0.19767,0.09457,0.015,0.70717,0.05479,84,0.99,0.04,0.1,0.9
0.55,0.7,34,34,2,21,0.19821,0.28964,0.3189,0.54865,0.77974,0.18035,0.15924,0.0399,0.64254,0.09957,68,0.99,0.04,0.1,0.9
0.6,0.75,40,40,3,26,0.19148,0.25243,0.26451,0.54359,0.78882,0.19816,0.09274,0.01302,0.71577,0.05288,80,0.99,0.04,0.1,0.9
0.65,0.8,39,39,3,28,0.15525,0.22728,0.24484,0.54876,0.784,0.19383,0.12117,0.02216,0.72358,0.07166,78,0.99,0.04,0.1,0.9
0.7,0.85,30,30,2,23,0.19622,0.27584,0.29692,0.56102,0.80457,0.17199,0.13994,0.02344,0.66384,0.08169,60,0.99,0.04,0.1,0.9
0.05,0.25,16,16,1,2,0.15997,0.3183,0.38479,0.98437,0.90057,0.07591,0.16313,0.02353,0.67691,0.09333,32,0.99,0.04,0.1,0.9
0.1,0.3,17,17,2,3,0.14164,0.21508,0.25388,0.59411,0.79183,0.19848,0.0467,0.00969,0.81166,0.02819,34,0.99,0.04,0.1,0.9
0.15,0.35,19,19,2,4,0.18531,0.24956,0.28125,0.57538,0.80433,0.18667,0.05927,0.009,0.75541,0.03414,38,0.99,0.04,0.1,0.9
0.2,0.4,20,20,2,6,0.14253,0.22488,0.27777,0.56064,0.77376,0.18743,0.13257,0.03881,0.7249,0.08569,40,0.99,0.04,0.1,0.9
0.25,0.45,21,21,2,7,0.17713,0.25178,0.29523,0.55925,0.78796,0.18513,0.11868,0.02691,0.70418,0.0728,42,0.99,0.04,0.1,0.9
0.3,0.5,23,23,2,9,0.16761,0.24848,0.29961,0.55806,0.79461,0.16996,0.14686,0.03543,0.68553,0.09115,46,0.99,0.04,0.1,0.9
0.35,0.55,23,23,2,10,0.18447,0.25978,0.30528,0.55306,0.79629,0.17384,0.13698,0.02987,0.67855,0.08343,46,0.99,0.04,0.1,0.9
0.4,0.6,27,27,2,13,0.18396,0.26761,0.31774,0.55228,0.83354,0.13959,0.15462,0.02687,0.66141,0.09074,54,0.99,0.04,0.1,0.9
0.45,0.65,22,22,2,12,0.17736,0.24938,0.29593,0.55936,0.77943,0.18433,0.14759,0.03624,0.67505,0.09192,44,0.99,0.04,0.1,0.9
0.5,0.7,22,22,2,13,0.18526,0.25447,0.29693,0.55728,0.78944,0.18048,0.14053,0.03008,0.6742,0.0853,44,0.99,0.04,0.1,0.9
0.55,0.75,20,20,2,13,0.17704,0.24161,0.28214,0.56345,0.76947,0.19742,0.13999,0.03312,0.68296,0.08655,40,0.99,0.04,0.1,0.9
0.6,0.8,20,20,2,14,0.17453,0.23832,0.27672,0.56729,0.78402,0.18743,0.13979,0.02855,0.68568,0.08417,40,0.99,0.04,0.1,0.9
0.65,0.85,19,19,2,14,0.19199,0.24595,0.27082,0.57638,0.79825,0.18667,0.11299,0.01508,0.69503,0.06403,38,0.99,0.04,0.1,0.9
0.7,0.9,18,18,2,14,0.19972,0.2434,0.25502,0.58744,0.81173,0.18141,0.09265,0.00686,0.70763,0.04976,36,0.99,0.04,0.1,0.9
0.05,0.3,14,14,1,2,0.13338,0.28891,0.38664,0.98628,0.9283,0.05186,0.17524,0.01985,0.69137,0.09754,28,0.99,0.04,0.1,0.9
0.1,0.35,13,13,2,3,0.09222,0.1645,0.22995,0.59687,0.78611,0.19264,0.06222,0.02125,0.84556,0.04174,26,0.99,0.04,0.1,0.9
0.15,0.4,14,14,2,4,0.10576,0.17632,0.24495,0.57917,0.77918,0.18742,0.10326,0.0334,0.79098,0.06833,28,0.99,0.04,0.1,0.9
0.2,0.45,14,14,2,4,0.17632,0.22768,0.26671,0.57985,0.79056,0.19967,0.06051,0.00977,0.76317,0.03514,28,0.99,0.04,0.1,0.9
0.25,0.5,15,15,2,5,0.18915,0.24046,0.27879,0.57327,0.80019,0.18882,0.07331,0.01099,0.73755,0.04215,30,0.99,0.04,0.1,0.9
0.3,0.55,15,15,2,6,0.17927,0.23352,0.27786,0.57069,0.788,0.19411,0.09535,0.01789,0.72538,0.05662,30,0.99,0.04,0.1,0.9
0.35,0.6,16,16,2,7,0.19702,0.24875,0.28784,0.5683,0.80687,0.1797,0.0921,0.01342,0.71089,0.05276,32,0.99,0.04,0.1,0.9
0.4,0.65,15,15,2,8,0.1514,0.20896,0.26608,0.5677,0.7673,0.19665,0.1369,0.03604,0.7117,0.08647,30,0.99,0.04,0.1,0.9
0.45,0.7,16,16,2,9,0.17419,0.22988,0.27802,0.56824,0.8009,0.17711,0.12316,0.02199,0.70265,0.07258,32,0.99,0.04,0.1,0.9
0.5,0.75,15,15,2,9,0.19226,0.23906,0.27358,0.57448,0.79705,0.18882,0.10007,0.01413,0.70767,0.0571,30,0.99,0.04,0.1,0.9
0.55,0.8,15,15,2,10,0.17274,0.22282,0.26276,0.57706,0.802,0.18031,0.11861,0.01769,0.70866,0.06815,30,0.99,0.04,0.1,0.9
0.6,0.85,14,14,2,10,0.17614,0.21991,0.24917,0.58606,0.80024,0.18742,0.10551,0.01234,0.71835,0.05893,28,0.99,0.04,0.1,0.9
0.65,0.9,13,13,2,10,0.16934,0.20795,0.2278,0.59818,0.79874,0.19264,0.0993,0.00863,0.73135,0.05396,26,0.99,0.04,0.1,0.9
0.7,0.95,12,12,2,10,0.151,0.18545,0.19591,0.61653,0.79955,0.19541,0.1004,0.00504,0.7486,0.05272,24,0.99,0.04,0.1,0.9
