
TDR_alpha20_1s_3by2_alphamax30_eta99_gam11_ic35_confidence30.csv
p0,p1,nc,ne,r,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,39,39,-6,1,4,0.11661,0.36074,0.36074,0.58948,0.82805,0.06369,0.28923,0.10825,0.01252,0.27671,0.02846,0.07979,0.59416,0.19874,78,0.99,0.11,0.35,0.3
0.1,0.2,60,60,-8,1,9,0.12826,0.37277,0.37277,0.48413,0.84583,0.04907,0.32407,0.10509,0.01337,0.3107,0.02737,0.07772,0.54767,0.21458,120,0.99,0.11,0.35,0.3
0.15,0.25,75,75,-10,1,15,0.13331,0.37459,0.37459,0.48175,0.84554,0.04687,0.33462,0.10758,0.01362,0.321,0.02758,0.08,0.53206,0.2211,150,0.99,0.11,0.35,0.3
0.2,0.3,85,85,-12,2,21,0.14408,0.34021,0.34021,0.46355,0.83382,0.05647,0.26886,0.1097,0.02631,0.24255,0.04935,0.06035,0.58705,0.18928,170,0.99,0.11,0.35,0.3
0.7,0.8,90,90,-12,1,68,0.1363,0.36108,0.36108,0.49252,0.85046,0.04027,0.34493,0.10926,0.01365,0.33128,0.03002,0.07923,0.51876,0.22709,180,0.99,0.11,0.35,0.3
0.05,0.2,22,22,-5,1,3,0.08752,0.27904,0.34446,0.57143,0.82315,0.06699,0.27304,0.10986,0.0073,0.26574,0.02236,0.0875,0.63944,0.19145,44,0.99,0.11,0.35,0.3
0.1,0.25,28,28,-6,1,5,0.12744,0.30197,0.36341,0.5655,0.83337,0.05893,0.29721,0.1077,0.01467,0.28254,0.03124,0.07646,0.57535,0.20245,56,0.99,0.11,0.35,0.3
0.15,0.3,39,39,-8,1,9,0.11024,0.28781,0.36045,0.53197,0.84633,0.04609,0.33612,0.10757,0.00982,0.3263,0.02355,0.08402,0.55363,0.22185,78,0.99,0.11,0.35,0.3
0.2,0.35,47,47,-9,2,13,0.11136,0.25936,0.31387,0.49723,0.84434,0.05285,0.25683,0.1028,0.01919,0.23764,0.04381,0.05899,0.63181,0.17982,94,0.99,0.11,0.35,0.3
0.25,0.4,46,46,-9,1,15,0.1384,0.30587,0.37354,0.49752,0.85084,0.0449,0.32867,0.10425,0.01506,0.31361,0.02987,0.07437,0.53292,0.21646,92,0.99,0.11,0.35,0.3
0.3,0.45,53,53,-10,2,20,0.12096,0.26594,0.32232,0.50266,0.8417,0.05147,0.27406,0.10682,0.01981,0.25425,0.04399,0.06283,0.60498,0.19044,106,0.99,0.11,0.35,0.3
0.35,0.5,52,52,-10,2,22,0.14117,0.27977,0.33056,0.47774,0.84198,0.05123,0.26489,0.10678,0.02715,0.23773,0.0522,0.05458,0.59393,0.18584,104,0.99,0.11,0.35,0.3
