
TDR_alpha10_1s_3by2_alphamax30_eta99_gam14_ic25_confidence30.csv
p0,p1,nc,ne,r,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,56,56,-7,1,6,0.05749,0.34289,0.34289,0.56152,0.85302,0.03735,0.35707,0.10963,0.00269,0.35438,0.01077,0.09886,0.58543,0.23335,112,0.99,0.14,0.25,0.3
0.1,0.2,89,89,-10,2,14,0.05447,0.29774,0.29774,0.5121,0.85716,0.03968,0.3028,0.10316,0.00422,0.29858,0.01769,0.08547,0.64273,0.20298,178,0.99,0.14,0.25,0.3
0.05,0.2,30,30,-5,1,4,0.05783,0.2682,0.34901,0.58781,0.86585,0.03831,0.32204,0.09584,0.00294,0.3191,0.01143,0.0844,0.62013,0.20894,60,0.99,0.14,0.25,0.3
0.1,0.25,43,43,-7,2,8,0.05472,0.21329,0.27995,0.51615,0.85145,0.04967,0.24374,0.09888,0.00595,0.23779,0.02485,0.07402,0.70155,0.17131,86,0.99,0.14,0.25,0.3
0.15,0.3,55,55,-9,2,13,0.05562,0.21697,0.29288,0.49145,0.86277,0.03878,0.29274,0.09845,0.00473,0.28801,0.0195,0.07895,0.65164,0.19559,110,0.99,0.14,0.25,0.3
0.2,0.35,59,59,-10,2,17,0.06216,0.2185,0.29494,0.50408,0.85144,0.04134,0.30776,0.10721,0.00529,0.30248,0.02089,0.08632,0.63007,0.20749,118,0.99,0.14,0.25,0.3
0.25,0.4,68,68,-11,2,23,0.06049,0.21786,0.2991,0.46588,0.86027,0.03554,0.32712,0.10418,0.00451,0.3226,0.01812,0.08606,0.61239,0.21565,136,0.99,0.14,0.25,0.3
0.3,0.45,74,74,-12,2,29,0.05406,0.20548,0.29108,0.46995,0.85363,0.0343,0.34324,0.11206,0.0034,0.33985,0.01564,0.09642,0.60269,0.22765,148,0.99,0.14,0.25,0.3
0.35,0.5,75,75,-12,2,33,0.06235,0.21542,0.29855,0.47025,0.85815,0.03433,0.34074,0.1075,0.00441,0.33633,0.01782,0.08968,0.5969,0.22412,150,0.99,0.14,0.25,0.3
0.4,0.55,77,77,-13,2,38,0.05693,0.20377,0.28898,0.48485,0.85015,0.03458,0.34926,0.11526,0.00361,0.34565,0.01643,0.09883,0.59379,0.23226,154,0.99,0.14,0.25,0.3
0.45,0.6,79,79,-13,2,43,0.05502,0.19998,0.28647,0.47727,0.85372,0.03252,0.35357,0.11375,0.00334,0.35023,0.0157,0.09805,0.5914,0.23366,158,0.99,0.14,0.25,0.3
0.5,0.65,78,78,-13,3,46,0.06314,0.19816,0.26653,0.4615,0.86171,0.03753,0.28851,0.10075,0.00712,0.28138,0.0288,0.07195,0.64834,0.19463,156,0.99,0.14,0.25,0.3
0.55,0.7,73,73,-12,2,47,0.06221,0.20522,0.28759,0.46877,0.85993,0.03247,0.34377,0.10759,0.00446,0.33931,0.01899,0.0886,0.59401,0.22568,146,0.99,0.14,0.25,0.3
0.6,0.75,69,69,-11,2,48,0.06079,0.19939,0.28062,0.47955,0.86014,0.03222,0.34087,0.10764,0.00445,0.33642,0.01974,0.0879,0.59832,0.22425,138,0.99,0.14,0.25,0.3
0.65,0.8,63,63,-10,2,47,0.06357,0.19915,0.27704,0.49986,0.86561,0.03153,0.33133,0.10285,0.00522,0.32611,0.02241,0.08044,0.60509,0.21709,126,0.99,0.14,0.25,0.3
0.7,0.85,58,58,-9,3,46,0.0656,0.17887,0.23142,0.49677,0.86844,0.03457,0.25173,0.09699,0.01118,0.24055,0.04564,0.05135,0.68266,0.17436,116,0.99,0.14,0.25,0.3
0.05,0.25,18,18,-5,1,3,0.05528,0.21396,0.33976,0.70026,0.85214,0.04773,0.28255,0.10012,0.00285,0.2797,0.01255,0.08757,0.66217,0.19134,36,0.99,0.14,0.25,0.3
0.1,0.3,27,27,-6,1,6,0.04536,0.17939,0.32656,0.56349,0.85546,0.03251,0.36461,0.11203,0.00169,0.36292,0.00874,0.10329,0.59002,0.23832,54,0.99,0.14,0.25,0.3
0.15,0.35,33,33,-7,1,9,0.04771,0.17358,0.32397,0.54358,0.8597,0.02863,0.38503,0.11167,0.00177,0.38326,0.00869,0.10298,0.56726,0.24835,66,0.99,0.14,0.25,0.3
0.2,0.4,38,38,-8,2,12,0.05692,0.17137,0.28681,0.51415,0.86932,0.03747,0.28139,0.0932,0.00539,0.276,0.02179,0.07141,0.66169,0.1873,76,0.99,0.14,0.25,0.3
0.25,0.45,41,41,-9,3,15,0.05682,0.15177,0.23869,0.49079,0.85272,0.04851,0.21447,0.09876,0.00981,0.20466,0.04057,0.0582,0.7287,0.15662,82,0.99,0.14,0.25,0.3
0.3,0.5,43,43,-9,3,18,0.0569,0.1505,0.241,0.51047,0.85066,0.04748,0.23006,0.10186,0.00894,0.22113,0.03831,0.06355,0.71303,0.16596,86,0.99,0.14,0.25,0.3
0.35,0.55,45,45,-10,3,21,0.06116,0.15627,0.24746,0.50191,0.86025,0.04264,0.23874,0.0971,0.0096,0.22914,0.03803,0.05907,0.70009,0.16792,90,0.99,0.14,0.25,0.3
0.4,0.6,44,44,-10,2,23,0.0617,0.16565,0.28422,0.49676,0.86248,0.03522,0.31568,0.1023,0.00526,0.31042,0.02184,0.08046,0.62261,0.20899,88,0.99,0.14,0.25,0.3
0.45,0.65,45,45,-10,2,26,0.05417,0.15213,0.27354,0.48334,0.85904,0.03385,0.32527,0.10711,0.00403,0.32123,0.01947,0.08764,0.62056,0.21619,90,0.99,0.14,0.25,0.3
0.5,0.7,45,45,-10,3,28,0.05874,0.14707,0.23773,0.49296,0.863,0.03893,0.2493,0.09807,0.00884,0.24046,0.03837,0.0597,0.69195,0.17369,90,0.99,0.14,0.25,0.3
0.55,0.75,41,41,-9,2,28,0.05428,0.14523,0.26045,0.49912,0.85552,0.03476,0.31976,0.10971,0.00436,0.3154,0.02227,0.08744,0.62595,0.21474,82,0.99,0.14,0.25,0.3
0.6,0.8,38,38,-8,2,28,0.05278,0.13871,0.24945,0.51188,0.85391,0.03506,0.31445,0.11103,0.00444,0.31001,0.0242,0.08683,0.63276,0.21274,76,0.99,0.14,0.25,0.3
0.65,0.85,33,33,-7,2,26,0.05949,0.1428,0.24315,0.50915,0.85721,0.0358,0.29623,0.10699,0.00636,0.28987,0.03212,0.07487,0.64428,0.20161,66,0.99,0.14,0.25,0.3
0.7,0.9,31,31,-7,2,26,0.05625,0.13598,0.23208,0.52505,0.88293,0.0267,0.28884,0.09037,0.00641,0.28243,0.03365,0.05672,0.65491,0.1896,62,0.99,0.14,0.25,0.3
