
TDR_alpha20_1s_2by2_alphamax30_eta99_gam4_ic5_confidence30.csv
p0,p1,nc,ne,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,49,49,2,4,0.15305,0.29894,0.29894,0.19346,0.86905,0.1197,0.08444,0.01124,0.76251,0.04784,98,0.99,0.04,0.05,0.3
0.1,0.2,57,57,3,7,0.17308,0.25238,0.25238,0.19991,0.79708,0.19762,0.04245,0.00529,0.78447,0.02387,114,0.99,0.04,0.05,0.3
0.15,0.25,77,77,4,14,0.14543,0.23415,0.23415,0.17506,0.7924,0.19648,0.06859,0.01111,0.78597,0.03985,154,0.99,0.04,0.05,0.3
0.2,0.3,82,82,4,19,0.16355,0.25505,0.25505,0.19607,0.78904,0.19644,0.08328,0.01451,0.75316,0.04889,164,0.99,0.04,0.05,0.3
0.25,0.35,99,99,5,28,0.14917,0.23466,0.23466,0.17938,0.78695,0.19953,0.08074,0.01351,0.77008,0.04712,198,0.99,0.04,0.05,0.3
0.3,0.4,103,103,5,34,0.16519,0.24745,0.24745,0.19581,0.7904,0.19693,0.08166,0.01265,0.75313,0.04715,206,0.99,0.04,0.05,0.3
0.35,0.45,118,118,6,45,0.14922,0.22562,0.22562,0.17741,0.78882,0.19986,0.0772,0.0113,0.77357,0.04425,236,0.99,0.04,0.05,0.3
0.4,0.5,120,120,6,52,0.14858,0.22926,0.22926,0.1782,0.78831,0.19815,0.08575,0.01351,0.76565,0.04963,240,0.99,0.04,0.05,0.3
0.45,0.55,120,120,6,57,0.17127,0.2339,0.2339,0.1969,0.79316,0.19935,0.06649,0.00747,0.76223,0.03698,240,0.99,0.04,0.05,0.3
0.5,0.6,120,120,6,63,0.17196,0.23282,0.23282,0.19732,0.79461,0.19815,0.06691,0.00721,0.76111,0.03706,240,0.99,0.04,0.05,0.3
0.55,0.65,118,118,6,68,0.16769,0.22738,0.22738,0.1928,0.79276,0.19986,0.0682,0.00736,0.76409,0.03778,236,0.99,0.04,0.05,0.3
0.6,0.7,116,116,6,73,0.15757,0.21884,0.21884,0.18302,0.79277,0.19906,0.07298,0.00815,0.76944,0.04056,232,0.99,0.04,0.05,0.3
0.65,0.75,113,113,6,77,0.14751,0.20671,0.20671,0.17221,0.79374,0.1983,0.07399,0.00795,0.77848,0.04097,226,0.99,0.04,0.05,0.3
0.7,0.8,95,95,5,69,0.17195,0.22075,0.22075,0.19498,0.79503,0.19924,0.06607,0.00572,0.76197,0.03589,190,0.99,0.04,0.05,0.3
0.05,0.2,23,23,2,3,0.07743,0.2007,0.23714,0.11269,0.78718,0.18413,0.06621,0.02869,0.85637,0.04745,46,0.99,0.04,0.05,0.3
0.1,0.25,34,34,3,5,0.12039,0.19061,0.20941,0.14573,0.7976,0.19775,0.03247,0.00465,0.84714,0.01856,68,0.99,0.04,0.05,0.3
0.15,0.3,37,37,3,7,0.16062,0.22456,0.23985,0.18736,0.80116,0.19331,0.04558,0.00553,0.7938,0.02556,74,0.99,0.04,0.05,0.3
0.2,0.35,48,48,4,12,0.12675,0.19232,0.20761,0.15302,0.79674,0.19497,0.05845,0.00828,0.8148,0.03336,96,0.99,0.04,0.05,0.3
0.25,0.4,49,49,4,15,0.12967,0.20064,0.21782,0.15898,0.78671,0.19967,0.07706,0.01361,0.79327,0.04533,98,0.99,0.04,0.05,0.3
0.3,0.45,51,51,4,18,0.14361,0.21329,0.2294,0.17368,0.79219,0.19476,0.08098,0.01304,0.77541,0.04701,102,0.99,0.04,0.05,0.3
0.35,0.5,55,55,4,22,0.15442,0.22628,0.24198,0.18576,0.81116,0.17681,0.08762,0.01202,0.75795,0.04982,110,0.99,0.04,0.05,0.3
