
TDR_alpha10_1s_3by2_alphamax30_eta99_gam10_ic20_confidence30.csv
p0,p1,nc,ne,r,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,58,58,-7,2,6,0.06056,0.28234,0.28234,0.56329,0.85474,0.05507,0.20451,0.09018,0.00853,0.19598,0.03017,0.06001,0.73493,0.14735,116,0.99,0.1,0.2,0.3
0.1,0.2,90,90,-10,3,14,0.0551,0.25602,0.25602,0.47299,0.85145,0.05098,0.21923,0.09756,0.00826,0.21097,0.03334,0.06423,0.72567,0.15839,180,0.99,0.1,0.2,0.3
0.05,0.2,31,31,-6,2,4,0.05624,0.21081,0.25939,0.58853,0.85363,0.06381,0.13614,0.08256,0.01088,0.12526,0.03937,0.04319,0.80761,0.10935,62,0.99,0.1,0.2,0.3
0.1,0.25,43,43,-7,2,8,0.05472,0.21329,0.27995,0.51615,0.85145,0.04967,0.24374,0.09888,0.00595,0.23779,0.02485,0.07402,0.70155,0.17131,86,0.99,0.1,0.2,0.3
0.15,0.3,55,55,-9,2,13,0.05562,0.21697,0.29288,0.49145,0.86277,0.03878,0.29274,0.09845,0.00473,0.28801,0.0195,0.07895,0.65164,0.19559,110,0.99,0.1,0.2,0.3
0.2,0.35,63,63,-10,3,18,0.0576,0.19596,0.25677,0.49491,0.85375,0.04691,0.2389,0.09934,0.00811,0.23079,0.03292,0.06642,0.70349,0.16912,126,0.99,0.1,0.2,0.3
0.25,0.4,72,72,-12,4,24,0.05838,0.18073,0.23002,0.46466,0.85365,0.04804,0.20358,0.09831,0.0119,0.19168,0.04629,0.05202,0.73804,0.15094,144,0.99,0.1,0.2,0.3
0.3,0.45,78,78,-12,4,30,0.05793,0.18361,0.23734,0.47533,0.8585,0.04444,0.22262,0.09704,0.0102,0.21241,0.04083,0.05621,0.71944,0.15983,156,0.99,0.1,0.2,0.3
0.35,0.5,80,80,-13,3,35,0.05913,0.2012,0.27176,0.46047,0.86515,0.03705,0.28644,0.09779,0.00626,0.28017,0.02558,0.07221,0.65442,0.19211,160,0.99,0.1,0.2,0.3
0.4,0.55,84,84,-13,4,41,0.05499,0.18004,0.23885,0.47718,0.85822,0.04207,0.24394,0.0997,0.00814,0.23579,0.0359,0.0638,0.70106,0.17182,168,0.99,0.1,0.2,0.3
