
TDR_alpha10_1s_2by2_alphaonly_eta99_gam2_ic10_confidence90.csv
p0,p1,nc,ne,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,70,70,3,6,0.08884,0.2354,0.2354,0.20007,0.89458,0.09655,0.07345,0.00886,0.83771,0.04115,140,0.99,0.02,0.1,0.9
0.1,0.2,99,99,4,14,0.08312,0.23254,0.23254,0.20541,0.88392,0.09827,0.11924,0.0178,0.79763,0.06852,198,0.99,0.02,0.1,0.9
0.15,0.25,126,126,5,24,0.08907,0.22888,0.22888,0.20825,0.88474,0.09897,0.12409,0.01628,0.78683,0.07018,252,0.99,0.02,0.1,0.9
0.2,0.3,150,150,5,36,0.09894,0.25947,0.25947,0.2376,0.90264,0.07932,0.15885,0.01803,0.74219,0.08844,300,0.99,0.02,0.1,0.9
0.05,0.2,36,36,2,4,0.08186,0.24602,0.28509,0.2282,0.90869,0.07276,0.11846,0.01855,0.79968,0.06851,72,0.99,0.02,0.1,0.9
0.1,0.25,49,49,3,8,0.08159,0.20932,0.24271,0.20905,0.88906,0.09298,0.116,0.01796,0.80241,0.06698,98,0.99,0.02,0.1,0.9
0.15,0.3,63,63,4,13,0.09267,0.19749,0.22163,0.20047,0.89175,0.09811,0.09764,0.01013,0.80969,0.05389,126,0.99,0.02,0.1,0.9
0.2,0.35,76,76,4,20,0.08431,0.21403,0.24878,0.22018,0.90957,0.07283,0.1542,0.0176,0.76148,0.0859,152,0.99,0.02,0.1,0.9
0.25,0.4,80,80,4,25,0.09494,0.22603,0.26148,0.23737,0.90828,0.07333,0.16627,0.01837,0.73878,0.09232,160,0.99,0.02,0.1,0.9
0.3,0.45,83,83,5,30,0.09443,0.19923,0.22485,0.21016,0.88669,0.09878,0.12844,0.01451,0.77711,0.07148,166,0.99,0.02,0.1,0.9
0.35,0.5,87,87,5,36,0.09296,0.20312,0.23172,0.21649,0.89045,0.09269,0.14424,0.01685,0.76278,0.08055,174,0.99,0.02,0.1,0.9
0.4,0.55,86,86,5,40,0.09483,0.20278,0.23136,0.21848,0.88422,0.09763,0.14702,0.01814,0.75813,0.08258,172,0.99,0.02,0.1,0.9
0.45,0.6,95,95,6,49,0.08168,0.1778,0.20124,0.18894,0.88609,0.0996,0.12961,0.01429,0.7887,0.07195,190,0.99,0.02,0.1,0.9
0.5,0.65,88,88,5,50,0.08932,0.19878,0.22912,0.21617,0.89085,0.09015,0.15949,0.01899,0.75118,0.08924,176,0.99,0.02,0.1,0.9
0.55,0.7,83,83,5,51,0.09978,0.19881,0.2224,0.21414,0.88714,0.09878,0.14159,0.01406,0.75862,0.07782,166,0.99,0.02,0.1,0.9
0.6,0.75,81,81,5,54,0.09319,0.18949,0.21217,0.20422,0.88951,0.09699,0.14207,0.01349,0.76473,0.07778,162,0.99,0.02,0.1,0.9
0.65,0.8,75,75,4,54,0.09484,0.20879,0.24067,0.22987,0.90839,0.07536,0.17969,0.01624,0.72546,0.09796,150,0.99,0.02,0.1,0.9
0.7,0.85,63,63,4,49,0.0825,0.17887,0.20626,0.20013,0.88252,0.09811,0.1655,0.01936,0.75199,0.09243,126,0.99,0.02,0.1,0.9
0.05,0.25,22,22,2,3,0.0711,0.1923,0.25497,0.19947,0.88825,0.09693,0.06698,0.01481,0.86192,0.0409,44,0.99,0.02,0.1,0.9
0.1,0.3,33,33,3,6,0.07131,0.16518,0.21527,0.17975,0.89414,0.09504,0.07788,0.01081,0.85082,0.04434,66,0.99,0.02,0.1,0.9
0.15,0.35,38,38,3,9,0.07906,0.18233,0.24243,0.20941,0.89977,0.08229,0.13029,0.01794,0.79065,0.07412,76,0.99,0.02,0.1,0.9
0.2,0.4,42,42,3,12,0.09078,0.19774,0.26121,0.23253,0.9057,0.07536,0.15611,0.01894,0.75311,0.08753,84,0.99,0.02,0.1,0.9
0.25,0.45,47,47,4,16,0.07564,0.16192,0.2133,0.19195,0.88605,0.09642,0.12618,0.01753,0.79817,0.07186,94,0.99,0.02,0.1,0.9
0.3,0.5,49,49,4,19,0.08566,0.17309,0.2235,0.20554,0.89097,0.09286,0.13436,0.01616,0.77997,0.07526,98,0.99,0.02,0.1,0.9
0.35,0.55,50,50,4,22,0.08677,0.1745,0.22695,0.21047,0.89044,0.09182,0.14472,0.01773,0.7685,0.08123,100,0.99,0.02,0.1,0.9
0.4,0.6,55,55,4,27,0.08275,0.17687,0.23596,0.21561,0.90986,0.073,0.16516,0.01714,0.75208,0.09115,110,0.99,0.02,0.1,0.9
0.45,0.65,50,50,4,27,0.09278,0.17744,0.22663,0.21455,0.89222,0.09182,0.14816,0.01595,0.75905,0.08206,100,0.99,0.02,0.1,0.9
0.5,0.7,51,51,4,30,0.09483,0.17952,0.2265,0.21516,0.90306,0.08395,0.14939,0.01297,0.75578,0.08118,102,0.99,0.02,0.1,0.9
0.55,0.75,47,47,4,30,0.09823,0.1744,0.21316,0.20625,0.8923,0.09642,0.13589,0.01128,0.76588,0.07358,94,0.99,0.02,0.1,0.9
0.6,0.8,45,45,4,31,0.09638,0.16734,0.20029,0.19541,0.89335,0.09763,0.12935,0.00902,0.77426,0.06918,90,0.99,0.02,0.1,0.9
0.65,0.85,43,43,4,32,0.08527,0.15173,0.18146,0.17761,0.8964,0.09568,0.12905,0.00792,0.78567,0.06848,86,0.99,0.02,0.1,0.9
0.7,0.9,39,39,3,31,0.09684,0.18028,0.22389,0.2178,0.93433,0.05959,0.17138,0.00607,0.73178,0.08872,78,0.99,0.02,0.1,0.9
0.05,0.3,18,18,2,3,0.04687,0.15292,0.24607,0.17054,0.90408,0.07774,0.06687,0.01818,0.88626,0.04252,36,0.99,0.02,0.1,0.9
0.1,0.35,24,24,2,5,0.07088,0.18407,0.28776,0.22485,0.92983,0.05066,0.15935,0.0195,0.76977,0.08943,48,0.99,0.02,0.1,0.9
0.15,0.4,26,26,3,7,0.06073,0.13588,0.20896,0.17492,0.88326,0.0978,0.10273,0.01894,0.83654,0.06084,52,0.99,0.02,0.1,0.9
0.2,0.45,29,29,3,9,0.07941,0.1591,0.23142,0.20369,0.90013,0.08419,0.12532,0.01568,0.79526,0.0705,58,0.99,0.02,0.1,0.9
0.25,0.5,31,31,3,11,0.09405,0.17517,0.2455,0.22291,0.90852,0.07802,0.13708,0.01345,0.76886,0.07527,62,0.99,0.02,0.1,0.9
0.3,0.55,32,32,3,13,0.09848,0.17939,0.25133,0.23149,0.90935,0.0765,0.14893,0.01415,0.75259,0.08154,64,0.99,0.02,0.1,0.9
0.35,0.6,30,30,3,14,0.09464,0.16958,0.24248,0.22728,0.88818,0.09203,0.15462,0.01978,0.75073,0.0872,60,0.99,0.02,0.1,0.9
0.4,0.65,35,35,4,18,0.07791,0.13956,0.19213,0.17986,0.89006,0.09813,0.11867,0.01181,0.80342,0.06524,70,0.99,0.02,0.1,0.9
0.45,0.7,35,35,4,20,0.07138,0.13193,0.18745,0.17518,0.89058,0.09569,0.1289,0.01372,0.79972,0.07131,70,0.99,0.02,0.1,0.9
0.5,0.75,34,34,4,21,0.07735,0.13463,0.18115,0.17301,0.89179,0.09818,0.12071,0.01003,0.80193,0.06537,68,0.99,0.02,0.1,0.9
0.55,0.8,28,28,3,19,0.08855,0.15363,0.21852,0.21097,0.89102,0.09197,0.16255,0.01701,0.74889,0.08978,56,0.99,0.02,0.1,0.9
0.6,0.85,26,26,3,19,0.08776,0.14712,0.20163,0.19727,0.88892,0.0978,0.1519,0.01328,0.76034,0.08259,52,0.99,0.02,0.1,0.9
0.65,0.9,25,25,3,20,0.06258,0.11585,0.17458,0.16899,0.89351,0.0906,0.16661,0.01589,0.77081,0.09125,50,0.99,0.02,0.1,0.9
0.7,0.95,23,23,3,20,0.04172,0.08372,0.13637,0.13153,0.89879,0.08775,0.16848,0.01345,0.7898,0.09097,46,0.99,0.02,0.1,0.9
