
TDR_alpha20_1s_2by2_litwinref_alphaonly_eta99_gam6_ic30_confidence90.csv
p0,p1,nc,ne,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,31,31,1,3,0.17036,0.37242,0.37242,0.59033,0.81465,0.12772,0.20877,0.05764,0.62087,0.13321,62,0.99,0.06,0.3,0.9
0.1,0.2,43,43,2,6,0.17881,0.30529,0.30529,0.55413,0.77426,0.19556,0.11369,0.03018,0.7075,0.07194,86,0.99,0.06,0.3,0.9
0.15,0.25,56,56,2,11,0.16492,0.32091,0.32091,0.54142,0.78174,0.16388,0.18004,0.05438,0.65503,0.11721,112,0.99,0.06,0.3,0.9
0.2,0.3,57,57,2,14,0.18439,0.32886,0.32886,0.53731,0.76322,0.17981,0.17797,0.05696,0.63763,0.11747,114,0.99,0.06,0.3,0.9
0.25,0.35,72,72,3,21,0.17421,0.29668,0.29668,0.52831,0.76601,0.19467,0.14082,0.03931,0.68496,0.09007,144,0.99,0.06,0.3,0.9
0.3,0.4,70,70,2,24,0.19986,0.34757,0.34757,0.52776,0.78063,0.16344,0.19112,0.05592,0.609,0.12352,140,0.99,0.06,0.3,0.9
0.35,0.45,79,79,3,31,0.18236,0.30831,0.30831,0.52811,0.76666,0.18885,0.15598,0.04448,0.66164,0.10023,158,0.99,0.06,0.3,0.9
0.4,0.5,81,81,3,36,0.17884,0.30815,0.30815,0.52651,0.7639,0.1869,0.16543,0.04919,0.65572,0.10731,162,0.99,0.06,0.3,0.9
0.45,0.55,83,83,3,41,0.1814,0.31072,0.31072,0.52605,0.76948,0.18266,0.1669,0.04786,0.65168,0.10738,166,0.99,0.06,0.3,0.9
0.5,0.6,79,79,3,43,0.18418,0.30712,0.30712,0.52791,0.76013,0.19256,0.16128,0.04731,0.65453,0.10429,158,0.99,0.06,0.3,0.9
0.55,0.65,76,76,3,45,0.19226,0.30658,0.30658,0.53031,0.76113,0.19779,0.14958,0.04107,0.65815,0.09533,152,0.99,0.06,0.3,0.9
0.6,0.7,75,75,3,48,0.19696,0.30574,0.30574,0.52913,0.77072,0.19449,0.14154,0.03478,0.66149,0.08816,150,0.99,0.06,0.3,0.9
0.65,0.75,63,63,2,44,0.1973,0.33299,0.33299,0.5377,0.76835,0.17369,0.19238,0.05795,0.61031,0.12517,126,0.99,0.06,0.3,0.9
0.7,0.8,67,67,3,50,0.17333,0.27908,0.27908,0.53887,0.76437,0.19909,0.14531,0.03653,0.68134,0.09092,134,0.99,0.06,0.3,0.9
