
TDR_alpha10_1s_2by2_alphaonly_eta99_gam6_ic30_confidence90.csv
p0,p1,nc,ne,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,59,59,2,6,0.06428,0.28698,0.28698,0.22855,0.86361,0.08214,0.19414,0.05425,0.74158,0.1242,118,0.99,0.06,0.3,0.9
0.1,0.2,86,86,3,13,0.07147,0.26335,0.26335,0.22794,0.85791,0.09317,0.18985,0.04891,0.73867,0.11938,172,0.99,0.06,0.3,0.9
0.15,0.25,104,104,3,21,0.07977,0.2846,0.2846,0.25538,0.85857,0.08341,0.23344,0.05801,0.68677,0.14573,208,0.99,0.06,0.3,0.9
0.2,0.3,120,120,3,30,0.09236,0.30331,0.30331,0.27957,0.86804,0.07692,0.25077,0.05503,0.65686,0.1529,240,0.99,0.06,0.3,0.9
0.25,0.35,130,130,4,39,0.09374,0.27655,0.27655,0.26166,0.85201,0.09798,0.21424,0.04999,0.692,0.13212,260,0.99,0.06,0.3,0.9
0.3,0.4,140,140,4,49,0.09718,0.28494,0.28494,0.27182,0.85543,0.09306,0.22682,0.05149,0.67598,0.13916,280,0.99,0.06,0.3,0.9
0.35,0.45,147,147,4,59,0.09508,0.28672,0.28672,0.27481,0.85343,0.09023,0.23925,0.05631,0.66565,0.14778,294,0.99,0.06,0.3,0.9
0.55,0.65,146,146,4,88,0.09751,0.28312,0.28312,0.27741,0.85251,0.09144,0.24279,0.05602,0.65968,0.1494,292,0.99,0.06,0.3,0.9
0.6,0.7,147,147,4,96,0.0926,0.27989,0.27989,0.27155,0.86265,0.08438,0.24587,0.05295,0.66151,0.14941,294,0.99,0.06,0.3,0.9
0.65,0.75,135,135,4,95,0.09269,0.27001,0.27001,0.26428,0.85847,0.09083,0.23489,0.05068,0.6724,0.14279,270,0.99,0.06,0.3,0.9
0.7,0.8,119,119,3,90,0.09218,0.28618,0.28618,0.28269,0.8621,0.07824,0.26959,0.05965,0.63821,0.16462,238,0.99,0.06,0.3,0.9
0.05,0.2,32,32,2,4,0.06113,0.21871,0.26541,0.20571,0.86716,0.09615,0.12439,0.03668,0.81448,0.08054,64,0.99,0.06,0.3,0.9
0.1,0.25,45,45,2,8,0.06697,0.23481,0.29636,0.24084,0.87885,0.06733,0.22987,0.05381,0.70316,0.14184,90,0.99,0.06,0.3,0.9
0.15,0.3,53,53,3,12,0.07347,0.20689,0.25263,0.22208,0.85974,0.09834,0.17368,0.04191,0.75285,0.10779,106,0.99,0.06,0.3,0.9
0.2,0.35,58,58,3,16,0.0846,0.22023,0.26798,0.24423,0.85998,0.09546,0.19576,0.04455,0.71964,0.12016,116,0.99,0.06,0.3,0.9
