
TDR_alpha20_2s_3by2_alphaonly_eta99_gam1_ic10_confidence90.csv
p0,p1,nc1,ne1,a1,m1,nc2,ne2,b1,b2,m2,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,es0,es1,En,N1,N2,etamax,gammax,expicmax,ci
0.05,0.15,30,30,-4,2,4,4,1,2,3,0.14326,0.26243,0.26243,0.25349,0.76824,0.17384,0.03683,0.00943,0,0.03683,0,0.00943,0.26545,0.02313,0.55447,0.04848,63.5642584710696,60,68,0.99,0.01,0.1,0.9
0.1,0.2,44,44,-4,5,6,6,2,3,6,0.16538,0.23742,0.23742,0.23689,0.75343,0.19766,0.01059,0.00169,0,0.01059,0,0.00169,0.27021,0.00614,0.55382,0.04721,93.3541283090504,88,100,0.99,0.01,0.1,0.9
0.15,0.25,50,50,-5,8,11,11,2,3,11,0.1762,0.27356,0.27356,0.27646,0.77503,0.16675,0.04207,0.00975,0,0.04207,0,0.00975,0.25626,0.02591,0.52547,0.04847,110.439722952289,100,122,0.99,0.01,0.1,0.9
0.2,0.3,53,53,-7,11,13,13,2,3,15,0.19802,0.29301,0.29301,0.29902,0.77516,0.16549,0.04273,0.00974,0,0.04273,0,0.00974,0.25653,0.02624,0.50271,0.0496,118.929589869672,106,132,0.99,0.01,0.1,0.9
0.25,0.35,62,62,-7,16,13,13,3,4,20,0.19562,0.2591,0.2591,0.26321,0.75156,0.19683,0.0175,0.00297,0,0.0175,0,0.00297,0.27244,0.01023,0.51443,0.04863,136.624718331559,124,150,0.99,0.01,0.1,0.9
0.3,0.4,65,65,-8,20,15,15,3,4,26,0.192,0.26936,0.26936,0.27508,0.75572,0.18754,0.03301,0.00722,0,0.03301,0,0.00722,0.26448,0.02011,0.51051,0.0495,144.684843275222,130,160,0.99,0.01,0.1,0.9
0.35,0.45,70,70,-7,25,15,15,3,4,32,0.19636,0.27873,0.27873,0.28495,0.76533,0.17678,0.03882,0.00877,0,0.03882,0,0.00877,0.25168,0.02379,0.51312,0.04911,154.606359789408,140,170,0.99,0.01,0.1,0.9
0.4,0.5,69,69,-7,28,25,25,4,5,39,0.18933,0.24644,0.24644,0.2498,0.75136,0.19614,0.01822,0.00252,0,0.01822,0,0.00252,0.28991,0.01037,0.50254,0.04997,162.873111532224,138,188,0.99,0.01,0.1,0.9
0.45,0.55,70,70,-8,32,24,24,4,5,43,0.19786,0.24806,0.24806,0.25105,0.75136,0.19838,0.01075,0.00117,0,0.01075,0,0.00117,0.28468,0.00596,0.50669,0.04908,163.67889022539,140,188,0.99,0.01,0.1,0.9
0.5,0.6,67,67,-9,34,22,22,3,4,47,0.19573,0.28192,0.28192,0.28906,0.76983,0.17104,0.04409,0.00956,0,0.04409,0,0.00956,0.2578,0.02683,0.50236,0.04955,155.896174913542,134,178,0.99,0.01,0.1,0.9
0.55,0.65,68,68,-7,38,15,15,3,4,48,0.1979,0.27508,0.27508,0.28144,0.75793,0.18325,0.0391,0.00902,0,0.0391,0,0.00902,0.24731,0.02406,0.51569,0.04979,150.529429912812,136,166,0.99,0.01,0.1,0.9
0.6,0.7,64,64,-7,39,22,22,3,4,54,0.19233,0.27228,0.27228,0.27787,0.77293,0.17082,0.04024,0.00778,0,0.04024,0,0.00778,0.25458,0.02401,0.51284,0.04846,149.43498884823,128,172,0.99,0.01,0.1,0.9
0.65,0.75,56,56,-8,37,20,20,3,4,51,0.19677,0.2559,0.2559,0.25918,0.75077,0.19612,0.02404,0.00378,0,0.02404,0,0.00378,0.27207,0.01391,0.50712,0.04932,131.715398640556,112,152,0.99,0.01,0.1,0.9
0.7,0.8,52,52,-5,37,21,21,3,4,53,0.18217,0.24003,0.24003,0.24205,0.75156,0.19463,0.02895,0.00451,0,0.02895,0,0.00451,0.27351,0.01673,0.51537,0.04929,124.354634082666,104,146,0.99,0.01,0.1,0.9
0.05,0.2,22,22,-3,2,5,5,1,2,3,0.09753,0.2238,0.25699,0.22176,0.84205,0.1007,0.0401,0.00874,0,0.0401,0,0.00874,0.16334,0.02442,0.69903,0.04851,47.009725416042,44,54,0.99,0.01,0.1,0.9
0.1,0.25,23,23,-4,3,3,3,1,2,4,0.1607,0.25592,0.28082,0.27536,0.79742,0.14334,0.03944,0.0093,0,0.03944,0,0.0093,0.20651,0.02437,0.59336,0.04994,48.4398517796007,46,52,0.99,0.01,0.1,0.9
0.15,0.3,24,24,-3,4,7,7,1,2,6,0.19518,0.28658,0.30987,0.30958,0.81487,0.12654,0.04751,0.00866,0,0.04751,0,0.00866,0.23704,0.02808,0.52027,0.04992,54.7162107692303,48,62,0.99,0.01,0.1,0.9
0.2,0.35,28,28,-4,6,6,6,2,3,8,0.17413,0.22908,0.24304,0.24505,0.7541,0.19879,0.02052,0.00347,0,0.02052,0,0.00347,0.29525,0.01199,0.5101,0.04364,61.8787991302213,56,68,0.99,0.01,0.1,0.9
